Complexity,Loss,Equation
1,0.0053368188,"-0.07463654"
3,0.0044937204,"0.051025886 * x9"
4,0.0044766823,"-0.14830747 * log(x12)"
5,0.0030205771,"-0.055468578 + (x7 * -0.0003489018)"
6,0.0030205587,"(x7 * -0.0003489018) + sin(-0.055468578)"
7,0.002408035,"((x10 * x13) * -0.0006099188) + -0.07564222"
8,0.0024023051,"(-0.0006494196 * (sin(x10) * x13)) + -0.075718045"
9,0.0017065877,"-0.047047414 + (-0.0006155869 * (x13 * (x5 + x10)))"
10,0.0016135261,"((sin(x5 + x10) * x13) * -0.0006989094) + -0.042839404"
11,0.0015327705,"0.033412732 * (((-0.017494155 * (x10 + x5)) * x13) + x9)"
12,0.0014501788,"0.033412732 * (((-0.020551851 * sin(x10 + x5)) * x13) + x9)"
13,0.0013963692,"0.033412732 * (((-0.020551851 * sin(sin(x10 + x5))) * x13) + x9)"
14,0.0013572247,"((((sin(x5 + x10) * 0.1278802) * x11) * x13) * 0.010243002) + -0.052864414"
15,0.0012566131,"sin((-0.0006155869 * (x13 * ((x10 - cos(cos(x10))) + cos(x3)))) + -0.047047414)"
16,0.0012463185,"sin(sin((-0.0006155869 * (((x10 - cos(cos(x10))) + cos(x3)) * x13)) + -0.047047414))"
17,0.0012263241,"(0.016419936 * ((((0.080448784 * sin(sin(x10 + x5))) * x11) * x13) + x3)) + -0.058602802"
18,0.0012211667,"sin(-0.058602802 + (0.016419936 * ((((0.080448784 * sin(sin(x10 + x5))) * x11) * x13) + x3)))"
19,0.0012178977,"sin(sin(-0.058602802 + (0.016419936 * ((((0.080448784 * sin(sin(x10 + x5))) * x11) * x13) + x3))))"
20,0.0012162669,"sin(sin(-0.058602802 + sin(0.016419936 * ((x13 * ((0.080448784 * sin(sin(x10 + x5))) * x11)) + x3))))"
