complexity,loss,score,equation,sympy_format,lambda_format
1,0.0025692012,0.0,-5.371005e-9,-5.37100500000000e-9,PySRFunction(X=>-5.37100500000000E-9)
3,0.0011165123,0.41669261233291127,(0.038114153 * x16),0.038114153*x16,PySRFunction(X=>0.038114153*x16)
5,0.0006930561,0.23842706974738972,(0.04833214 * (x13 - x3)),0.04833214*x13 - 0.04833214*x3,PySRFunction(X=>0.04833214*x13 - 0.04833214*x3)
7,0.00067387027,0.014036666826553416,(0.04628007 * (x13 - (x3 * 1.091405))),0.04628007*x13 - 0.05051029979835*x3,PySRFunction(X=>0.04628007*x13 - 0.05051029979835*x3)
9,0.0006295905,0.03398400329864475,(0.051580917 * (x13 - (x3 + (x1 - x18)))),-0.051580917*x1 + 0.051580917*x13 + 0.051580917*x18 - 0.051580917*x3,PySRFunction(X=>-0.051580917*x1 + 0.051580917*x13 + 0.051580917*x18 - 0.051580917*x3)
11,0.00057494483,0.045397759838007874,(0.043198645 * ((x13 - sin(x3 + x12)) - x3)),0.043198645*x13 - 0.043198645*x3 - 0.043198645*sin(x12 + x3),PySRFunction(X=>0.043198645*x13 - 0.043198645*x3 - 0.043198645*sin(x12 + x3))
13,0.00054183824,0.029653290828975776,(0.043198645 * ((x13 - sin(x3 + x12)) - (x3 * 1.1207966))),0.043198645*x13 - 0.048416894440607*x3 - 0.043198645*sin(x12 + x3),PySRFunction(X=>0.043198645*x13 - 0.048416894440607*x3 - 0.043198645*sin(x12 + x3))
15,0.0005166941,0.023758245050116276,(0.043198645 * ((x13 - sin((x3 - 0.10782453) + x12)) - (x3 * 1.1302465))),0.043198645*x13 - 0.0488251173159925*x3 - 0.043198645*sin(x12 + x3 - 0.10782453),PySRFunction(X=>0.043198645*x13 - 0.0488251173159925*x3 - 0.043198645*sin(x12 + x3 - 0.10782453))
17,0.00051272317,0.0038574733605611687,(0.043198645 * ((x13 - sin(((x3 + x12) + -0.14597774) * square(x11))) - x3)),0.043198645*x13 - 0.043198645*x3 - 0.043198645*sin(x11**2*(x12 + x3 - 0.14597774)),PySRFunction(X=>0.043198645*x13 - 0.043198645*x3 - 0.043198645*sin(x11**2*(x12 + x3 - 0.14597774)))
19,0.00049454055,0.018053460082820223,(0.043198645 * ((x13 - sin(((x3 + x12) + -0.14597774) * square(x11))) - (x3 * 1.1207966))),0.043198645*x13 - 0.048416894440607*x3 - 0.043198645*sin(x11**2*(x12 + x3 - 0.14597774)),PySRFunction(X=>0.043198645*x13 - 0.048416894440607*x3 - 0.043198645*sin(x11**2*(x12 + x3 - 0.14597774)))
21,0.00048906525,0.005566616783535439,(((0.0031173802 * (x3 - x7)) - -0.051146206) * (((sin(x13) - sin(x3 - 0.1688658)) - x3) - x12)),(0.0031173802*x3 - 0.0031173802*x7 + 0.051146206)*(-x12 - x3 + sin(x13) - sin(x3 - 0.1688658)),PySRFunction(X=>(0.0031173802*x3 - 0.0031173802*x7 + 0.051146206)*(-x12 - x3 + sin(x13) - sin(x3 - 0.1688658)))
22,0.00043486498,0.1174603240530682,(((sin(x13) * (x0 + x19)) - -0.051146206) * ((tanh(x13 - (x3 * 1.3165174)) - x3) - x12)),((x0 + x19)*sin(x13) + 0.051146206)*(-x12 - x3 + tanh(x13 - 1.3165174*x3)),PySRFunction(X=>((x0 + x19)*sin(x13) + 0.051146206)*(-x12 - x3 + tanh(x13 - 1.3165174*x3)))
24,0.0004228794,0.013974280045071324,(((sin(x13 + 0.19914041) * (x0 + x19)) - -0.051146206) * ((tanh(x13 - (x3 * 1.3250889)) - x3) - x12)),((x0 + x19)*sin(x13 + 0.19914041) + 0.051146206)*(-x12 - x3 + tanh(x13 - 1.3250889*x3)),PySRFunction(X=>((x0 + x19)*sin(x13 + 0.19914041) + 0.051146206)*(-x12 - x3 + tanh(x13 - 1.3250889*x3)))
26,0.0004108803,0.014392550405642848,(((cos(square(square(x18))) * (x0 + x19)) - -0.051146206) * ((tanh(x13 - (x3 * 1.3931667)) - x3) - x12)),((x0 + x19)*cos(x18**4) + 0.051146206)*(-x12 - x3 + tanh(x13 - 1.3931667*x3)),PySRFunction(X=>((x0 + x19)*cos(x18**4) + 0.051146206)*(-x12 - x3 + tanh(x13 - 1.3931667*x3)))
