Complexity,Loss,Equation
1,0.0050496315,"1.1457832e-8"
3,0.0031099047,"(x4 * -0.044042327)"
5,0.002127593,"((x4 - x12) * -0.044042327)"
7,0.0016958695,"(-0.03876855 * (x4 + (x4 + x15)))"
9,0.0014171186,"(-0.029644985 * ((x4 - x1) + (x4 + x15)))"
11,0.0012996527,"(-0.029644985 * ((x4 - sin(x1)) + (x4 + x15)))"
13,0.0012215095,"(-0.029644985 * ((x4 - sin(x1)) + ((x4 + x15) * 1.1799402)))"
15,0.0011979669,"(-0.029644985 * ((x4 - sin(sin(x1))) + ((x4 + x15) * 1.1799402)))"
17,0.0011885641,"(-0.029644985 * ((x4 - sin(sin(x1) + x10)) + ((x4 + x15) * 1.1799402)))"
19,0.0010832584,"(-0.029644985 * ((x4 - sin(((x1 - -0.7830167) + x10) - 0.11133892)) + ((x4 + x15) * 1.1799402)))"
