complexity,loss,score,equation,sympy_format,lambda_format
1,0.0050496315,0.0,1.1457832e-8,1.14578320000000e-8,PySRFunction(X=>1.14578320000000E-8)
3,0.0031099047,0.24236159384648007,(x4 * -0.044042327),-0.044042327*x4,PySRFunction(X=>-0.044042327*x4)
5,0.002127593,0.18980039442316327,((x4 - x12) * -0.044042327),0.044042327*x12 - 0.044042327*x4,PySRFunction(X=>0.044042327*x12 - 0.044042327*x4)
7,0.0016958695,0.11339785256698633,(-0.03876855 * (x4 + (x4 + x15))),-0.03876855*x15 - 0.0775371*x4,PySRFunction(X=>-0.03876855*x15 - 0.0775371*x4)
9,0.0014171186,0.08978496674751504,(-0.029644985 * ((x4 - x1) + (x4 + x15))),0.029644985*x1 - 0.029644985*x15 - 0.05928997*x4,PySRFunction(X=>0.029644985*x1 - 0.029644985*x15 - 0.05928997*x4)
11,0.0012996527,0.04326429011504822,(-0.029644985 * ((x4 - sin(x1)) + (x4 + x15))),-0.029644985*x15 - 0.05928997*x4 + 0.029644985*sin(x1),PySRFunction(X=>-0.029644985*x15 - 0.05928997*x4 + 0.029644985*sin(x1))
13,0.0012215095,0.03100484296050652,(-0.029644985 * ((x4 - sin(x1)) + ((x4 + x15) * 1.1799402))),-0.034979309529897*x15 - 0.064624294529897*x4 + 0.029644985*sin(x1),PySRFunction(X=>-0.034979309529897*x15 - 0.064624294529897*x4 + 0.029644985*sin(x1))
15,0.0011979669,0.009730759539561493,(-0.029644985 * ((x4 - sin(sin(x1))) + ((x4 + x15) * 1.1799402))),-0.034979309529897*x15 - 0.064624294529897*x4 + 0.029644985*sin(sin(x1)),PySRFunction(X=>-0.034979309529897*x15 - 0.064624294529897*x4 + 0.029644985*sin(sin(x1)))
17,0.0011885641,0.003939965017922537,(-0.029644985 * ((x4 - sin(sin(x1) + x10)) + ((x4 + x15) * 1.1799402))),-0.034979309529897*x15 - 0.064624294529897*x4 + 0.029644985*sin(x10 + sin(x1)),PySRFunction(X=>-0.034979309529897*x15 - 0.064624294529897*x4 + 0.029644985*sin(x10 + sin(x1)))
19,0.0010832584,0.04638620192147233,(-0.029644985 * ((x4 - sin(((x1 - -0.7830167) + x10) - 0.11133892)) + ((x4 + x15) * 1.1799402))),-0.034979309529897*x15 - 0.064624294529897*x4 + 0.029644985*sin(x1 + x10 + 0.67167778),PySRFunction(X=>-0.034979309529897*x15 - 0.064624294529897*x4 + 0.029644985*sin(x1 + x10 + 0.67167778))
