Complexity,Loss,Equation
1,0.0050496315,"-8.950678e-9"
3,0.0031099047,"(-0.044042323 * x4)"
5,0.002127593,"(-0.044042323 * (x4 - x12))"
7,0.0015937139,"(0.058565944 * ((x4 * -1.4096124) - x15))"
9,0.0015468586,"((0.058335826 * ((x4 * -1.5050063) - x15)) * 0.88158596)"
11,0.0012954023,"(0.058565944 * (((0.36474657 * x1) - (x4 * 1.4409083)) - x15))"
13,0.0012059653,"((0.058565944 * 0.79352117) * (((0.41433418 * x1) - (x4 * 1.4409083)) - x15))"
15,0.0011620087,"((0.058565944 * 0.79352117) * (((0.41433418 * sin(x1)) - (x4 * 1.4984024)) - x15))"
21,0.0010347092,"(0.058565944 * (((cos((cos(1.3126926) * -0.8856045) - (x13 * 1.4667249)) * x1) - (x4 * 1.4667249)) - x13))"
23,0.0010233732,"sin(0.058565944 * (((cos((cos(1.3126926) * -0.8856045) - (x13 * 1.4667249)) * x1) - (x4 * 1.4667249)) - x13))"
25,0.0009986549,"(0.058565944 * ((sin(cos((cos(1.3126926) * (-0.8856045 - -0.132176)) - (x13 * 1.4667249)) * x1) - (x4 * 1.4667249)) - x13))"
