complexity,loss,score,equation,sympy_format,lambda_format
1,0.0050496315,0.0,-8.950678e-9,-8.95067800000000e-9,PySRFunction(X=>-8.95067800000000E-9)
3,0.0031099047,0.24236159384648007,(-0.044042323 * x4),-0.044042323*x4,PySRFunction(X=>-0.044042323*x4)
5,0.002127593,0.18980039442316327,(-0.044042323 * (x4 - x12)),0.044042323*x12 - 0.044042323*x4,PySRFunction(X=>0.044042323*x12 - 0.044042323*x4)
7,0.0015937139,0.14446210755041045,(0.058565944 * ((x4 * -1.4096124) - x15)),-0.058565944*x15 - 0.0825552808801056*x4,PySRFunction(X=>-0.058565944*x15 - 0.0825552808801056*x4)
9,0.0015468586,0.014920456994577768,((0.058335826 * ((x4 * -1.5050063) - x15)) * 0.88158596),-0.051428045166603*x15 - 0.077399531972422*x4,PySRFunction(X=>-0.051428045166603*x15 - 0.077399531972422*x4)
11,0.0012954023,0.08870243071002788,(0.058565944 * (((0.36474657 * x1) - (x4 * 1.4409083)) - x15)),0.0213617271928121*x1 - 0.058565944*x15 - 0.0843881548069352*x4,PySRFunction(X=>0.0213617271928121*x1 - 0.058565944*x15 - 0.0843881548069352*x4)
13,0.0012059653,0.035770489095031596,((0.058565944 * 0.79352117) * (((0.41433418 * x1) - (x4 * 1.4409083)) - x15)),0.0192554834445605*x1 - 0.0464733164050345*x15 - 0.0669637873365403*x4,PySRFunction(X=>0.0192554834445605*x1 - 0.0464733164050345*x15 - 0.0669637873365403*x4)
15,0.0011620087,0.018565089797740943,((0.058565944 * 0.79352117) * (((0.41433418 * sin(x1)) - (x4 * 1.4984024)) - x15)),-0.0464733164050345*x15 - 0.069635728837263*x4 + 0.0192554834445605*sin(x1),PySRFunction(X=>-0.0464733164050345*x15 - 0.069635728837263*x4 + 0.0192554834445605*sin(x1))
21,0.0010347092,0.019338287406258144,(0.058565944 * (((cos((cos(1.3126926) * -0.8856045) - (x13 * 1.4667249)) * x1) - (x4 * 1.4667249)) - x13)),0.058565944*x1*cos(1.4667249*x13 + 0.226048380096197) - 0.058565944*x13 - 0.0859001283568056*x4,PySRFunction(X=>0.058565944*x1*cos(1.4667249*x13 + 0.226048380096197) - 0.058565944*x13 - 0.0859001283568056*x4)
23,0.0010233732,0.00550809561423748,sin(0.058565944 * (((cos((cos(1.3126926) * -0.8856045) - (x13 * 1.4667249)) * x1) - (x4 * 1.4667249)) - x13)),-sin(-0.058565944*x1*cos(1.4667249*x13 + 0.226048380096197) + 0.058565944*x13 + 0.0859001283568056*x4),PySRFunction(X=>-sin(-0.058565944*x1*cos(1.4667249*x13 + 0.226048380096197) + 0.058565944*x13 + 0.0859001283568056*x4))
25,0.0009986549,0.012225117642970481,(0.058565944 * ((sin(cos((cos(1.3126926) * (-0.8856045 - -0.132176)) - (x13 * 1.4667249)) * x1) - (x4 * 1.4667249)) - x13)),-0.058565944*x13 - 0.0859001283568056*x4 + 0.058565944*sin(x1*cos(1.4667249*x13 + 0.192310779747966)),PySRFunction(X=>-0.058565944*x13 - 0.0859001283568056*x4 + 0.058565944*sin(x1*cos(1.4667249*x13 + 0.192310779747966)))
