complexity,loss,score,equation,sympy_format,lambda_format
1,0.0034048557,0.0,8.8568834e-7,8.85688340000000e-7,PySRFunction(X=>8.85688340000000E-7)
3,0.0019204911,0.2863108126327989,(x4 * 0.03853208),0.03853208*x4,PySRFunction(X=>0.03853208*x4)
5,0.0018938215,0.006992094622427434,(0.03853743 * (x4 + 0.13264124)),0.03853743*x4 + 0.0051116525016132,PySRFunction(X=>0.03853743*x4 + 0.0051116525016132)
7,0.0014593903,0.1302889997890883,((x4 + (0.48640072 * x15)) * 0.06295495),0.030621333007564*x15 + 0.06295495*x4,PySRFunction(X=>0.030621333007564*x15 + 0.06295495*x4)
9,0.0014134018,0.016009661480786044,((x4 + sin(0.58590484 * x15)) * 0.06295495),0.06295495*x4 + 0.06295495*sin(0.58590484*x15),PySRFunction(X=>0.06295495*x4 + 0.06295495*sin(0.58590484*x15))
11,0.0011512865,0.1025597050225021,(((0.03853743 * (x15 + -0.7526933)) * -0.8071271) * (x4 + -0.68476665)),(0.023412227118284 - 0.031104604117353*x15)*(x4 - 0.68476665),PySRFunction(X=>(0.023412227118284 - 0.031104604117353*x15)*(x4 - 0.68476665))
13,0.0010211532,0.059973717927865676,(((0.03853743 * (x15 + -0.7526933)) * -0.8071271) * (x4 + (0.4095178 * x15))),(0.023412227118284 - 0.031104604117353*x15)*(0.4095178*x15 + x4),PySRFunction(X=>(0.023412227118284 - 0.031104604117353*x15)*(0.4095178*x15 + x4))
15,0.0010144454,0.003295258839036627,(((0.03853743 * (x15 + sin(-0.7526933))) * -0.8071271) * (x4 + (0.4095178 * x15))),(0.0212633233343602 - 0.031104604117353*x15)*(0.4095178*x15 + x4),PySRFunction(X=>(0.0212633233343602 - 0.031104604117353*x15)*(0.4095178*x15 + x4))
17,0.0010105596,0.0019189111974814098,((((0.03853743 * (x15 + -0.7526933)) * -0.8071271) * (x4 + (0.4095178 * (x15 - 0.20605892)))) * 0.9792248),0.9792248*(0.023412227118284 - 0.031104604117353*x15)*(0.4095178*x15 + x4 - 0.084384795588776),PySRFunction(X=>0.9792248*(0.023412227118284 - 0.031104604117353*x15)*(0.4095178*x15 + x4 - 0.084384795588776))
19,0.0010098319,0.00036017773360646295,((((0.03853743 * (x15 + -0.7526933)) * -0.8071271) * (x4 + (0.4095178 * (x15 - 0.20605892)))) * (0.9792248 + -0.005452389)),0.973772411*(0.023412227118284 - 0.031104604117353*x15)*(0.4095178*x15 + x4 - 0.084384795588776),PySRFunction(X=>0.973772411*(0.023412227118284 - 0.031104604117353*x15)*(0.4095178*x15 + x4 - 0.084384795588776))
21,0.0010098034,1.4111458639012493e-05,((((sin(0.03853743) * (x15 + -0.7526933)) * -0.8071271) * (x4 + (0.4095178 * (x15 - 0.20605892)))) * (0.9792248 + -0.005452389)),0.973772411*(0.023406432501413 - 0.0310969056073875*x15)*(0.4095178*x15 + x4 - 0.084384795588776),PySRFunction(X=>0.973772411*(0.023406432501413 - 0.0310969056073875*x15)*(0.4095178*x15 + x4 - 0.084384795588776))
23,0.0010077943,0.000995788538057457,sin((((sin(0.03853743) * (x15 + -0.7526933)) * -0.8071271) * (x4 + (0.4095178 * (x15 - 0.20605892)))) * (0.9792248 + -0.005452389)),sin(0.973772411*(0.023406432501413 - 0.0310969056073875*x15)*(0.4095178*x15 + x4 - 0.084384795588776)),PySRFunction(X=>sin(0.973772411*(0.023406432501413 - 0.0310969056073875*x15)*(0.4095178*x15 + x4 - 0.084384795588776)))
25,0.001005957,0.0009123770695065168,sin(sin((((sin(0.03853743) * (x15 + -0.7526933)) * -0.8071271) * (x4 + (0.4095178 * (x15 - 0.20605892)))) * (0.9792248 + -0.005452389))),sin(sin(0.973772411*(0.023406432501413 - 0.0310969056073875*x15)*(0.4095178*x15 + x4 - 0.084384795588776))),PySRFunction(X=>sin(sin(0.973772411*(0.023406432501413 - 0.0310969056073875*x15)*(0.4095178*x15 + x4 - 0.084384795588776))))
