complexity,loss,score,equation,sympy_format,lambda_format
1,0.000981285,0.0,1.7090077e-10,1.70900770000000e-10,PySRFunction(X=>1.70900770000000E-10)
3,0.0007727554,0.11945018411636879,(x4 * -0.014440555),-0.014440555*x4,PySRFunction(X=>-0.014440555*x4)
5,0.00025377632,0.5567546599513108,((x17 - x15) * -0.39425588),0.39425588*x15 - 0.39425588*x17,PySRFunction(X=>0.39425588*x15 - 0.39425588*x17)
7,0.0002526217,0.0022800681583322073,(sin(x17 - x15) * -0.39721277),0.39721277*sin(x15 - x17),PySRFunction(X=>0.39721277*sin(x15 - x17))
8,0.00025161813,0.003980531744584559,(tanh(x17 - x15) * -0.40006483),0.40006483*tanh(x15 - x17),PySRFunction(X=>0.40006483*tanh(x15 - x17))
9,0.00022984597,0.09050319212898256,(((x17 - x15) * cos(x2)) * -0.44980422),-0.44980422*(-x15 + x17)*cos(x2),PySRFunction(X=>-0.44980422*(-x15 + x17)*cos(x2))
10,0.0002055537,0.11170207525633986,(((x17 - x15) * (2.2367482 - abs(x2))) * -0.20728295),-0.20728295*(2.2367482 - Abs(x2))*(-x15 + x17),PySRFunction(X=>-0.20728295*(2.2367482 - Abs(x2))*(-x15 + x17))
11,0.00020474399,0.003946944235358273,(((x17 - x15) * square(cos(x2))) * -0.44980422),-0.44980422*(-x15 + x17)*cos(x2)**2,PySRFunction(X=>-0.44980422*(-x15 + x17)*cos(x2)**2)
13,0.00020443818,0.0007473689700061143,(((x17 - x15) * square(cos(x2 * -0.9535163))) * -0.44980422),-0.44980422*(-x15 + x17)*cos(0.9535163*x2)**2,PySRFunction(X=>-0.44980422*(-x15 + x17)*cos(0.9535163*x2)**2)
15,0.00020436838,0.0001707409017073401,(((x17 - x15) * square(sin(cos(x2)))) * sin(-0.6809527)),-0.629533532077584*(-x15 + x17)*sin(cos(x2))**2,PySRFunction(X=>-0.629533532077584*(-x15 + x17)*sin(cos(x2))**2)
16,0.00020424544,0.0006017417800975291,(((x17 - x15) * tanh(square(cos(x2)))) * sin(-0.61434156)),-0.576420600947652*(-x15 + x17)*tanh(cos(x2)**2),PySRFunction(X=>-0.576420600947652*(-x15 + x17)*tanh(cos(x2)**2))
17,0.00020413943,0.0005191671394736624,(((x17 - x15) * square(cos(x2 * sin(-0.9535163 - x3)))) * -0.44980422),-0.44980422*(-x15 + x17)*cos(x2*sin(x3 + 0.9535163))**2,PySRFunction(X=>-0.44980422*(-x15 + x17)*cos(x2*sin(x3 + 0.9535163))**2)
18,0.00020383118,0.001511138553134578,(((x17 - x15) * (2.2367482 + (tanh(square(x2)) * (-0.7232473 - 1.1838179)))) * -0.20219634),-0.20219634*(2.2367482 - 1.9070652*tanh(x2**2))*(-x15 + x17),PySRFunction(X=>-0.20219634*(2.2367482 - 1.9070652*tanh(x2**2))*(-x15 + x17))
20,0.00020380014,7.614724025620247e-05,(tanh((x17 - x15) * square(cos(x2 * sin(-0.9535163 - x3)))) * -0.44980422),-0.44980422*tanh((-x15 + x17)*cos(x2*sin(x3 + 0.9535163))**2),PySRFunction(X=>-0.44980422*tanh((-x15 + x17)*cos(x2*sin(x3 + 0.9535163))**2))
21,0.00020173001,0.010209588518909643,(tanh((x17 - x15) * square(cos(x2 * cos(tanh(x7))))) * -0.44980422),-0.44980422*tanh((-x15 + x17)*cos(x2*cos(tanh(x7)))**2),PySRFunction(X=>-0.44980422*tanh((-x15 + x17)*cos(x2*cos(tanh(x7)))**2))
