complexity,loss,score,equation,sympy_format,lambda_format
1,0.00040120198,0.0,9.576366e-10,9.57636600000000e-10,PySRFunction(X=>9.57636600000000E-10)
3,0.00034926238,0.06932077318696671,(0.0072069108 * x4),0.0072069108*x4,PySRFunction(X=>0.0072069108*x4)
5,0.0003022215,0.07233162632549996,(0.06640693 * (x14 - x16)),0.06640693*x14 - 0.06640693*x16,PySRFunction(X=>0.06640693*x14 - 0.06640693*x16)
7,0.00026498424,0.06574491986274417,(0.1988318 * sin(x14 - x16)),0.1988318*sin(x14 - x16),PySRFunction(X=>0.1988318*sin(x14 - x16))
8,0.00026204728,0.01114540702382249,(0.14953005 * tanh(x14 - x16)),0.14953005*tanh(x14 - x16),PySRFunction(X=>0.14953005*tanh(x14 - x16))
10,0.00026058996,0.002788404012277072,(0.19138959 * sin(tanh(x14 - x16))),0.19138959*sin(tanh(x14 - x16)),PySRFunction(X=>0.19138959*sin(tanh(x14 - x16)))
11,0.00025879464,0.006913286032675572,(0.19138959 * tanh(tanh(x14 - x16))),0.19138959*tanh(tanh(x14 - x16)),PySRFunction(X=>0.19138959*tanh(tanh(x14 - x16)))
12,0.0002553307,0.013475283735173437,(0.19138959 * sin((x14 - x16) * cos(abs(x0)))),0.19138959*sin((x14 - x16)*cos(Abs(x0))),PySRFunction(X=>0.19138959*sin((x14 - x16)*cos(Abs(x0))))
21,0.00023418068,0.009607401504195166,(square(x17 * -0.0789916) * ((x4 - square((square(x16 * x11) * x2) * -0.43999052)) * 0.4630112)),0.00623967287056*x17**2*(-0.0896351057369761*x11**4*x16**4*x2**2 + 0.4630112*x4),PySRFunction(X=>0.00623967287056*x17**2*(-0.0896351057369761*x11**4*x16**4*x2**2 + 0.4630112*x4))
23,0.0002280359,0.013294940732870382,(square(x17 * 0.082067594) * ((x4 - square((x11 - (square(x1 * x2) * x11)) * 0.4630112)) * 0.4630112)),0.00673508998494883*x17**2*(0.4630112*x4 - 0.0992600499726376*(-x1**2*x11*x2**2 + x11)**2),PySRFunction(X=>0.00673508998494883*x17**2*(0.4630112*x4 - 0.0992600499726376*(-x1**2*x11*x2**2 + x11)**2))
25,0.00022124045,0.01512647679261453,(square(x17 * 0.082067594) * ((x4 - square((x1 - ((square(x1 * x2) - 0.73530465) * x11)) * -0.48377803)) * 0.4718486)),0.00673508998494883*x17**2*(0.4718486*x4 - 0.11043200421564*(-x1 + x11*(x1**2*x2**2 - 0.73530465))**2),PySRFunction(X=>0.00673508998494883*x17**2*(0.4718486*x4 - 0.11043200421564*(-x1 + x11*(x1**2*x2**2 - 0.73530465))**2))
27,0.00020624415,0.03509472896923718,(square(x17 * 0.082067594) * ((x4 - square(square(((x15 - (square(x1 * x2) * x15)) * 0.36459672) * x2))) * 0.4630112)),0.00673508998494883*x17**2*(-0.00818168068403106*x2**4*(-x1**2*x15*x2**2 + x15)**4 + 0.4630112*x4),PySRFunction(X=>0.00673508998494883*x17**2*(-0.00818168068403106*x2**4*(-x1**2*x15*x2**2 + x15)**4 + 0.4630112*x4))
28,0.00020585407,0.0018931414773080088,(square(x17 * 0.082067594) * ((x4 - square(square(((x15 - (square(x1 * x2) * abs(x15))) * 0.36459672) * x2))) * 0.4630112)),0.00673508998494883*x17**2*(-0.00818168068403106*x2**4*(-x1**2*x2**2*Abs(x15) + x15)**4 + 0.4630112*x4),PySRFunction(X=>0.00673508998494883*x17**2*(-0.00818168068403106*x2**4*(-x1**2*x2**2*Abs(x15) + x15)**4 + 0.4630112*x4))
29,0.00019253543,0.06688733095845414,(square(x17 * 0.082067594) * ((x4 - square(square(((x15 - (square((x1 + -0.06698423) * x2) * x15)) * 0.38456672) * x2))) * 0.441279)),0.00673508998494883*x17**2*(-0.00965161640407102*x2**4*(-x15*x2**2*(x1 - 0.06698423)**2 + x15)**4 + 0.441279*x4),PySRFunction(X=>0.00673508998494883*x17**2*(-0.00965161640407102*x2**4*(-x15*x2**2*(x1 - 0.06698423)**2 + x15)**4 + 0.441279*x4))
31,0.00019087357,0.004334458521845281,(square(x17 * 0.082067594) * ((x4 - square(square(((x15 - (square((x1 + -0.06698423) * x2) * x15)) * -0.38684303) * x2) + -0.24592802)) * 0.4630112)),0.00673508998494883*x17**2*(0.4630112*x4 - 0.0280031910253982*(0.608501340593808*x2**2*(x15*x2**2*(x1 - 0.06698423)**2 - x15)**2 - 1)**2),PySRFunction(X=>0.00673508998494883*x17**2*(0.4630112*x4 - 0.0280031910253982*(0.608501340593808*x2**2*(x15*x2**2*(x1 - 0.06698423)**2 - x15)**2 - 1)**2))
33,0.00019040384,0.0012319907377996925,(square(x17 * 0.082067594) * ((x4 - square(square(((x15 - (square((x1 + -0.06698423) * x2) * x15)) * -0.38684303) * x2) + -0.24592802)) * sin(0.4630112))),0.00673508998494883*x17**2*(0.446644283459043*x4 - 0.0270133102398078*(0.608501340593808*x2**2*(x15*x2**2*(x1 - 0.06698423)**2 - x15)**2 - 1)**2),PySRFunction(X=>0.00673508998494883*x17**2*(0.446644283459043*x4 - 0.0270133102398078*(0.608501340593808*x2**2*(x15*x2**2*(x1 - 0.06698423)**2 - x15)**2 - 1)**2))
34,0.00018662738,0.02003328159646389,(square(x17 * 0.082067594) * (((x4 - tanh(x13)) - square(square(((x15 - (square((x1 + -0.06698423) * x2) * x15)) * -0.38684303) * x2))) * 0.4630112)),0.00673508998494883*x17**2*(-0.0103688502354851*x2**4*(x15*x2**2*(x1 - 0.06698423)**2 - x15)**4 + 0.4630112*x4 - 0.4630112*tanh(x13)),PySRFunction(X=>0.00673508998494883*x17**2*(-0.0103688502354851*x2**4*(x15*x2**2*(x1 - 0.06698423)**2 - x15)**4 + 0.4630112*x4 - 0.4630112*tanh(x13)))
