complexity,loss,score,equation,sympy_format,lambda_format
1,0.00047558956,0.0,1.0059771e-9,1.00597710000000e-9,PySRFunction(X=>1.00597710000000E-9)
3,0.00029841356,0.2330374518499003,(-0.0133143375 * x16),-0.0133143375*x16,PySRFunction(X=>-0.0133143375*x16)
5,0.00022979097,0.13065512002648091,((x14 + x15) * -0.03548826),-0.03548826*x14 - 0.03548826*x15,PySRFunction(X=>-0.03548826*x14 - 0.03548826*x15)
7,0.00020640646,0.053661369018093395,((x3 - (x13 * 0.6845993)) * 0.020362582),-0.0139402093833926*x13 + 0.020362582*x3,PySRFunction(X=>-0.0139402093833926*x13 + 0.020362582*x3)
8,0.00020222225,0.020479991469984225,((x3 - tanh(x13)) * 0.020750854),0.020750854*x3 - 0.020750854*tanh(x13),PySRFunction(X=>0.020750854*x3 - 0.020750854*tanh(x13))
9,0.00017480398,0.14570210825630298,(((x3 - x12) - (x13 * 1.5826597)) * 0.013312068),-0.013312068*x12 - 0.0210684735472596*x13 + 0.013312068*x3,PySRFunction(X=>-0.013312068*x12 - 0.0210684735472596*x13 + 0.013312068*x3)
11,0.00017349551,0.0037567558757175094,((((x3 - x12) - (x13 * 1.5734676)) * 0.015625872) * 0.9056229),-0.0141511475156688*x12 - 0.0222663721187253*x13 + 0.0141511475156688*x3,PySRFunction(X=>-0.0141511475156688*x12 - 0.0222663721187253*x13 + 0.0141511475156688*x3)
12,0.00017262183,0.0050484720333734984,(((x3 - (x12 + x15)) - tanh(x13)) * 0.013310749),-0.013310749*x12 - 0.013310749*x15 + 0.013310749*x3 - 0.013310749*tanh(x13),PySRFunction(X=>-0.013310749*x12 - 0.013310749*x15 + 0.013310749*x3 - 0.013310749*tanh(x13))
13,0.0001576664,0.09062183956566913,(((x3 - (x12 + cos(x1 * -1.7196184))) - x13) * 0.015516605),-0.015516605*x12 - 0.015516605*x13 + 0.015516605*x3 - 0.015516605*cos(1.7196184*x1),PySRFunction(X=>-0.015516605*x12 - 0.015516605*x13 + 0.015516605*x3 - 0.015516605*cos(1.7196184*x1))
15,0.00015389567,0.012103251597066409,(((x3 - sin(x14 + cos(x10 * 1.733364))) - x13) * 0.015516605),-0.015516605*x13 + 0.015516605*x3 - 0.015516605*sin(x14 + cos(1.733364*x10)),PySRFunction(X=>-0.015516605*x13 + 0.015516605*x3 - 0.015516605*sin(x14 + cos(1.733364*x10)))
17,0.00015201372,0.0061520626828194145,(((x3 - ((x12 + cos(square(x10) + 0.6241109)) * 0.76323235)) - x13) * 0.015516605),-0.0118427748981717*x12 - 0.015516605*x13 + 0.015516605*x3 - 0.0118427748981717*cos(x10**2 + 0.6241109),PySRFunction(X=>-0.0118427748981717*x12 - 0.015516605*x13 + 0.015516605*x3 - 0.0118427748981717*cos(x10**2 + 0.6241109))
19,0.0001501396,0.006202625984744283,(((x3 - ((x12 + sin(cos(square(x10) * -1.5319769))) * 0.765838)) - x13) * 0.015516605),-0.01188320573999*x12 - 0.015516605*x13 + 0.015516605*x3 - 0.01188320573999*sin(cos(1.5319769*x10**2)),PySRFunction(X=>-0.01188320573999*x12 - 0.015516605*x13 + 0.015516605*x3 - 0.01188320573999*sin(cos(1.5319769*x10**2)))
20,0.00014884102,0.008686771509762346,(((x3 - ((x12 + tanh(cos(square(x10) * -1.5319769))) * 0.765838)) - x13) * 0.015516605),-0.01188320573999*x12 - 0.015516605*x13 + 0.015516605*x3 - 0.01188320573999*tanh(cos(1.5319769*x10**2)),PySRFunction(X=>-0.01188320573999*x12 - 0.015516605*x13 + 0.015516605*x3 - 0.01188320573999*tanh(cos(1.5319769*x10**2)))
21,0.00014854026,0.0020227238415573188,(((x3 - ((x12 + sin(sin(cos(square(x10) * 1.575052)))) * 0.76323235)) - x13) * 0.015516605),-0.0118427748981717*x12 - 0.015516605*x13 + 0.015516605*x3 - 0.0118427748981717*sin(sin(cos(1.575052*x10**2))),PySRFunction(X=>-0.0118427748981717*x12 - 0.015516605*x13 + 0.015516605*x3 - 0.0118427748981717*sin(sin(cos(1.575052*x10**2))))
22,0.00014799972,0.003645650739455569,(((x3 - ((x12 + sin(tanh(cos((x10 * x17) * 1.7481217)))) * 0.76323235)) - x13) * 0.015516605),-0.0118427748981717*x12 - 0.015516605*x13 + 0.015516605*x3 - 0.0118427748981717*sin(tanh(cos(1.7481217*x10*x17))),PySRFunction(X=>-0.0118427748981717*x12 - 0.015516605*x13 + 0.015516605*x3 - 0.0118427748981717*sin(tanh(cos(1.7481217*x10*x17))))
23,0.00014783246,0.0011307763599099669,(((x3 - ((x12 + tanh(tanh(cos((x10 * x17) * 1.7481217)))) * 0.76323235)) - x13) * 0.015516605),-0.0118427748981717*x12 - 0.015516605*x13 + 0.015516605*x3 - 0.0118427748981717*tanh(tanh(cos(1.7481217*x10*x17))),PySRFunction(X=>-0.0118427748981717*x12 - 0.015516605*x13 + 0.015516605*x3 - 0.0118427748981717*tanh(tanh(cos(1.7481217*x10*x17))))
24,0.00014700656,0.005602393877150841,(((x3 - ((x12 + sin(tanh(cos(((x10 * x9) * x17) * 1.7481217)))) * 0.76323235)) - x13) * 0.015516605),-0.0118427748981717*x12 - 0.015516605*x13 + 0.015516605*x3 - 0.0118427748981717*sin(tanh(cos(1.7481217*x10*x17*x9))),PySRFunction(X=>-0.0118427748981717*x12 - 0.015516605*x13 + 0.015516605*x3 - 0.0118427748981717*sin(tanh(cos(1.7481217*x10*x17*x9))))
