Complexity,Loss,Equation
1,0.0025692012,"-5.371005e-9"
3,0.0011165123,"(0.038114153 * x16)"
5,0.0006930561,"(0.04833214 * (x13 - x3))"
7,0.00067387027,"(0.04628007 * (x13 - (x3 * 1.091405)))"
9,0.0006295905,"(0.051580917 * (x13 - (x3 + (x1 - x18))))"
11,0.00057494483,"(0.043198645 * ((x13 - sin(x3 + x12)) - x3))"
13,0.00054183824,"(0.043198645 * ((x13 - sin(x3 + x12)) - (x3 * 1.1207966)))"
15,0.0005166941,"(0.043198645 * ((x13 - sin((x3 - 0.10782453) + x12)) - (x3 * 1.1302465)))"
17,0.00051272317,"(0.043198645 * ((x13 - sin(((x3 + x12) + -0.14597774) * square(x11))) - x3))"
19,0.00049454055,"(0.043198645 * ((x13 - sin(((x3 + x12) + -0.14597774) * square(x11))) - (x3 * 1.1207966)))"
21,0.00048906525,"(((0.0031173802 * (x3 - x7)) - -0.051146206) * (((sin(x13) - sin(x3 - 0.1688658)) - x3) - x12))"
22,0.00043486498,"(((sin(x13) * (x0 + x19)) - -0.051146206) * ((tanh(x13 - (x3 * 1.3165174)) - x3) - x12))"
24,0.0004228794,"(((sin(x13 + 0.19914041) * (x0 + x19)) - -0.051146206) * ((tanh(x13 - (x3 * 1.3250889)) - x3) - x12))"
26,0.0004108803,"(((cos(square(square(x18))) * (x0 + x19)) - -0.051146206) * ((tanh(x13 - (x3 * 1.3931667)) - x3) - x12))"
27,0.00040625586,"(((tanh(square(x3) - x1) * (x0 + x19)) - -0.051146206) * ((tanh(x13 - (x3 * 1.3165174)) - x3) - x12))"
29,0.0004009354,"(((tanh(square(x3) - x1) * (x0 + x19)) - -0.051146206) * ((tanh(x13 - (x3 * 1.2928995)) - x3) - (x12 + -0.04786312)))"
31,0.00039861072,"(((tanh(square(square(x3)) - x1) * (x0 + x19)) - -0.051146206) * ((tanh(x13 - (x3 * 1.2928995)) - x3) - (x12 + -0.04786312)))"
33,0.00039376,"(((tanh(square(x3 * sin(x2)) - x1) * (x0 + x19)) - -0.051146206) * ((tanh(x13 - (x3 * 1.2928995)) - x3) - (x12 + -0.051146206)))"
35,0.0003915549,"(((tanh(square(square(x3) * sin(x2)) - x1) * (x0 + x19)) - -0.051146206) * ((tanh(x13 - (x3 * 1.2928995)) - x3) - (x12 + -0.051146206)))"
37,0.0003908076,"(((tanh(square(square(x3 * 0.97941685) * sin(x2)) - x1) * (x0 + x19)) - -0.051146206) * ((tanh(x13 - (x3 * 1.2928995)) - x3) - (x12 + -0.051146206)))"
39,0.00038986315,"(((tanh(square(square(x3 * 0.97941685) * sin(x2 + 0.044557344)) - x1) * (x0 + x19)) - -0.051146206) * ((tanh(x13 - (x3 * 1.2928995)) - x3) - (x12 + -0.051146206)))"
