,Gamma,Theta,Time,cable_6 X,cable_6 Y,cable_6 Z,rob_speed X,rob_speed Y,rob_speed Z,robot_cable_attach_point X,robot_cable_attach_point Y,robot_cable_attach_point Z,rod_end X,rod_end Y,rod_end Z
0,0.025528359,-0.213158069,15.19,217.689,-593.789,901.225,0,0,0,-80.061,249.224,-529.052,710.057,-1520.001,720.975
1,0.025368656,-0.211752393,15.2,217.749,-594.029,901.521,1.12,-1.7,0.16,-79.949,249.054,-529.036,710.113,-1519.894,721.022
2,0.025032135,-0.210758491,15.21,217.774,-594.234,901.793,3.036,-5.08,1.658,-79.847,248.852,-528.899,710.03,-1520.039,721.026
3,0.02467989,-0.209751188,15.22,217.867,-594.416,902.104,5.2068,-9.714,4.4804,-79.772,248.642,-528.735,709.883,-1520.253,720.964
4,0.024302528,-0.208649217,15.23,218.016,-594.604,902.41,7.55984,-14.7532,7.18252,-79.68,248.458,-528.674,709.834,-1520.209,720.962
5,0.023958151,-0.207567581,15.24,218.111,-594.801,902.695,10.271592,-19.68316,10.646176,-79.545,248.271,-528.499,709.626,-1520.395,720.947
6,0.023898194,-0.206144522,15.25,218.193,-595.103,903.092,13.0850096,-24.091808,13.6288488,-79.405,248.077,-528.406,709.851,-1520.121,720.985
7,0.023542158,-0.205276455,15.26,218.326,-595.295,903.38,15.57858448,-27.5604104,16.58036944,-79.278,247.886,-528.243,709.658,-1520.348,720.928
8,0.023384987,-0.20384493,15.27,218.474,-595.443,903.665,17.40494342,-29.91611152,18.57870107,-79.164,247.687,-528.143,709.476,-1520.458,720.949
9,0.023370383,-0.202573601,15.28,218.633,-595.525,903.943,19.13817213,-30.65463138,19.11932943,-78.981,247.526,-528.083,709.67,-1520.288,720.931
10,0.022984738,-0.201523017,15.29,218.784,-595.667,904.286,20.26426075,-30.18383611,19.18396202,-78.833,247.333,-527.934,709.505,-1520.489,720.944
11,0.022760927,-0.200179261,15.3,218.925,-595.817,904.575,20.64131444,-28.34173676,18.14373514,-78.694,247.173,-527.852,709.384,-1520.441,720.867
12,0.022580048,-0.198727884,15.31,219.05,-596.003,904.868,19.69653131,-25.83967367,17.19315743,-78.616,246.974,-527.672,709.517,-1520.353,720.856
13,0.02210746,-0.198009119,15.32,219.167,-596.184,905.124,17.99657337,-22.60384952,15.28832176,-78.504,246.814,-527.605,709.317,-1520.553,720.876
14,0.021841833,-0.196865623,15.33,219.35,-596.355,905.419,15.65695388,-19.37122283,13.81513747,-78.405,246.62,-527.428,709.367,-1520.461,720.739
15,0.021384699,-0.196108739,15.34,219.543,-596.5,905.684,13.68560095,-16.43473653,13.02775787,-78.235,246.429,-527.236,709.264,-1520.459,720.834
16,0.021548843,-0.194514042,15.35,219.658,-596.729,906.007,12.54282322,-13.70842521,12.36634044,-78.035,246.273,-527.101,709.308,-1520.453,720.783
17,0.021325534,-0.193294614,15.36,219.875,-596.868,906.353,11.47004094,-11.58390249,11.01443071,-77.914,246.103,-527.053,709.286,-1520.486,720.808
18,0.021167301,-0.192352464,15.37,220.048,-596.996,906.607,11.3575328,-9.993441805,10.02626888,-77.714,245.955,-526.92,709.171,-1520.662,720.782
19,0.020901114,-0.190931795,15.38,220.283,-597.056,906.905,10.92052219,-9.462683003,9.604296345,-77.634,245.765,-526.773,709.242,-1520.512,720.715
20,0.020751425,-0.189595502,15.39,220.529,-597.142,907.183,10.40516042,-9.608731782,9.32409143,-77.537,245.608,-526.667,709.468,-1520.328,720.825
21,0.020310049,-0.188394735,15.4,220.777,-597.276,907.562,9.380818786,-10.5293025,9.309497864,-77.489,245.433,-526.55,709.287,-1520.493,720.766
22,0.020062894,-0.187399904,15.41,220.97,-597.379,907.802,8.580829437,-12.1048859,9.855413868,-77.383,245.253,-526.401,709.383,-1520.5,720.837
23,0.019853484,-0.186306144,15.42,221.22,-597.541,908.094,8.672756079,-14.21242237,10.27119688,-77.216,245.063,-526.31,709.444,-1520.439,720.821
24,0.019596051,-0.185325068,15.43,221.463,-597.673,908.385,9.41821445,-16.44796296,10.53828191,-77.063,244.887,-526.218,709.525,-1520.362,720.8
25,0.019378247,-0.184150389,15.44,221.74,-597.799,908.637,10.90730554,-18.78515319,11.67483024,-76.887,244.69,-526.023,709.421,-1520.442,720.804
26,0.019263505,-0.182900794,15.45,221.98,-597.927,908.906,12.26675696,-20.87010908,13.22024072,-76.776,244.504,-525.854,709.631,-1520.277,720.854
27,0.019092228,-0.181693846,15.46,222.215,-598.016,909.142,14.02358755,-22.48955847,14.75908607,-76.6,244.321,-525.707,709.566,-1520.235,720.789
28,0.018852931,-0.180214803,15.47,222.43,-598.284,909.561,14.25237632,-23.43810708,14.99813829,-76.595,244.147,-525.674,709.76,-1520.131,720.845
29,0.018660269,-0.179101578,15.48,222.638,-598.394,909.801,14.52304859,-23.71799011,14.90347145,-76.446,243.97,-525.555,709.803,-1520.079,720.805
30,0.018410177,-0.178054444,15.49,222.885,-598.506,910.059,14.49434876,-23.59808584,14.52792415,-76.328,243.77,-525.435,709.78,-1520.099,720.805
31,0.018276088,-0.176784255,15.5,223.125,-598.609,910.297,14.46908405,-22.8603634,13.48713917,-76.183,243.597,-525.36,709.795,-1520.089,720.854
32,0.018028397,-0.175934377,15.51,223.449,-598.704,910.571,14.7694374,-21.70037687,12.41171877,-76.006,243.418,-525.239,709.658,-1520.265,720.826
33,0.01776444,-0.174440468,15.52,223.687,-598.851,910.832,14.20281168,-20.32635131,11.51266853,-75.942,243.234,-525.108,709.737,-1520.081,720.81
34,0.01753276,-0.173637746,15.53,223.941,-599.005,911.062,13.72256736,-18.70709317,11.27225646,-75.797,243.069,-524.936,709.763,-1520.183,720.864
35,0.017286038,-0.172409899,15.54,224.143,-599.174,911.385,12.57809073,-17.36905153,10.56865995,-75.731,242.87,-524.872,709.763,-1520.077,720.846
36,0.017094428,-0.171262124,15.55,224.335,-599.368,911.639,10.6402527,-16.1079089,9.838557102,-75.696,242.702,-524.776,709.955,-1519.951,720.848
37,0.016922651,-0.170222369,15.56,224.538,-599.508,911.891,9.162173198,-15.22208964,9.627608825,-75.563,242.516,-524.633,709.918,-1519.994,720.895
38,0.016934029,-0.168845614,15.57,224.732,-599.68,912.078,7.955684328,-14.73264334,9.094994494,-75.459,242.333,-524.571,710.122,-1519.904,721.028
39,0.016734887,-0.167555766,15.58,224.953,-599.827,912.291,6.684275912,-14.56887734,8.656142147,-75.398,242.158,-524.476,710.094,-1519.871,720.888
40,0.016509333,-0.166350008,15.59,225.253,-599.992,912.578,5.231580746,-14.76460021,8.525560819,-75.362,241.978,-524.363,710.125,-1519.857,720.913
41,0.01637213,-0.165146593,15.6,225.444,-600.109,912.809,4.470997022,-15.13429077,8.205481543,-75.255,241.811,-524.298,710.215,-1519.765,720.931
42,0.016168293,-0.164233764,15.61,225.69,-600.304,913.086,4.219371969,-15.70358319,8.15686204,-75.167,241.636,-524.192,710.288,-1519.825,720.949
43,0.015841055,-0.163262217,15.62,225.919,-600.444,913.317,4.520972224,-16.26558806,8.437418283,-75.072,241.474,-524.078,710.179,-1519.862,721.001
44,0.015608662,-0.161974443,15.63,226.131,-600.583,913.492,4.200315231,-16.66483363,7.836177073,-75.086,241.322,-524.079,710.331,-1519.766,720.949
45,0.015586253,-0.160833597,15.64,226.352,-600.727,913.689,5.021692414,-17.24767128,8.821442277,-74.933,241.133,-523.848,710.397,-1519.729,721.039
46,0.015476132,-0.159789078,15.65,226.559,-600.874,913.857,6.238762637,-17.71745804,9.716036733,-74.835,240.966,-523.759,710.42,-1519.71,720.99
47,0.015248003,-0.158508799,15.66,226.723,-601.048,914.035,6.560249575,-17.98852032,10.05956807,-74.85,240.804,-523.708,710.433,-1519.807,721.102
48,0.015156991,-0.157226956,15.67,226.932,-601.189,914.268,6.823562861,-18.03362434,9.772789467,-74.787,240.644,-523.667,710.476,-1519.63,721.021
49,0.015055915,-0.156182276,15.68,227.092,-601.375,914.487,7.078188533,-17.76085552,8.507409777,-74.717,240.495,-523.67,710.528,-1519.679,721.089
50,0.014827278,-0.155435197,15.69,227.263,-601.541,914.695,7.959532784,-16.60927803,8.027827078,-74.581,240.408,-523.519,710.361,-1519.865,721.038
51,0.014722715,-0.154063755,15.7,227.463,-601.706,914.881,7.386789331,-16.24193049,7.233419942,-74.638,240.175,-523.475,710.537,-1519.643,721.123
52,0.014406368,-0.153244157,15.71,227.678,-601.827,915.03,6.382641291,-15.55712466,6.075111524,-74.613,240.048,-523.447,710.422,-1519.894,721.008
53,0.014214485,-0.152201253,15.72,227.889,-601.966,915.174,5.620643926,-15.01508694,5.005122797,-74.535,239.885,-523.389,710.434,-1519.779,721.11
54,0.01411157,-0.150861372,15.73,228.1,-602.138,915.323,4.292781904,-14.3557443,3.811620662,-74.543,239.752,-523.362,710.561,-1519.638,721.001
55,0.014076045,-0.149766439,15.74,228.257,-602.325,915.482,3.368427895,-14.01676149,3.066306674,-74.473,239.583,-523.291,710.612,-1519.567,721.018
56,0.013886812,-0.148453595,15.75,228.476,-602.465,915.691,2.099666496,-13.58000082,2.568893418,-74.483,239.456,-523.243,710.753,-1519.412,721.067
57,0.013799037,-0.147199926,15.76,228.646,-602.639,915.879,1.187814588,-13.47891613,2.514332146,-74.439,239.291,-523.178,710.858,-1519.352,721.115
58,0.01358365,-0.146132864,15.77,228.855,-602.764,916.078,-0.021633588,-13.1800483,2.553793786,-74.466,239.177,-523.144,710.81,-1519.414,721.087
59,0.013385866,-0.145445446,15.78,229.106,-602.905,916.228,-0.307973587,-13.44306242,4.023929884,-74.386,238.992,-522.975,710.685,-1519.676,721.15
