Complexity,Loss,Equation
1,0.0006804673,"0.020251852"
2,0.0006804672,"sin(0.020250361)"
4,0.0001381741,"(x1 * x1)"
6,7.220131e-5,"((x1 - x0) * x1)"
7,7.020866e-5,"(x1 * tanh(x1 - x0))"
8,6.412054e-5,"((x1 * (x1 - x0)) - -0.0028426717)"
9,5.959323e-5,"((x1 * tanh(x1 - x0)) - -0.0028426717)"
10,5.6937883e-5,"(((x1 - -0.017145732) * (x1 - x0)) - -0.0028426717)"
11,5.4456203e-5,"((tanh(x1 - -0.017145732) * (x1 - x0)) - -0.0028426717)"
12,4.9696886e-5,"((x1 + (x0 * x0)) * tanh(x1 - x0))"
13,4.7017966e-5,"((x1 + (x0 * x0)) * tanh(tanh(x1 - x0)))"
14,4.6614605e-5,"((x1 + (x0 * x0)) * tanh(tanh(sin(x1 - x0))))"
15,5.1243645e-18,"((x1 + ((x0 * x0) / x1)) * x1)"
