Complexity,Loss,Equation
1,0.0028250844,"-0.010213688"
3,0.0013645842,"x6 * -0.0002715892"
5,0.00069618115,"x13 * (x4 * 0.00038721345)"
6,0.0006958405,"x4 * sin(x13 * 0.00039046956)"
7,0.00050867634,"((x8 * -0.0013343444) + 0.06750832) * x4"
8,0.0004999617,"((x8 * -0.0014950628) + 0.07458811) * sin(x4)"
9,0.0003979581,"(x4 * ((x8 * -0.0013186721) + 0.08049904)) - -0.0127787795"
10,0.0003936045,"((x6 * x6) * -4.5124185e-7) + (sin(x10) * 0.06487055)"
11,0.000265553,"(x6 * -0.0001623088) + (x10 * ((x8 * -0.0011551428) + 0.0732074))"
12,0.00025824603,"(x6 * -0.00015717941) + (((x8 * -0.0012319379) + 0.07939606) * sin(x10))"
13,0.0002366704,"(x6 * -0.0001557147) + (x10 * ((x8 * -0.0011037507) + (0.11601873 / x12)))"
14,0.00023533803,"(x6 * -0.00015121668) + (((0.124550655 / x12) + (x8 * -0.0011737318)) * sin(x10))"
15,0.00022149218,"((x10 / x12) * 0.11486434) + (((x4 * x8) + (x6 * x5)) * -0.00062319473)"
16,0.0002185197,"(sin(x10 / x12) * 0.116159454) + ((x6 * -0.00014848392) + (x8 * (x4 * -0.00074525893)))"
17,0.00019702748,"(((x6 * x5) + (x8 * (x10 + x4))) * -0.00051028526) + ((x10 / x12) * 0.11907152)"
18,0.0001935275,"((((x4 + x10) * x8) + (x5 * x6)) * -0.00050921075) + (sin(x10 / x12) * 0.12329868)"
19,0.0001912873,"(sin(sin(x10 / x12)) * 0.12716398) + (((x8 * (x10 + x4)) + (x5 * x6)) * -0.0005083624)"
20,0.00018896729,"((x10 * 0.11896898) / x12) + (((((x4 + x10) * x8) + (x5 * x6)) * sin(x12)) * -0.000539935)"
21,0.00016254366,"((x5 * -0.0004438018) * x6) + ((x8 * (x4 * -0.00058788894)) + (((x13 * 0.00021381893) + 0.09365729) * (x10 / x12)))"
22,0.00016125421,"((x4 * (x8 * -0.0005971141)) + (((x13 * 0.00021420312) + 0.09760744) * sin(x10 / x12))) + ((x6 * x5) * -0.0004400715)"
23,0.00016106815,"sin((x8 * (x4 * -0.00059803633)) + ((((x13 * 0.00022134096) + 0.09760744) * sin(x10 / x12)) + ((x6 * x5) * -0.0004430535)))"
24,0.0001608322,"sin(sin((((x4 * x8) * -0.000598192) + (((x13 * 0.00022219124) + 0.09760744) * sin(x10 / x12))) + ((x5 * -0.0004435111) * x6)))"
25,0.00015108255,"(x13 * ((x10 / x5) * 3.715321e-5)) + (((x10 * (0.09087509 / x12)) + ((x8 * -0.0005432116) * x4)) + (x5 * (x6 * -0.0004618258)))"
26,0.00014950674,"((((x5 * x6) * -0.00045909677) + (x10 * ((x13 * 3.66212e-5) / x5))) + (x4 * (x8 * -0.00054992054))) + (sin(x10 / x12) * 0.09450903)"
27,0.00014630068,"((x8 * (x4 * -0.0005667402)) + ((x5 * x6) * -0.00044160025)) + (((x10 * 0.092141196) + ((x9 * x13) * ((x10 / x5) * -4.9400904e-5))) / x12)"
28,0.00014110583,"(sin(x12) * (((x8 * x4) * -0.0005879604) + ((x13 * ((x10 / x5) * 4.083666e-5)) + (x5 * (x6 * -0.00046961493))))) + (x10 * (0.09054139 / x12))"
29,0.00013974645,"((((x8 * x4) * -0.0005953114) + (((x6 * -0.0004667166) * x5) + ((x13 * (4.025164e-5 / x5)) * x10))) * sin(x12)) + (sin(x10 / x12) * 0.09416048)"
30,0.00013945685,"sin((((((x8 * x4) * -0.00059544225) + ((x6 * -0.0004671351) * x5)) + ((x13 * x10) * (4.1737636e-5 / x5))) * sin(x12)) + (sin(x10 / x12) * 0.09416048))"
