Complexity,Loss,Equation
1,0.0053368183,"-0.074635826"
3,0.0044936724,"x9 * 0.05117674"
4,0.004493596,"sin(x9 * 0.051221505)"
5,0.0025601124,"(x7 * 0.00033320615) + -0.06026491"
7,0.0025001664,"(x10 * (x13 * -0.00060764316)) + -0.07545778"
8,0.0024866082,"-0.07571908 - ((sin(x10) * 0.0006502086) * x13)"
9,0.0019552752,"-0.05418643 - (((x10 - -0.22001806) * 0.0006777056) * x13)"
10,0.0018432509,"-0.05442273 - ((sin(x10 - -0.23130728) * 0.00074479356) * x13)"
11,0.0015110769,"-0.055097666 - ((x13 * 0.0004107603) * (x10 - (x9 + 1.1624341)))"
12,0.0014615784,"-0.0543627 - (((x10 - sin(x9 + 1.1258178)) * x13) * 0.00043365094)"
13,0.0013257983,"-0.05503229 - ((x10 - (x11 * (-0.97655725 - x9))) * (x13 * 0.00054508634))"
14,0.001312326,"-0.053704444 - ((sin(x10) - ((-0.9874337 - x9) * x11)) * (x13 * 0.0005538295))"
15,0.0012986639,"sin(-0.053704455 - (x13 * ((sin(x10) - (x11 * (-0.9874337 - x9))) * 0.00057656784)))"
16,0.0012903371,"sin(sin(-0.053704455 - (x13 * ((sin(x10) - (x11 * (-0.9874337 - x9))) * 0.00057656784))))"
17,0.001284416,"sin(sin(-0.053704455 - sin((x13 * (sin(x10) - (x11 * (-0.9874337 - x9)))) * 0.00057656784)))"
18,0.0012808159,"sin(sin(sin(sin(-0.053704455 - (x13 * ((sin(x10) - (x11 * (-0.9874337 - x9))) * 0.00057656784))))))"
19,0.0011908713,"-0.05569939 - ((x10 - ((x4 - x9) * (x11 + 0.18203723))) * ((x10 - x0) * (x13 * -0.0003222965)))"
20,0.0011755192,"-0.054163255 - ((x10 - ((x4 - x9) * (x11 + 0.18359268))) * sin((x10 - x0) * (x13 * -0.00033060552)))"
21,0.001163584,"-0.05416327 - ((x10 - ((x4 - x9) * (x11 + 0.18359268))) * sin(sin((x10 - x0) * (-0.0003287041 * x13))))"
22,0.0011563853,"-0.05416327 - (sin(sin(sin(x13 * (-0.0003287041 * (x10 - x0))))) * (x10 - ((x4 - x9) * (x11 + 0.18359268))))"
23,0.0011483514,"-0.054525297 - (sin(sin(((x11 + (x10 - x0)) * x13) * -0.0002443743)) * (x10 - ((x4 - x9) * (x11 + 0.18953474))))"
24,0.0011417302,"-0.052751902 - (sin((x13 * (x11 + (x10 - 1.8002629))) * -0.00024513758) * (x10 - ((x4 - x9) * (x11 + (x5 / 1.8002629)))))"
25,0.001118348,"-0.05819959 - ((x10 - (((x5 / 1.7550192) + x11) * (x4 - x9))) * sin(sin((x11 + (x10 - 1.4070703)) * (x13 * -0.000316213))))"
26,0.0011041252,"-0.05819959 - ((x10 - ((x4 - x9) * (x11 + (x5 / x0)))) * sin(sin(sin((x13 * -0.000316213) * ((x10 - 1.4070703) + x11)))))"
27,0.0010858997,"-0.05808759 - ((x10 - ((x4 - x9) * ((x5 / 1.4709004) + x11))) * sin(sin(sin(sin((x13 * -0.00035206444) * (x11 + (x10 - 1.4070576)))))))"
29,0.0010813266,"sin(-0.05819959 - (sin(sin(sin(sin(sin(x13 * (-0.000316213 * (x10 - (1.4070703 - x11)))))))) * (x10 - (((x5 / x0) + x11) * (x4 - x9)))))"
30,0.0010778905,"sin(sin(-0.05819959 - (sin(sin(sin(sin(sin((x13 * -0.000316213) * (x10 - (1.4070703 - x11))))))) * (x10 - (((x5 / x0) + x11) * (x4 - x9))))))"
