Complexity,Loss,Equation
1,0.003250336,"-0.0010279897"
3,0.0027697105,"x3 * 0.00016646224"
4,0.0027695948,"sin(x3 * 0.00016646224)"
5,0.0025012624,"(x5 - x3) * -0.00021234865"
6,0.0019497798,"exp(x3 * 0.020128196) * 0.014608632"
7,0.0017274052,"(x5 - (54.340084 - x4)) * -0.0008619365"
8,0.0012974773,"(abs(x3) * 0.00090224645) - (x3 * -0.0010207554)"
9,0.0010933107,"((x5 - (x3 * x2)) * -0.0014465414) - -0.049483053"
10,0.0009361716,"((x5 - (x3 * 0.27800778)) - abs(x5)) * -0.0014152937"
11,0.00093287125,"sin(((x5 - (x3 * 0.27735597)) - abs(x5)) * -0.0014327075)"
12,0.0008955632,"((x5 - (x3 * 0.30009413)) - abs(6.0111923 - x5)) * -0.0013111088"
13,0.0008935291,"sin(((x5 - (x3 * 0.2990571)) - abs(6.0111947 - x5)) * -0.0013314972)"
14,0.0007650673,"((x5 - ((x6 * 0.021218607) - (x3 * -0.28160363))) - abs(x5)) * -0.0013773178"
15,0.0007627298,"sin(((x5 - (((x6 * -0.07629452) - x3) * -0.28213298)) - abs(x5)) * -0.0014025439)"
16,0.0007389422,"((x5 - (((x6 * -0.07488463) - x3) * -0.29978812)) - abs(x5 + -5.3224235)) * -0.0012982099"
17,0.0007377749,"sin(((x5 - (((x6 * -0.07488463) - x3) * -0.29978812)) - abs(x5 + -5.3224235)) * -0.0012982099)"
18,0.0006477795,"(((x5 + -12.461687) - abs(x5 + -12.805021)) - ((x6 * 0.025615161) - (x3 * -0.39046326))) * -0.0011146002"
19,0.000645915,"sin(((-12.461688 - abs(x5 + -13.095979)) + (x5 - (((x6 * -0.06490271) - x3) * -0.38900253))) * -0.0011433987)"
20,0.0006150902,"((x5 - (((x6 * -0.060912408) - x3) * -0.405004)) - (abs((3.439704 / x10) + x5) + 14.460621)) * -0.0011290477"
21,0.0006131053,"sin(((x5 - (((x6 * -0.060912408) - x3) * -0.405004)) - (abs((3.439704 / x10) + x5) + 14.460621)) * -0.0011290472)"
22,0.00059774093,"(((x5 - ((((0.22047606 - x2) * x6) - x3) * -0.40308684)) - abs(x5 + (3.3840654 / x10))) - 15.610799) * -0.001095302"
23,0.0005965344,"sin(((x5 - (((x6 * (0.21988045 - x2)) - x3) * -0.3999614)) - (abs(x5 + (3.3840165 / x10)) + 15.147124)) * -0.0011370684)"
24,0.0005947714,"sin(sin(((x5 - (((x6 * (0.21988045 - x2)) - x3) * -0.3999614)) - (abs(x5 + (3.3840165 / x10)) + 15.147124)) * -0.0011370684))"
25,0.0005934641,"sin(sin(sin(((x5 - (((x6 * (0.21988045 - x2)) - x3) * -0.3999614)) - (abs(x5 + (3.3840165 / x10)) + 15.147124)) * -0.0011370699)))"
26,0.00059256935,"sin(sin(sin(sin(((x5 - (-0.3999614 * ((x6 * (0.21988045 - x2)) - x3))) - (abs((3.3840165 / x10) + x5) + 15.147124)) * -0.0011370699))))"
27,0.00058947544,"sin(((x5 - (((((0.21149996 - x2) / 1.2223625) * x6) - x3) * -0.3992203)) - (abs((3.3840165 / x10) + x5) + 15.611034)) * -0.0028680416) * 0.4094021"
28,0.00058739027,"sin(sin(((x5 - ((((x6 * (0.21149996 - x2)) / 1.2797521) - x3) * -0.3992203)) - (abs((3.3840165 / x10) + x5) + 15.611034)) * -0.002877431)) * 0.42402932"
30,0.00058628723,"sin(sin(((x5 - (((((0.21147864 - x2) * x6) / 1.2223605) - x3) * -0.40066597)) - (abs(((3.3840165 / x10) + x5) * 1.0354313) + 15.611034)) * -0.0026597667)) * 0.45329723"
