Complexity,Loss,Equation
1,0.0031279686,"-0.0010001413"
3,0.0024206007,"x16 * -0.055415772"
4,0.0024116894,"sin(x16) * -0.060239054"
5,0.0014660204,"(x3 * 0.00046132074) - x12"
6,0.0014638617,"sin(x3 * 0.0004625327) - x12"
7,0.0009351297,"((x3 - x5) * 0.0005048172) - x12"
8,0.0009341348,"sin((x3 - x5) * 0.00050619367) - x12"
9,0.0005297152,"((x4 * -0.0012902233) + 0.25722522) - (x13 * -3.8804412)"
10,0.00052825076,"(x4 * -0.0012964224) + sin(0.25971743 - (x13 * -3.9169488))"
11,0.00046465182,"(x4 * -0.0012717627) + (0.25329813 - ((x9 * 4.2638206) * x13))"
12,0.0004606234,"(x4 * -0.001288925) - (((sin(x9) * x13) * 4.989375) + -0.25799298)"
13,0.00037160845,"(x3 * 0.00080232526) + ((3.052207 - (x15 * -47.092445)) * (x2 + -0.2029294))"
14,0.00036920438,"sin((x3 * 0.0008056816) + ((x2 + -0.20212775) * (3.0363967 - (x15 * -46.891994))))"
15,0.00035627742,"(x3 * 0.00080101186) + ((x2 + -0.20228153) * (3.036372 - (x15 * (x0 + -47.093475))))"
16,0.00035375022,"sin((x3 * 0.00080101186) + ((x2 + -0.20228153) * (3.036372 - (x15 * (x0 + -47.093475)))))"
17,0.00034222644,"((3.594829 - (x13 * -54.50112)) * (x2 + -0.21568324)) + (x3 * (0.00072311395 - (x15 * 0.0042915363)))"
18,0.00034084334,"sin(((x2 + -0.21568324) * (3.594829 - (x13 * -54.50112))) + ((0.00072311395 - (x15 * 0.0042915363)) * x3))"
19,0.0003209939,"((0.0011873328 - ((x12 / 3.5948403) * -0.016510034)) * x3) + ((3.6262562 - (x13 * -54.498955)) * (x2 + -0.21978585))"
20,0.00030782385,"((x2 + -0.21870765) * (4.2552824 - (x13 * -65.196))) + ((x3 + ((x13 * square(x4)) * 0.22097993)) * 0.0006881575)"
21,0.00030618673,"sin(((x2 + -0.21870765) * (4.2552824 - (x13 * -65.196))) + ((x3 + ((x13 * square(x4)) * 0.22097993)) * 0.0006881575))"
22,0.00029724583,"((x3 + (x13 * (x7 + (square(x4) * 0.19028693)))) * 0.00065946166) + ((x2 + -0.21048734) * (3.5654287 - (x13 * -54.49969)))"
23,0.00028588687,"((3.5843487 - (x13 * -54.49827)) * (x2 + -0.20917179)) + ((x3 + (abs(x7 + (square(x4) * 0.18597557)) * x13)) * 0.00067681295)"
24,0.0002848797,"sin(((3.5843487 - (x13 * -54.49827)) * (x2 + -0.20917179)) + ((x3 + (abs(x7 + (square(x4) * 0.18597557)) * x13)) * 0.00067681295))"
25,0.000275202,"(((abs(x7 + ((0.22018974 + x12) * square(x4))) * x13) + x3) * 0.00071416714) + ((x2 + -0.21052392) * (3.5989149 - (x13 * -54.49669)))"
26,0.00027236098,"((((((x5 * 4.3428397) + x7) + (square(x4) * 0.21294923)) * x13) + x3) * 0.000667454) + ((x2 + -0.21014409) * (3.6324697 - (x13 * -54.494484)))"
27,0.00026185322,"((3.6435664 - (x13 * -54.49406)) * (x2 + -0.21035597)) + ((x3 + ((abs(x7 + (square(x4) * 0.19763015)) + (x5 * 4.343801)) * x13)) * 0.00068264885)"
28,0.00026090335,"sin(((x3 + (x13 * ((x5 * 4.3423233) + abs(x7 + (square(x4) * 0.21575895))))) * 0.0006704244) + ((3.642832 - (x13 * -54.49371)) * (x2 + -0.20994844)))"
29,0.00025277035,"((x3 + (x13 * ((x5 * 4.341431) + abs(x7 + ((x12 + 0.22936133) * square(x4)))))) * 0.0007238172) + ((3.6626613 - (x13 * -54.492332)) * (-0.21143804 + x2))"
30,0.00025069134,"sin(((x3 + (x13 * ((x5 * 4.341431) + abs(x7 + ((x12 + 0.22936133) * square(x4)))))) * 0.0007238172) + ((3.6626613 - (x13 * -54.492332)) * (x2 + -0.21143804)))"
