complexity,loss,equation,score,sympy_format,lambda_format
1,0.00047558956,9.627877e-10,0.0,9.62787700000000e-10,PySRFunction(X=>9.62787700000000E-10)
3,0.0003615405,x3 * -0.010678365,0.13709057241879632,x3*(-0.010678365),PySRFunction(X=>x3*(-0.010678365))
5,0.00022979097,(x14 + x15) * -0.03548765,0.2266019994575849,(x14 + x15)*(-0.03548765),PySRFunction(X=>(x14 + x15)*(-0.03548765))
7,0.00020469278,(x13 * -0.015235623) + (x3 * -0.021201106),0.05782992434334919,x13*(-0.015235623) + x3*(-0.021201106),PySRFunction(X=>x13*(-0.015235623) + x3*(-0.021201106))
8,0.0002004875,(x3 + tanh(x13)) * -0.021678736,0.02075832025322602,(x3 + tanh(x13))*(-0.021678736),PySRFunction(X=>(x3 + tanh(x13))*(-0.021678736))
9,0.00017368876,(x13 * -0.02350124) + ((x3 + x12) * -0.014582515),0.14348693877902644,x13*(-0.02350124) + (x12 + x3)*(-0.014582515),PySRFunction(X=>x13*(-0.02350124) + (x12 + x3)*(-0.014582515))
11,0.0001692717,(((x14 + x3) + x12) * -0.011086546) + (x15 * -0.028281344),0.012879922803764852,x15*(-0.028281344) + (x12 + x14 + x3)*(-0.011086546),PySRFunction(X=>x15*(-0.028281344) + (x12 + x14 + x3)*(-0.011086546))
13,0.00015877646,((x12 + x3) * ((x0 * -0.0019675568) + -0.015155307)) + (x13 * -0.02434107),0.03200390761394013,x13*(-0.02434107) + (x12 + x3)*(x0*(-0.0019675568) - 0.015155307),PySRFunction(X=>x13*(-0.02434107) + (x12 + x3)*(x0*(-0.0019675568) - 0.015155307))
15,0.00015306441,(x15 * -0.016294645) + (((x3 + ((x0 * x1) + x12)) * -0.014873745) + -0.014873745),0.018319243925925696,x15*(-0.016294645) + (x0*x1 + x12 + x3)*(-0.014873745) - 0.014873745,PySRFunction(X=>x15*(-0.016294645) + (x0*x1 + x12 + x3)*(-0.014873745) - 0.014873745)
16,0.00015080663,(x13 * -0.020609278) + (((x3 + x12) + (x0 * (x10 + sign(x0)))) * -0.01463284),0.014860393072566458,x13*(-0.020609278) + (x0*(x10 + sign(x0)) + x12 + x3)*(-0.01463284),PySRFunction(X=>x13*(-0.020609278) + (x0*(x10 + sign(x0)) + x12 + x3)*(-0.01463284))
17,0.00014911022,-0.011411136 - ((((x12 + x3) + ((x0 * x10) * 0.754888)) * 0.01534522) + (x13 * 0.019312302)),0.011312656102084139,-(x13*0.019312302 + (x0*x10*0.754888 + x12 + x3)*0.01534522) - 0.011411136,PySRFunction(X=>-(x13*0.019312302 + (x0*x10*0.754888 + x12 + x3)*0.01534522) - 0.011411136)
19,0.00014899112,(x13 * -0.019413514) + ((((((x10 * -0.28739274) + x10) * x0) + (x3 + x12)) * -0.015186714) + -0.010605293),0.00039952858426279316,x13*(-0.019413514) + (x0*(x10*(-0.28739274) + x10) + x12 + x3)*(-0.015186714) - 0.010605293,PySRFunction(X=>x13*(-0.019413514) + (x0*(x10*(-0.28739274) + x10) + x12 + x3)*(-0.015186714) - 0.010605293)
20,0.00014784494,((((x10 + (sign(x10) * -0.5435613)) * x0) + (x12 + x3)) * -0.014969577) + ((x13 * -0.01928808) + -0.007068651),0.007722685016745866,x13*(-0.01928808) + (x0*(x10 + sign(x10)*(-0.5435613)) + x12 + x3)*(-0.014969577) - 0.007068651,PySRFunction(X=>x13*(-0.01928808) + (x0*(x10 + sign(x10)*(-0.5435613)) + x12 + x3)*(-0.014969577) - 0.007068651)
22,0.0001460544,(-0.0068348097 - (((x3 + (x0 * ((sign(x10 + 0.36189494) * -0.5805316) + x10))) + x12) * 0.014704067)) + (x13 * -0.019799769),0.006092433394193152,x13*(-0.019799769) - 0.014704067*(x0*(x10 + sign(x10 + 0.36189494)*(-0.5805316)) + x12 + x3) - 0.0068348097,PySRFunction(X=>x13*(-0.019799769) - 0.014704067*(x0*(x10 + sign(x10 + 0.36189494)*(-0.5805316)) + x12 + x3) - 0.0068348097)
24,0.00014595265,((x13 * -0.019808833) + -0.0068348097) - ((x12 + ((x0 * (x10 + (0.0147024775 + (sign(x10 + 0.36189494) * -0.5805316)))) + x3)) * 0.0147024775),0.0003484505052809007,x13*(-0.019808833) - 0.0147024775*(x0*(x10 + sign(x10 + 0.36189494)*(-0.5805316) + 0.0147024775) + x12 + x3) - 0.0068348097,PySRFunction(X=>x13*(-0.019808833) - 0.0147024775*(x0*(x10 + sign(x10 + 0.36189494)*(-0.5805316) + 0.0147024775) + x12 + x3) - 0.0068348097)
26,0.00014595191,sin(((x13 * -0.019808833) + -0.0068348097) - ((x12 + ((x0 * (x10 + (0.0147024775 + (sign(x10 + 0.36189494) * -0.5805316)))) + x3)) * 0.0147024775)),2.5350751629153656e-06,sin(x13*(-0.019808833) - 0.0147024775*(x0*(x10 + sign(x10 + 0.36189494)*(-0.5805316) + 0.0147024775) + x12 + x3) - 0.0068348097),PySRFunction(X=>sin(x13*(-0.019808833) - 0.0147024775*(x0*(x10 + sign(x10 + 0.36189494)*(-0.5805316) + 0.0147024775) + x12 + x3) - 0.0068348097))
27,0.00014595127,tanh(((x13 * -0.019808833) + -0.0068348097) - ((x12 + ((x0 * (x10 + (0.0147024775 + (sign(x10 + 0.36189494) * -0.5805316)))) + x3)) * 0.0147024775)),4.3850156070353915e-06,tanh(x13*(-0.019808833) - 0.0147024775*(x0*(x10 + sign(x10 + 0.36189494)*(-0.5805316) + 0.0147024775) + x12 + x3) - 0.0068348097),PySRFunction(X=>tanh(x13*(-0.019808833) - 0.0147024775*(x0*(x10 + sign(x10 + 0.36189494)*(-0.5805316) + 0.0147024775) + x12 + x3) - 0.0068348097))
28,0.00014581268,((x13 * -0.019874876) + -0.006872091) - (((x12 + x3) + (((sign(x10 + (0.22999947 / x0)) * -0.58147126) + x10) * x0)) * 0.0145921),0.0009500146294524868,x13*(-0.019874876) - 0.0145921*(x0*(x10 + sign(x10 + 0.22999947/x0)*(-0.58147126)) + x12 + x3) - 0.006872091,PySRFunction(X=>x13*(-0.019874876) - 0.0145921*(x0*(x10 + sign(x10 + 0.22999947/x0)*(-0.58147126)) + x12 + x3) - 0.006872091)
30,0.00014581041,sin((x13 * -0.019874876) + -0.006872091) - (((x12 + x3) + (((sign(x10 + (0.22999947 / x0)) * -0.58147126) + x10) * x0)) * 0.014591582),7.784020120149648e-06,-0.014591582*(x0*(x10 + sign(x10 + 0.22999947/x0)*(-0.58147126)) + x12 + x3) + sin(x13*(-0.019874876) - 0.006872091),PySRFunction(X=>-0.014591582*(x0*(x10 + sign(x10 + 0.22999947/x0)*(-0.58147126)) + x12 + x3) + sin(x13*(-0.019874876) - 0.006872091))
31,0.00014580827,tanh((x13 * -0.019874876) + -0.006872091) - (((x12 + x3) + (((sign(x10 + (0.22999947 / x0)) * -0.58147126) + x10) * x0)) * 0.0145921),1.4676700409281905e-05,-0.0145921*(x0*(x10 + sign(x10 + 0.22999947/x0)*(-0.58147126)) + x12 + x3) + tanh(x13*(-0.019874876) - 0.006872091),PySRFunction(X=>-0.0145921*(x0*(x10 + sign(x10 + 0.22999947/x0)*(-0.58147126)) + x12 + x3) + tanh(x13*(-0.019874876) - 0.006872091))
33,0.00014492938,(((x12 + (((x1 + (((x10 - sin(((x11 + 1.939153) * exp(abs(x12))) + x4)) * -0.19923086) + -0.08192594)) * x0) + x3)) * -0.015585213) + (x15 * -0.019706756)) + -0.010424234,0.003022975102152025,x15*(-0.019706756) + (x0*(x1 + (x10 - sin(x4 + (x11 + 1.939153)*exp(Abs(x12))))*(-0.19923086) - 0.08192594) + x12 + x3)*(-0.015585213) - 0.010424234,PySRFunction(X=>x15*(-0.019706756) + (x0*(x1 + (x10 - sin(x4 + (x11 + 1.939153)*exp(Abs(x12))))*(-0.19923086) - 0.08192594) + x12 + x3)*(-0.015585213) - 0.010424234)
34,0.00014422892,((((x3 + ((x1 + (((x1 - sin(((x11 + 1.6385609) * exp(x3)) + (x14 + x14))) * -0.22602199) + -0.13414358)) * x0)) + x12) * -0.015981171) + (x15 * -0.019675702)) + -0.011035497,0.004844829770552223,x15*(-0.019675702) + (x0*(x1 + (x1 - sin(x14 + x14 + (x11 + 1.6385609)*exp(x3)))*(-0.22602199) - 0.13414358) + x12 + x3)*(-0.015981171) - 0.011035497,PySRFunction(X=>x15*(-0.019675702) + (x0*(x1 + (x1 - sin(x14 + x14 + (x11 + 1.6385609)*exp(x3)))*(-0.22602199) - 0.13414358) + x12 + x3)*(-0.015981171) - 0.011035497)
36,0.00014373577,((x15 * -0.019504858) + (((x3 + (((x1 + ((x10 - sin(((exp(sin(x3)) * (x11 + 1.622823)) + x14) + x12)) * -0.2304008)) + -0.116121195) * x0)) + x12) * -0.015999626)) + -0.010671094,0.001712538027148846,x15*(-0.019504858) + (x0*(x1 + (x10 - sin(x12 + x14 + (x11 + 1.622823)*exp(sin(x3))))*(-0.2304008) - 0.116121195) + x12 + x3)*(-0.015999626) - 0.010671094,PySRFunction(X=>x15*(-0.019504858) + (x0*(x1 + (x10 - sin(x12 + x14 + (x11 + 1.622823)*exp(sin(x3))))*(-0.2304008) - 0.116121195) + x12 + x3)*(-0.015999626) - 0.010671094)
38,0.00014366773,(x15 * -0.019669183) + (((x3 + (x12 + (x0 * (x1 + (sin((x1 - sin((x14 + (exp(sin(x3)) * (x11 + 1.622932))) + x12)) * -0.23472682) + -0.11333164))))) * -0.016002174) + -0.010740536),0.00023674033639502472,x15*(-0.019669183) + (x0*(x1 + sin((x1 - sin(x12 + x14 + (x11 + 1.622932)*exp(sin(x3))))*(-0.23472682)) - 0.11333164) + x12 + x3)*(-0.016002174) - 0.010740536,PySRFunction(X=>x15*(-0.019669183) + (x0*(x1 + sin((x1 - sin(x12 + x14 + (x11 + 1.622932)*exp(sin(x3))))*(-0.23472682)) - 0.11333164) + x12 + x3)*(-0.016002174) - 0.010740536)
39,0.00014344903,(((((x1 + (((x1 - sin((x14 * abs(x12 + x12)) + (((x11 + 1.9390496) * exp(x3)) + x4))) * -0.19756879) + -0.08760982)) * x0) + x3) + x12) * -0.015494334) + ((x15 * -0.019335723) + -0.0108578205),0.0015234223338050424,x15*(-0.019335723) + (x0*(x1 + (x1 - sin(x14*(2*Abs(x12)) + x4 + (x11 + 1.9390496)*exp(x3)))*(-0.19756879) - 0.08760982) + x12 + x3)*(-0.015494334) - 0.0108578205,PySRFunction(X=>x15*(-0.019335723) + (x0*(x1 + (x1 - sin(x14*(2*Abs(x12)) + x4 + (x11 + 1.9390496)*exp(x3)))*(-0.19756879) - 0.08760982) + x12 + x3)*(-0.015494334) - 0.0108578205)
