complexity,loss,equation,score,sympy_format,lambda_format
1,0.0025692012,-3.881163e-9,0.0,-3.88116300000000e-9,PySRFunction(X=>-3.88116300000000E-9)
3,0.0020962814,x16 * -0.0217503,0.10171501015018004,x16*(-0.0217503),PySRFunction(X=>x16*(-0.0217503))
5,0.00072574534,(x3 + x13) * 0.05037276,0.5303605551071783,(x13 + x3)*0.05037276,PySRFunction(X=>(x13 + x3)*0.05037276)
7,0.00071610714,(x13 + (x3 * 1.0582145)) * 0.04910914,0.0066846946512998644,(x13 + x3*1.0582145)*0.04910914,PySRFunction(X=>(x13 + x3*1.0582145)*0.04910914)
8,0.00070486794,abs(x11 * 0.04936595) * (x13 + x3),0.015819326520764565,(x13 + x3)*(0.04936595*Abs(x11)),PySRFunction(X=>(x13 + x3)*(0.04936595*Abs(x11)))
10,0.00066896155,((abs(x12) * -0.01452479) + 0.06507707) * (x15 + x3),0.026141940740960042,(0.06507707 + Abs(x12)*(-0.01452479))*(x15 + x3),PySRFunction(X=>(0.06507707 + Abs(x12)*(-0.01452479))*(x15 + x3))
11,0.000631135,cos(sin(x12)) * ((x3 + x15) * 0.06886214),0.058206798859708836,cos(sin(x12))*(x15 + x3)*0.06886214,PySRFunction(X=>cos(sin(x12))*(x15 + x3)*0.06886214)
13,0.0005563509,(cos((x12 + 1.4897907) + x4) + (x3 + x13)) * 0.04749952,0.06306028774308572,(x13 + x3 + cos(x12 + x4 + 1.4897907))*0.04749952,PySRFunction(X=>(x13 + x3 + cos(x12 + x4 + 1.4897907))*0.04749952)
15,0.00052059506,(0.54568946 - (x13 + (x3 + cos((x4 + x12) + 0.87145436)))) * -0.057025574,0.0332133534123802,(0.54568946 - (x13 + x3 + cos(x12 + x4 + 0.87145436)))*(-0.057025574),PySRFunction(X=>(0.54568946 - (x13 + x3 + cos(x12 + x4 + 0.87145436)))*(-0.057025574))
17,0.00049981725,(((x3 + x13) + cos(x12 + (sin(x4) + 0.4806813))) * 0.062286936) - 0.0483778,0.02036498592678107,(x13 + x3 + cos(x12 + sin(x4) + 0.4806813))*0.062286936 - 1*0.0483778,PySRFunction(X=>(x13 + x3 + cos(x12 + sin(x4) + 0.4806813))*0.062286936 - 1*0.0483778)
19,0.000495756,(((x15 + cos((x12 + 0.49088246) + sin(sin(x4)))) + x3) * 0.06090182) - 0.046017732,0.0040793307048439115,(x15 + x3 + cos(x12 + sin(sin(x4)) + 0.49088246))*0.06090182 - 1*0.046017732,PySRFunction(X=>(x15 + x3 + cos(x12 + sin(sin(x4)) + 0.49088246))*0.06090182 - 1*0.046017732)
21,0.0004936455,((x15 + (cos((0.49088246 + x12) + sin(sin(x4) * 1.1365899)) + x3)) * 0.06090182) - 0.046017732,0.002133110977735826,(x15 + x3 + cos(x12 + sin(sin(x4)*1.1365899) + 0.49088246))*0.06090182 - 1*0.046017732,PySRFunction(X=>(x15 + x3 + cos(x12 + sin(sin(x4)*1.1365899) + 0.49088246))*0.06090182 - 1*0.046017732)
22,0.0004602661,(((x15 + (cos((x14 - 0.43520927) - x9) * cos(exp(x12 + x4)))) + x3) * 0.05887036) + -0.005927397,0.07001284775566724,(x15 + x3 + cos(x14 - x9 - 1*0.43520927)*cos(exp(x12 + x4)))*0.05887036 - 0.005927397,PySRFunction(X=>(x15 + x3 + cos(x14 - x9 - 1*0.43520927)*cos(exp(x12 + x4)))*0.05887036 - 0.005927397)
24,0.00045418958,((x3 + (x15 + (cos(exp(x4 + x12)) * sin(cos((x14 - 0.41605937) - x9))))) * 0.058759287) + -0.005641979,0.006645056258575763,(x15 + x3 + sin(cos(x14 - x9 - 1*0.41605937))*cos(exp(x12 + x4)))*0.058759287 - 0.005641979,PySRFunction(X=>(x15 + x3 + sin(cos(x14 - x9 - 1*0.41605937))*cos(exp(x12 + x4)))*0.058759287 - 0.005641979)
26,0.00043649154,((cos(x13) * sin(cos(abs(x4 + abs(x12)) + exp(x4)) + (x14 * -1.0279098))) + (x13 + x3)) * 0.055000547,0.01987284716213649,(x13 + x3 + sin(x14*(-1.0279098) + cos(exp(x4) + Abs(x4 + Abs(x12))))*cos(x13))*0.055000547,PySRFunction(X=>(x13 + x3 + sin(x14*(-1.0279098) + cos(exp(x4) + Abs(x4 + Abs(x12))))*cos(x13))*0.055000547)
28,0.0004198766,((x13 + x3) + (cos(x13) * sin((x14 * -0.9680381) + sin(cos(abs(x4 + abs(x12)) + exp(x4)))))) * 0.055996507,0.019404067532702587,(x13 + x3 + sin(x14*(-0.9680381) + sin(cos(exp(x4) + Abs(x4 + Abs(x12)))))*cos(x13))*0.055996507,PySRFunction(X=>(x13 + x3 + sin(x14*(-0.9680381) + sin(cos(exp(x4) + Abs(x4 + Abs(x12)))))*cos(x13))*0.055996507)
