complexity,loss,equation,score,sympy_format,lambda_format
1,0.000981285,-1.3786243e-10,0.0,-1.37862430000000e-10,PySRFunction(X=>-1.37862430000000E-10)
3,0.00086375757,x4 * 9.198734e-5,0.0637853990484251,x4*9.198734e-5,PySRFunction(X=>x4*9.198734e-5)
5,0.0007587535,0.010464216 - (x4 * -0.00016496166),0.06480759197015472,0.010464216 - (-0.00016496166)*x4,PySRFunction(X=>0.010464216 - (-0.00016496166)*x4)
7,0.00063017325,((x5 - x4) * -0.00028590913) + 0.023281757,0.09284108681657095,0.023281757 + (-x4 + x5)*(-0.00028590913),PySRFunction(X=>0.023281757 + (-x4 + x5)*(-0.00028590913))
9,0.0004230762,(0.047868587 - (x4 * -0.0007169692)) * (x12 + 0.23555481),0.19922123845667664,(0.047868587 - (-0.0007169692)*x4)*(x12 + 0.23555481),PySRFunction(X=>(0.047868587 - (-0.0007169692)*x4)*(x12 + 0.23555481))
11,0.00037634486,(x12 + 0.24744718) * (((x5 - x4) * -0.00071047095) + 0.048390694),0.058523200389523654,(0.048390694 + (-x4 + x5)*(-0.00071047095))*(x12 + 0.24744718),PySRFunction(X=>(0.048390694 + (-x4 + x5)*(-0.00071047095))*(x12 + 0.24744718))
13,0.00036435405,((0.30297288 + x12) * 0.09658812) * ((x1 - (-0.0050534853 * x4)) + 0.5864929),0.01618992207381443,(x12 + 0.30297288)*0.09658812*(x1 - (-1)*0.0050534853*x4 + 0.5864929),PySRFunction(X=>(x12 + 0.30297288)*0.09658812*(x1 - (-1)*0.0050534853*x4 + 0.5864929))
14,0.00036388394,(x12 + 0.29856178) * (((sqrt(x0) + x1) - (x4 * -0.0062391856)) * 0.08252591),0.0012910890993277015,(x12 + 0.29856178)*(0.08252591*sqrt(x0) + 0.08252591*x1 + 0.000514894469298896*x4),PySRFunction(X=>(x12 + 0.29856178)*(0.08252591*sqrt(x0) + 0.08252591*x1 + 0.000514894469298896*x4))
15,0.0003319775,(sin(x10 - (x4 * -0.008692945)) + 0.3123031) * ((x12 + 0.33924356) * 0.09967735),0.0917677751050645,(sin(x10 - (-0.008692945)*x4) + 0.3123031)*(x12 + 0.33924356)*0.09967735,PySRFunction(X=>(sin(x10 - (-0.008692945)*x4) + 0.3123031)*(x12 + 0.33924356)*0.09967735)
17,0.00032405244,sin((x12 + 0.32205117) * (sin(x10 - (x4 * -0.0087870415)) + 0.32604608)) * 0.11593592,0.012080920494002072,sin((x12 + 0.32205117)*(sin(x10 - (-0.0087870415)*x4) + 0.32604608))*0.11593592,PySRFunction(X=>sin((x12 + 0.32205117)*(sin(x10 - (-0.0087870415)*x4) + 0.32604608))*0.11593592)
19,0.00031517976,sin((x12 + 0.33346346) * (sin((x1 - (x4 * -0.009093289)) + 0.3052945) + 0.33346346)) * 0.10729901,0.013881105911792264,sin((x12 + 0.33346346)*(sin(x1 - (-0.009093289)*x4 + 0.3052945) + 0.33346346))*0.10729901,PySRFunction(X=>sin((x12 + 0.33346346)*(sin(x1 - (-0.009093289)*x4 + 0.3052945) + 0.33346346))*0.10729901)
20,0.0003099621,sin(((x10 - sin(x4 * -0.009093289)) + log(x12 + 1.2668922)) * (x12 + 0.33924374)) * 0.099678464,0.016693110783449535,0.099678464*sin((x12 + 0.33924374)*(x10 + log(x12 + 1.2668922) + sin(0.009093289*x4))),PySRFunction(X=>0.099678464*sin((x12 + 0.33924374)*(x10 + log(x12 + 1.2668922) + sin(0.009093289*x4))))
