complexity,loss,equation,score,sympy_format,lambda_format
1,0.00040120198,9.412431e-10,0.0,9.41243100000000e-10,PySRFunction(X=>9.41243100000000E-10)
3,0.00036290265,x4 * -5.243854e-5,0.050165187395262316,x4*(-5.243854e-5),PySRFunction(X=>x4*(-5.243854e-5))
5,0.0003375252,-0.0038389056 - (x4 * 8.311355e-5),0.036247221143830104,-8.311355e-5*x4 - 0.0038389056,PySRFunction(X=>-8.311355e-5*x4 - 0.0038389056)
7,0.00033630198,(x4 * (x0 * -0.0001930984)) + -0.004369472,0.0018153339312927577,x4*x0*(-0.0001930984) - 0.004369472,PySRFunction(X=>x4*x0*(-0.0001930984) - 0.004369472)
8,0.00033565602,log((x4 * -0.000819884) + 0.9620129) * 0.10923619,0.0019226207560024806,0.10923619*log(0.9620129 - 0.000819884*x4),PySRFunction(X=>0.10923619*log(0.9620129 - 0.000819884*x4))
9,0.00032531077,(x1 - -0.61073774) * ((x4 * -0.00019761678) + -0.008703299),0.031305944741595364,(x1 - 1*(-0.61073774))*(x4*(-0.00019761678) - 0.008703299),PySRFunction(X=>(x1 - 1*(-0.61073774))*(x4*(-0.00019761678) - 0.008703299))
11,0.00032352345,((x4 * -0.000739383) + -0.03358511) * ((x10 + 0.17508776) * x0),0.0027546705549081796,x0*(x10 + 0.17508776)*(x4*(-0.000739383) - 0.03358511),PySRFunction(X=>x0*(x10 + 0.17508776)*(x4*(-0.000739383) - 0.03358511))
12,0.0003220591,log((x4 * -0.000819884) + 0.9620129) * ((x10 * x2) + 0.06889607),0.004536530646228954,(x10*x2 + 0.06889607)*log(0.9620129 - 0.000819884*x4),PySRFunction(X=>(x10*x2 + 0.06889607)*log(0.9620129 - 0.000819884*x4))
13,0.00026495094,((x4 * 2.5602643e-5) + 0.0012458496) / (x1 + -0.21326269),0.19519039230391316,(x4*2.5602643e-5 + 0.0012458496)/(x1 - 0.21326269),PySRFunction(X=>(x4*2.5602643e-5 + 0.0012458496)/(x1 - 0.21326269))
15,0.00026341455,(((x4 * 2.6075168e-5) + 0.0012887655) / (x1 + -0.21334538)) * 0.8696844,0.0029078249040923845,(x4*2.6075168e-5 + 0.0012887655)*0.8696844/(x1 - 0.21334538),PySRFunction(X=>(x4*2.6075168e-5 + 0.0012887655)*0.8696844/(x1 - 0.21334538))
16,0.0002576958,((x4 * 3.4672797e-5) + 0.0016908485) / log((x10 + x0) + 0.080354184),0.021949207458957107,(3.4672797e-5*x4 + 0.0016908485)/log(x0 + x10 + 0.080354184),PySRFunction(X=>(3.4672797e-5*x4 + 0.0016908485)/log(x0 + x10 + 0.080354184))
18,0.00025519083,(((x4 * 3.4402765e-5) + 0.0016907608) / log(x0 + (x10 + 0.08035433))) - -0.0011591446,0.004884100640694009,(3.4402765e-5*x4 + 0.0016907608)/log(x0 + x10 + 0.08035433) + 0.0011591446,PySRFunction(X=>(3.4402765e-5*x4 + 0.0016907608)/log(x0 + x10 + 0.08035433) + 0.0011591446)
20,0.00024994815,(((x4 * 3.287272e-5) + 0.0016910628) / log((x10 + x0) + 0.07994136)) - (x10 * -0.011693613),0.010379060935635197,0.011693613*x10 + (3.287272e-5*x4 + 0.0016910628)/log(x0 + x10 + 0.07994136),PySRFunction(X=>0.011693613*x10 + (3.287272e-5*x4 + 0.0016910628)/log(x0 + x10 + 0.07994136))
22,0.00024448242,(((x4 * 3.26964e-5) + 0.0016909137) / log(x10 + (0.07994522 + x0))) - ((x10 - x12) * -0.0075591304),0.011055045931258735,0.0075591304*x10 - 0.0075591304*x12 + (3.26964e-5*x4 + 0.0016909137)/log(x0 + x10 + 0.07994522),PySRFunction(X=>0.0075591304*x10 - 0.0075591304*x12 + (3.26964e-5*x4 + 0.0016909137)/log(x0 + x10 + 0.07994522))
24,0.00024197696,(((x4 * 3.183881e-5) + 0.0016929359) / log((x10 + x0) + 0.07967893)) - ((x10 * -0.041201808) * (0.20200571 - x12)),0.005150444738347903,0.041201808*x10*(0.20200571 - x12) + (3.183881e-5*x4 + 0.0016929359)/log(x0 + x10 + 0.07967893),PySRFunction(X=>0.041201808*x10*(0.20200571 - x12) + (3.183881e-5*x4 + 0.0016929359)/log(x0 + x10 + 0.07967893))
25,0.00023969171,(((x4 * 3.2103257e-5) + 0.0016926577) / log((x0 + x10) + 0.07990417)) - (log(1.2064332 - x12) * (x10 * -0.047103986)),0.009488959068200598,0.047103986*x10*log(1.2064332 - x12) + (3.2103257e-5*x4 + 0.0016926577)/log(x0 + x10 + 0.07990417),PySRFunction(X=>0.047103986*x10*log(1.2064332 - x12) + (3.2103257e-5*x4 + 0.0016926577)/log(x0 + x10 + 0.07990417))
26,0.00022250557,((x4 * 3.4350785e-5) + 0.0016939848) / (log((x10 + 0.07993972) + x0) + (-0.010980888 / (x4 + -0.010946537))),0.07440142094365634,(3.4350785e-5*x4 + 0.0016939848)/(log(x0 + x10 + 0.07993972) - 0.010980888/(x4 - 0.010946537)),PySRFunction(X=>(3.4350785e-5*x4 + 0.0016939848)/(log(x0 + x10 + 0.07993972) - 0.010980888/(x4 - 0.010946537)))
