complexity,loss,equation,score,sympy_format,lambda_format
1,0.0036800469,-8.5298275e-9,0.0,-8.52982750000000e-9,PySRFunction(X=>-8.52982750000000E-9)
3,0.0030877169,x3 * 0.024348812,0.08774677308304554,x3*0.024348812,PySRFunction(X=>x3*0.024348812)
5,0.001850894,(x15 + x3) * 0.03589614,0.25588159244484565,(x15 + x3)*0.03589614,PySRFunction(X=>(x15 + x3)*0.03589614)
7,0.001837056,(x14 * -0.05376248) - (x3 * -0.06770417),0.003752237677571438,x14*(-0.05376248) - (-0.06770417)*x3,PySRFunction(X=>x14*(-0.05376248) - (-0.06770417)*x3)
9,0.0014740347,(x3 + x15) * ((x0 * -0.018870216) + 0.04685695),0.11008047768994027,(0.04685695 + x0*(-0.018870216))*(x15 + x3),PySRFunction(X=>(0.04685695 + x0*(-0.018870216))*(x15 + x3))
11,0.001391345,((x0 - 2.197661) * ((x15 + x3) - -0.15080553)) * -0.023244381,0.028866214840161223,(x0 - 1*2.197661)*(x15 + x3 - 1*(-0.15080553))*(-0.023244381),PySRFunction(X=>(x0 - 1*2.197661)*(x15 + x3 - 1*(-0.15080553))*(-0.023244381))
13,0.00087897,(x0 - 1.4970596) * ((((x13 + 0.31471482) * -1.9414178) - x3) * 0.041428365),0.22963770838297082,(x0 - 1*1.4970596)*(-x3 + (x13 + 0.31471482)*(-1.9414178))*0.041428365,PySRFunction(X=>(x0 - 1*1.4970596)*(-x3 + (x13 + 0.31471482)*(-1.9414178))*0.041428365)
15,0.0008775163,((x0 - 1.5048982) * ((((x13 + 0.32455626) * -1.9390434) - x3) * 0.041058987)) - 0.00169008,0.0008276183719195147,(x0 - 1*1.5048982)*(-x3 + (x13 + 0.32455626)*(-1.9390434))*0.041058987 - 1*0.00169008,PySRFunction(X=>(x0 - 1*1.5048982)*(-x3 + (x13 + 0.32455626)*(-1.9390434))*0.041058987 - 1*0.00169008)
16,0.00074905413,((log(x13 + 1.3838795) * -2.5756464) - x3) * ((x9 * 0.04053638) + -0.064988434),0.15828428006725903,(-x3 - 2.5756464*log(x13 + 1.3838795))*(0.04053638*x9 - 0.064988434),PySRFunction(X=>(-x3 - 2.5756464*log(x13 + 1.3838795))*(0.04053638*x9 - 0.064988434))
17,0.00069143466,((x0 - 1.9892712) * (x13 - (((x0 - 0.9978659) * (x13 + 0.5954077)) - x3))) * -0.039791953,0.08004259419709758,(x0 - 1*1.9892712)*(x13 - (-x3 + (x0 - 1*0.9978659)*(x13 + 0.5954077)))*(-0.039791953),PySRFunction(X=>(x0 - 1*1.9892712)*(x13 - (-x3 + (x0 - 1*0.9978659)*(x13 + 0.5954077)))*(-0.039791953))
