complexity, loss         , score                 , equation                                                                                                                                                    , sympy_format                                                                                                                                                        , lambda_format
         1, 0.0047214194 , 0.0                   , 3.6529146e-9                                                                                                                                                , 3.65291460000000e-9                                                                                                                                                 , PySRFunction(X=>3.65291460000000E-9)
         3, 0.0038123918 , 0.10692635676310848   , (-0.030152425 * x4)                                                                                                                                         , -0.030152425*x4                                                                                                                                                     , PySRFunction(X=>-0.030152425*x4)
         4, 0.0038123624 , 7.711724005540871e-06 , tanh(-0.030219657 * x4)                                                                                                                                     , -tanh(0.030219657*x4)                                                                                                                                               , PySRFunction(X=>-tanh(0.030219657*x4))
         5, 0.003147704  , 0.19157575129893156   , (-0.026039595 * (x5 + x4))                                                                                                                                  , -0.026039595*x4 - 0.026039595*x5                                                                                                                                    , PySRFunction(X=>-0.026039595*x4 - 0.026039595*x5)
         6, 0.0029472439 , 0.06580283571805279   , (-0.05698517 * (x4 + tanh(x15)))                                                                                                                            , -0.05698517*x4 - 0.05698517*tanh(x15)                                                                                                                               , PySRFunction(X=>-0.05698517*x4 - 0.05698517*tanh(x15))
         7, 0.0018013776 , 0.49231875694470334   , (-0.047751747 * (x4 + (x5 + x15)))                                                                                                                          , -0.047751747*x15 - 0.047751747*x4 - 0.047751747*x5                                                                                                                  , PySRFunction(X=>-0.047751747*x15 - 0.047751747*x4 - 0.047751747*x5)
         9, 0.0015881123 , 0.06300281365427772   , (0.054236043 * ((x5 * x1) - (x4 + x15)))                                                                                                                    , 0.054236043*x1*x5 - 0.054236043*x15 - 0.054236043*x4                                                                                                                , PySRFunction(X=>0.054236043*x1*x5 - 0.054236043*x15 - 0.054236043*x4)
        10, 0.0013240945 , 0.18181724861855736   , (0.065086305 * ((x5 * tanh(x10)) - (x4 + x15)))                                                                                                             , -0.065086305*x15 - 0.065086305*x4 + 0.065086305*x5*tanh(x10)                                                                                                        , PySRFunction(X=>-0.065086305*x15 - 0.065086305*x4 + 0.065086305*x5*tanh(x10))
        11, 0.0012533987 , 0.05487000796109913   , (0.042962857 * ((x5 * x10) - ((x4 + x15) / 0.6300741)))                                                                                                     , 0.042962857*x10*x5 - 0.0681869910221671*x15 - 0.0681869910221671*x4                                                                                                 , PySRFunction(X=>0.042962857*x10*x5 - 0.0681869910221671*x15 - 0.0681869910221671*x4)
        12, 0.0012375185 , 0.012750656785111546  , (0.0667085 * (((x5 * tanh(x10)) + -0.12495424) - (x4 + x15)))                                                                                               , -0.0667085*x15 - 0.0667085*x4 + 0.0667085*x5*tanh(x10) - 0.00833550991904                                                                                           , PySRFunction(X=>-0.0667085*x15 - 0.0667085*x4 + 0.0667085*x5*tanh(x10) - 0.00833550991904)
        13, 0.0011603043 , 0.06442586654130007   , (0.042962857 * ((x5 * x10) - (((x4 + x15) + 0.13369718) / 0.6300741)))                                                                                      , 0.042962857*x10*x5 - 0.0681869910221671*x15 - 0.0681869910221671*x4 - 0.00911640841234906                                                                           , PySRFunction(X=>0.042962857*x10*x5 - 0.0681869910221671*x15 - 0.0681869910221671*x4 - 0.00911640841234906)
        14, 0.0010193727 , 0.12949486019650727   , (0.042962857 * (((x5 * x10) - x15) - ((x4 + tanh(x15)) / 0.56813693)))                                                                                      , 0.042962857*x10*x5 - 0.042962857*x15 - 0.0756206025895905*x4 - 0.0756206025895905*tanh(x15)                                                                         , PySRFunction(X=>0.042962857*x10*x5 - 0.042962857*x15 - 0.0756206025895905*x4 - 0.0756206025895905*tanh(x15))
        15, 0.0010141294 , 0.0051569276667863045 , tanh(0.04391416 * (((x5 * x10) - x15) - ((x4 + tanh(x15)) / 0.56905544)))                                                                                   , -tanh(-0.04391416*x10*x5 + 0.04391416*x15 + 0.0771702665736752*x4 + 0.0771702665736752*tanh(x15))                                                                   , PySRFunction(X=>-tanh(-0.04391416*x10*x5 + 0.04391416*x15 + 0.0771702665736752*x4 + 0.0771702665736752*tanh(x15)))
        16, 0.0009735154 , 0.040872145525286875  , (0.042962857 * (((x5 * x10) - x15) - (((x4 - -0.07617797) + tanh(x15)) / 0.56813693)))                                                                      , 0.042962857*x10*x5 - 0.042962857*x15 - 0.0756206025895905*x4 - 0.0756206025895905*tanh(x15) - 0.00576062399545175                                                   , PySRFunction(X=>0.042962857*x10*x5 - 0.042962857*x15 - 0.0756206025895905*x4 - 0.0756206025895905*tanh(x15) - 0.00576062399545175)
        17, 0.0009677646 , 0.005924768011269397  , tanh(0.04391416 * ((((x5 * x10) - x15) - 0.14285131) - ((x4 + tanh(x15)) / 0.56905544)))                                                                    , -tanh(-0.04391416*x10*x5 + 0.04391416*x15 + 0.0771702665736752*x4 + 0.0771702665736752*tanh(x15) + 0.0062731952835496)                                              , PySRFunction(X=>-tanh(-0.04391416*x10*x5 + 0.04391416*x15 + 0.0771702665736752*x4 + 0.0771702665736752*tanh(x15) + 0.0062731952835496))
        18, 0.0009258483 , 0.044278477553327276  , (0.044116125 * (((x5 * x10) - x15) - ((x4 + tanh(x15)) / cos(sin(x9) - 0.4877624))))                                                                        , 0.044116125*x10*x5 - 0.044116125*x15 - 0.044116125*(x4 + tanh(x15))/cos(sin(x9) - 0.4877624)                                                                        , PySRFunction(X=>0.044116125*x10*x5 - 0.044116125*x15 - 0.044116125*(x4 + tanh(x15))/cos(sin(x9) - 0.4877624))
        19, 0.0009117687 , 0.015324058844886676  , (0.04391416 * (((x5 * x10) - x15) - ((x4 + tanh(x15)) / sin(cos(tanh(x9) - 0.4877624)))))                                                                   , 0.04391416*x10*x5 - 0.04391416*x15 - 0.04391416*(x4 + tanh(x15))/sin(cos(tanh(x9) - 0.4877624))                                                                     , PySRFunction(X=>0.04391416*x10*x5 - 0.04391416*x15 - 0.04391416*(x4 + tanh(x15))/sin(cos(tanh(x9) - 0.4877624)))
        20, 0.0008969851 , 0.016347088491161527  , (0.04391416 * (((x5 * x10) - x15) - (((x4 + 0.07086023) + tanh(x15)) / cos(sin(x9) - 0.4877624))))                                                          , 0.04391416*x10*x5 - 0.04391416*x15 - 0.04391416*(x4 + tanh(x15) + 0.07086023)/cos(sin(x9) - 0.4877624)                                                              , PySRFunction(X=>0.04391416*x10*x5 - 0.04391416*x15 - 0.04391416*(x4 + tanh(x15) + 0.07086023)/cos(sin(x9) - 0.4877624))
        21, 0.0008775441 , 0.021912040508060376  , (0.04391416 * (((x5 * x10) - x15) - (((x4 + 0.07086023) + tanh(x15)) / sin(cos(tanh(x9) - 0.4877624)))))                                                    , 0.04391416*x10*x5 - 0.04391416*x15 - 0.04391416*(x4 + tanh(x15) + 0.07086023)/sin(cos(tanh(x9) - 0.4877624))                                                        , PySRFunction(X=>0.04391416*x10*x5 - 0.04391416*x15 - 0.04391416*(x4 + tanh(x15) + 0.07086023)/sin(cos(tanh(x9) - 0.4877624)))
        23, 0.00085088576, 0.015424666496760026  , (0.04391416 * ((((x5 + 0.12828802) * x10) - x15) - (((x4 + 0.07086023) + tanh(x15)) / tanh(cos(tanh(x9) - 0.4877624)))))                                    , 0.04391416*x10*(x5 + 0.12828802) - 0.04391416*x15 - 0.04391416*(x4 + tanh(x15) + 0.07086023)/tanh(cos(tanh(x9) - 0.4877624))                                        , PySRFunction(X=>0.04391416*x10*(x5 + 0.12828802) - 0.04391416*x15 - 0.04391416*(x4 + tanh(x15) + 0.07086023)/tanh(cos(tanh(x9) - 0.4877624)))
        24, 0.00084977585, 0.0013052686684472121 , tanh(0.04391416 * ((((x5 + 0.088360555) * x10) - x15) - (((x4 + 0.07086023) + tanh(x15)) / tanh(cos(tanh(x9) - 0.4877624)))))                               , -tanh(-0.04391416*x10*(x5 + 0.088360555) + 0.04391416*x15 + 0.04391416*(x4 + tanh(x15) + 0.07086023)/tanh(cos(tanh(x9) - 0.4877624)))                               , PySRFunction(X=>-tanh(-0.04391416*x10*(x5 + 0.088360555) + 0.04391416*x15 + 0.04391416*(x4 + tanh(x15) + 0.07086023)/tanh(cos(tanh(x9) - 0.4877624))))
        25, 0.0008345032 , 0.01813603109944557   , (0.04391416 * ((((x5 + (0.12828802 * x13)) * x10) - x15) - (((x4 + 0.07086023) + tanh(x15)) / tanh(cos(tanh(x9) - 0.4877624)))))                            , 0.04391416*x10*(0.12828802*x13 + x5) - 0.04391416*x15 - 0.04391416*(x4 + tanh(x15) + 0.07086023)/tanh(cos(tanh(x9) - 0.4877624))                                    , PySRFunction(X=>0.04391416*x10*(0.12828802*x13 + x5) - 0.04391416*x15 - 0.04391416*(x4 + tanh(x15) + 0.07086023)/tanh(cos(tanh(x9) - 0.4877624)))
