complexity,loss,score,equation,sympy_format,lambda_format
1,0.002682753,0.0,-3.5064467e-9,-3.50644670000000e-9,PySRFunction(X=>-3.50644670000000E-9)
3,0.0023714413,0.06167279615866852,(0.01763865 * x13),0.01763865*x13,PySRFunction(X=>0.01763865*x13)
5,0.0020920546,0.06267563423709013,((x3 + x5) * -0.05102517),-0.05102517*x3 - 0.05102517*x5,PySRFunction(X=>-0.05102517*x3 - 0.05102517*x5)
6,0.0016873535,0.21498532010736987,((0.0340076 * abs(x3)) * x13),0.0340076*x13*Abs(x3),PySRFunction(X=>0.0340076*x13*Abs(x3))
7,0.0016872829,4.184154477214382e-05,(abs(tanh(-0.034110803 * x3)) * x13),x13*Abs(tanh(0.034110803*x3)),PySRFunction(X=>x13*Abs(tanh(0.034110803*x3)))
8,0.00160944,0.04723319123244565,(abs((x3 * 0.03770984) - -0.009625868) * x13),x13*Abs(0.03770984*x3 + 0.009625868),PySRFunction(X=>x13*Abs(0.03770984*x3 + 0.009625868))
9,0.0015715301,0.023836561657002125,((0.101467736 * square(tanh(x3 + 0.31461704))) * x13),0.101467736*x13*tanh(x3 + 0.31461704)**2,PySRFunction(X=>0.101467736*x13*tanh(x3 + 0.31461704)**2)
10,0.0015710932,0.0002780479625507753,tanh((0.10233968 * square(tanh(x3 - -0.3263129))) * x13),tanh(0.10233968*x13*tanh(x3 + 0.3263129)**2),PySRFunction(X=>tanh(0.10233968*x13*tanh(x3 + 0.3263129)**2))
11,0.0014975365,0.0479502581173165,((0.09043309 * tanh(square(x3 + x5))) * (x13 + -0.67400753)),0.09043309*(x13 - 0.67400753)*tanh((x3 + x5)**2),PySRFunction(X=>0.09043309*(x13 - 0.67400753)*tanh((x3 + x5)**2))
12,0.0013735456,0.08642599881054638,((0.10681447 * tanh(square(square(x3 + x5)))) * (x13 - 0.7528422)),0.10681447*(x13 - 0.7528422)*tanh((x3 + x5)**4),PySRFunction(X=>0.10681447*(x13 - 0.7528422)*tanh((x3 + x5)**4))
13,0.0013698437,0.0026987801161668045,((0.13927871 * tanh(square(tanh(square(x3 + x5))))) * (x13 + -0.74873567)),0.13927871*(x13 - 0.74873567)*tanh(tanh((x3 + x5)**2)**2),PySRFunction(X=>0.13927871*(x13 - 0.74873567)*tanh(tanh((x3 + x5)**2)**2))
14,0.0013006075,0.05186518273474486,(abs(-0.11358431 * tanh(square(x3 + x5) * x4)) * (x13 + -0.7181183)),0.11358431*(x13 - 0.7181183)*Abs(tanh(x4*(x3 + x5)**2)),PySRFunction(X=>0.11358431*(x13 - 0.7181183)*Abs(tanh(x4*(x3 + x5)**2)))
16,0.0012816346,0.007347584267455378,((0.10799661 * tanh(square(square(x3 + x5)))) * (x13 - cos(tanh(x5 - -0.71408236)))),0.10799661*(x13 - cos(tanh(x5 + 0.71408236)))*tanh((x3 + x5)**4),PySRFunction(X=>0.10799661*(x13 - cos(tanh(x5 + 0.71408236)))*tanh((x3 + x5)**4))
17,0.001262735,0.014856291011055867,((0.10799661 * tanh(square(square(x3 + x5)))) * (x13 - abs(cos(x5 - tanh(x4))))),0.10799661*(x13 - Abs(cos(x5 - tanh(x4))))*tanh((x3 + x5)**4),PySRFunction(X=>0.10799661*(x13 - Abs(cos(x5 - tanh(x4))))*tanh((x3 + x5)**4))
