complexity, loss      , score                , equation                                                                                                                     , sympy_format                                                                          , lambda_format
         1, 0.33123028, 0.0                  , 3.979715e-8                                                                                                                  , 3.97971500000000e-8                                                                   , PySRFunction(X=>3.97971500000000E-8)
         3, 0.32656008, 0.007099949706699642 , (-0.065086745 * gama)                                                                                                        , -0.065086745*gama                                                                     , PySRFunction(X=>-0.065086745*gama)
         5, 0.322585  , 0.0061236383197721305, square(tanh(-0.10307283 * a_sway))                                                                                           , tanh(0.10307283*a_sway)**2                                                            , PySRFunction(X=>tanh(0.10307283*a_sway)**2)
         7, 0.32124978, 0.0020738580078100356, sin(square((0.05638909 * gama) * a_surge))                                                                                   , sin(0.0031797294710281*a_surge**2*gama**2)                                            , PySRFunction(X=>sin(0.0031797294710281*a_surge**2*gama**2))
         8, 0.3202446 , 0.0031338725763087696, sin(tanh(square(0.21195354 * (-0.6134417 + a_sway))))                                                                        , sin(tanh(0.0449243031185316*(a_sway - 0.6134417)**2))                                 , PySRFunction(X=>sin(tanh(0.0449243031185316*(a_sway - 0.6134417)**2)))
         9, 0.31908748, 0.003619781642932465 , square((sin(-0.105690494 / -0.9617882) / 0.98530054) * a_sway)                                                               , 0.0123887269627911*a_sway**2                                                          , PySRFunction(X=>0.0123887269627911*a_sway**2)
        11, 0.31851774, 0.0008935625584072747, square(abs(abs(tanh(square(0.21494822 * abs(1.3235307 * a_sway))))))                                                         , tanh(0.0809348833266825*Abs(a_sway)**2)**2                                            , PySRFunction(X=>tanh(0.0809348833266825*Abs(a_sway)**2)**2)
        13, 0.31821483, 0.0004757256611688878, tanh(tanh(abs(tanh(0.27934742)) * abs(square((0.27934742 / 0.8230938) * a_sway))))                                           , tanh(tanh(0.0313646104168453*Abs(a_sway**2)))                                         , PySRFunction(X=>tanh(tanh(0.0313646104168453*Abs(a_sway**2))))
        14, 0.31709063, 0.0035390886563368704, square(abs(((2.008192 + v_sway) * square(-0.15833473)) / 0.5125035) * (-0.15833473 - a_sway))                                , (-a_sway - 0.15833473)**2*Abs(0.0489165180807017*v_sway + 0.0982337602775205)**2      , PySRFunction(X=>(-a_sway - 0.15833473)**2*Abs(0.0489165180807017*v_sway + 0.0982337602775205)**2)
        21, 0.31625944, 0.0003749632387081106, tanh(square(abs(abs(square(sin(tanh(cos(abs(square(cos(square(dtheta * v_sway))))) * -0.24753116))) * abs(square(a_sway)))))), tanh(sin(tanh(0.24753116*cos(Abs(cos(dtheta**2*v_sway**2)**2))))**4*Abs(a_sway**2)**2), PySRFunction(X=>tanh(sin(tanh(0.24753116*cos(Abs(cos(dtheta**2*v_sway**2)**2))))**4*Abs(a_sway**2)**2))
