complexity,loss,score,equation,sympy_format,lambda_format
1,0.004403852,0.0,1.4117449e-9,1.41174490000000e-9,PySRFunction(X=>1.41174490000000E-9)
3,0.0028452408,0.2184159543837439,(-0.039479274 * x7),-0.039479274*x7,PySRFunction(X=>-0.039479274*x7)
4,0.0028451057,4.748392739368401e-05,tanh(-0.03958159 * x7),-tanh(0.03958159*x7),PySRFunction(X=>-tanh(0.03958159*x7))
5,0.0017722456,0.47335277675776527,(-0.06457343 * (x7 + x30)),-0.06457343*x30 - 0.06457343*x7,PySRFunction(X=>-0.06457343*x30 - 0.06457343*x7)
6,0.0013939579,0.24010033200875644,(-0.0740626 * (x7 + tanh(x30))),-0.0740626*x7 - 0.0740626*tanh(x30),PySRFunction(X=>-0.0740626*x7 - 0.0740626*tanh(x30))
7,0.0012746137,0.08950395871104432,(-0.053271696 * ((x7 / 0.69429046) + x30)),-0.053271696*x30 - 0.0767282557792887*x7,PySRFunction(X=>-0.053271696*x30 - 0.0767282557792887*x7)
8,0.0012669191,0.006055104627995165,tanh(-0.0779745 * (x7 + (x30 * 0.699573))),-tanh(0.0545488548885*x30 + 0.0779745*x7),PySRFunction(X=>-tanh(0.0545488548885*x30 + 0.0779745*x7))
9,0.0011746545,0.07561398587846252,(-0.07922308 * (x7 + (x30 * cos(tanh(x30))))),-0.07922308*x30*cos(tanh(x30)) - 0.07922308*x7,PySRFunction(X=>-0.07922308*x30*cos(tanh(x30)) - 0.07922308*x7)
10,0.0010773761,0.08644551381892193,(-0.072581604 * ((x7 + tanh(x30)) - (0.21217185 * x4))),0.0153997731966474*x4 - 0.072581604*x7 - 0.072581604*tanh(x30),PySRFunction(X=>0.0153997731966474*x4 - 0.072581604*x7 - 0.072581604*tanh(x30))
11,0.0010715999,0.005375782615111081,(-0.071285136 * ((x7 + tanh(x30)) - (0.3060457 * sin(x4)))),-0.071285136*x7 + 0.0218165093467152*sin(x4) - 0.071285136*tanh(x30),PySRFunction(X=>-0.071285136*x7 + 0.0218165093467152*sin(x4) - 0.071285136*tanh(x30))
12,0.0009618622,0.10803684718987684,(-0.07655345 * (((x7 + tanh(x30)) - (0.19611968 * x4)) - 0.13619907)),0.015013638116896*x4 - 0.07655345*x7 - 0.07655345*tanh(x30) + 0.0104265086952915,PySRFunction(X=>0.015013638116896*x4 - 0.07655345*x7 - 0.07655345*tanh(x30) + 0.0104265086952915)
13,0.00089291786,0.07437660259914898,(-0.07655345 * ((x7 + tanh(x30)) - (0.17950965 * (x4 + abs(x30))))),0.0137420830157925*x4 - 0.07655345*x7 - 0.07655345*tanh(x30) + 0.0137420830157925*Abs(x30),PySRFunction(X=>0.0137420830157925*x4 - 0.07655345*x7 - 0.07655345*tanh(x30) + 0.0137420830157925*Abs(x30))
14,0.00082052,0.08455630894908496,(-0.07655345 * ((x7 + tanh(x30 + -0.22180958)) - (0.19611968 * (x4 - x30)))),-0.015013638116896*x30 + 0.015013638116896*x4 - 0.07655345*x7 - 0.07655345*tanh(x30 - 0.22180958),PySRFunction(X=>-0.015013638116896*x30 + 0.015013638116896*x4 - 0.07655345*x7 - 0.07655345*tanh(x30 - 0.22180958))
15,0.0008157596,0.005818581898382378,tanh(-0.07655345 * ((x7 + tanh(x30 + -0.22180958)) - (0.19611968 * (x4 - x30)))),-tanh(0.015013638116896*x30 - 0.015013638116896*x4 + 0.07655345*x7 + 0.07655345*tanh(x30 - 0.22180958)),PySRFunction(X=>-tanh(0.015013638116896*x30 - 0.015013638116896*x4 + 0.07655345*x7 + 0.07655345*tanh(x30 - 0.22180958)))
16,0.00081285,0.0035731130353209004,tanh(tanh(-0.07655345 * ((x7 + tanh(x30 + -0.22180958)) - (0.19611968 * (x4 - x30))))),-tanh(tanh(0.015013638116896*x30 - 0.015013638116896*x4 + 0.07655345*x7 + 0.07655345*tanh(x30 - 0.22180958))),PySRFunction(X=>-tanh(tanh(0.015013638116896*x30 - 0.015013638116896*x4 + 0.07655345*x7 + 0.07655345*tanh(x30 - 0.22180958))))
17,0.0008081147,0.005842586788313882,tanh(tanh(tanh(-0.081388086 * ((x7 + tanh(x30)) - (0.16601169 * (x4 - (x30 - 0.9097271))))))),-tanh(tanh(tanh(0.0135113737027253*x30 - 0.0135113737027253*x4 + 0.081388086*x7 + 0.081388086*tanh(x30) - 0.0122916628155966))),PySRFunction(X=>-tanh(tanh(tanh(0.0135113737027253*x30 - 0.0135113737027253*x4 + 0.081388086*x7 + 0.081388086*tanh(x30) - 0.0122916628155966))))
18,0.00078069855,0.034514908074943194,(-0.07655345 * ((x7 + tanh(x30)) - (0.16473033 * ((x4 - (-0.9421463 - (x7 * x18))) - x30)))),0.0126106750811385*x18*x7 - 0.0126106750811385*x30 + 0.0126106750811385*x4 - 0.07655345*x7 - 0.07655345*tanh(x30) + 0.0118811008681968,PySRFunction(X=>0.0126106750811385*x18*x7 - 0.0126106750811385*x30 + 0.0126106750811385*x4 - 0.07655345*x7 - 0.07655345*tanh(x30) + 0.0118811008681968)
19,0.000768253,0.016069989835158255,(-0.07655345 * ((x7 + tanh(x30)) - (0.16473033 * ((x4 - tanh(-1.2886133 - (x7 * x29))) - x30)))),-0.0126106750811385*x30 + 0.0126106750811385*x4 - 0.07655345*x7 - 0.07655345*tanh(x30) + 0.0126106750811385*tanh(x29*x7 + 1.2886133),PySRFunction(X=>-0.0126106750811385*x30 + 0.0126106750811385*x4 - 0.07655345*x7 - 0.07655345*tanh(x30) + 0.0126106750811385*tanh(x29*x7 + 1.2886133))
20,0.0007468224,0.028291700120266886,(-0.081388086 * ((x7 + tanh(x30)) - (0.15810682 * ((x4 - (-0.88029206 - ((x7 + x30) * x3))) - x30)))),0.0128680114633465*x3*(x30 + x7) - 0.0128680114633465*x30 + 0.0128680114633465*x4 - 0.081388086*x7 - 0.081388086*tanh(x30) + 0.0113276083191729,PySRFunction(X=>0.0128680114633465*x3*(x30 + x7) - 0.0128680114633465*x30 + 0.0128680114633465*x4 - 0.081388086*x7 - 0.081388086*tanh(x30) + 0.0113276083191729)
