Complexity,Loss,Equation
1,0.0013401526,"5.591673e-9"
3,0.0010504615,"(0.017020686 * x7)"
5,0.0008651994,"((x7 - x23) * 0.015213157)"
6,0.00077972934,"((0.009518989 * square(x7)) * x13)"
7,0.00072945154,"((x7 + (x29 * x13)) * 0.015213157)"
8,0.0006531413,"((0.008527668 * (square(x7) + x29)) * x13)"
10,0.00064473343,"((0.008141517 * ((square(x7) + x29) + 0.31166118)) * x13)"
12,0.0006319486,"((0.008527668 * (abs(square(x7) + x29) - sin(x30))) * x13)"
13,0.0006111863,"((0.008527668 * ((square(x7) + x29) - (sin(x30) * x29))) * x13)"
14,0.00060890726,"tanh((0.008527668 * ((square(x7) + x29) - (sin(x30) * x29))) * x13)"
15,0.00060720096,"tanh(tanh((0.008527668 * ((square(x7) + x29) - (sin(x30) * x29))) * x13))"
16,0.00060595316,"tanh(tanh(tanh((0.008527668 * ((square(x7) + x29) - (sin(x30) * x29))) * x13)))"
17,0.0006048726,"tanh(tanh(tanh((0.008527668 * abs((square(x7) + x29) - (sin(x30) * x29))) * x13)))"
18,0.0005977936,"(((square(-0.08362195 * tanh(x7)) * (abs((x7 - -0.46044695) - x20) + x29)) * x13) * 2.3430815)"
19,0.0005903041,"(((square(0.08319285 * tanh(square(x7 + (-0.20159192 * x29)))) * (abs(x7) + x29)) * x13) * 2.3430815)"
20,0.00057822163,"(((square(0.08319285 * tanh(x7 + (-0.20159192 * x29))) * (abs(x7 - x20) + x29)) * x13) * 2.3430815)"
21,0.0005660954,"(((square(0.08319285 * tanh(square(x7 + (-0.20159192 * x29)))) * (abs(x7 - x20) + x29)) * x13) * 2.3430815)"
22,0.000564823,"tanh(((square(0.08319285 * tanh(square(x7 + (-0.20159192 * x29)))) * (abs(x7 - x20) + x29)) * x13) * 2.3430815)"
23,0.00054549763,"(((square(-0.08362195 * tanh(square(x7 + (-0.20159192 * x29)))) * (abs((x7 - -0.4766047) - x20) + x29)) * x13) * 2.3430815)"
24,0.0005388175,"(((square(-0.08362195 * tanh(square(square(x7 + (-0.20159192 * x29))))) * (abs((x7 - -0.6259589) - x20) + x29)) * x13) * 2.3430815)"
26,0.00053818105,"tanh(((square(-0.08362195 * tanh(square(square(x7 + tanh(-0.20159192 * x29))))) * (abs((x7 - -0.6259589) - x20) + x29)) * x13) * 2.3430815)"
27,0.00053808617,"tanh(((square(sin(-0.08362195 * tanh(square(square(x7 + tanh(-0.20159192 * x29)))))) * (abs((x7 - -0.6259589) - x20) + x29)) * x13) * 2.3430815)"
29,0.0005380296,"tanh((tanh(sin(square(sin(-0.08362195 * tanh(square(square(x7 + tanh(-0.20159192 * x29))))))) * (abs((x7 - -0.6259589) - x20) + x29)) * x13) * 2.3430815)"
