Complexity,Loss,Equation
1,0.005103988,"-4.3989867e-6"
2,0.0051039634,"square(-2.381367e-5)"
3,0.0038399221,"(-0.03555336 * x12)"
5,0.0026583131,"(-0.106432855 * (x6 + x8))"
6,0.0026530938,"tanh(-0.106432855 * (x6 + x8))"
7,0.0022808968,"(-0.106432855 * ((x6 / 0.8359801) + x8))"
8,0.0021860036,"(abs((-0.07083227 * x6) + -0.030581744) * x24)"
9,0.0020096418,"(abs(0.06364134 * (x6 - sin(x30))) * x24)"
10,0.0019955572,"((0.063847765 * abs(x6 - sin(sin(x30)))) * x24)"
11,0.0018564904,"(abs(0.063847765 * (x6 - sin(x30))) * (x24 - 0.29060706))"
12,0.0018529939,"(abs(0.063847765 * (x6 - sin(x30))) * (x24 - tanh(0.29060706)))"
14,0.0018436216,"(abs(0.063847765 * (x6 - sin(sin(x30)))) * ((x24 - 0.29060706) + 0.06427284))"
15,0.0017050898,"(abs((0.08107856 * (square(tanh(x24)) + x21)) * (x6 - sin(x30))) * x24)"
16,0.0016655294,"(abs((0.08107856 * (square(tanh(square(x24))) + x21)) * (x6 - sin(x30))) * x24)"
17,0.0016206867,"sin(abs(((0.08107856 * (1.4257768 + tanh(x21))) * -0.70950687) * (x6 - sin(x30))) * x24)"
19,0.0015022373,"(abs(((0.08311934 * -0.43647045) * (square(cos(0.17288908) - -0.43647045) + x21)) * (x6 - sin(x30))) * x24)"
20,0.0014907938,"(abs(((0.08311934 * -0.43647045) * (square(cos(square(x18)) - -0.43647045) + x21)) * (x6 - sin(x30))) * x24)"
22,0.0014762632,"(abs(sin((0.08107856 * (abs(tanh(1.4257768)) + (x21 * square(square(tanh(sin(-1.6808213))))))) * (x6 - sin(x30)))) * x24)"
24,0.0014732016,"tanh(abs((0.08107856 * (tanh(1.4257768) + ((x21 * 0.7043693) * square(square(abs(sin(sin(-1.6808213)))))))) * (x6 - sin(x30))) * x24)"
28,0.001471134,"sin(abs(((0.08311934 * tanh(sin(0.39268672))) * (square(abs(cos(abs(abs(0.08311934)))) - sin(-0.43647045 / 0.74324554)) + x21)) * (x6 - sin(x30))) * x24)"
29,0.0014699107,"(abs(((abs(-0.031327438) * (0.5521004 + 0.3900953)) * (square(abs(cos(square(0.31709337 / (square(1.7816787) + 0.59190816)))) - -0.57175785) + x21)) * (x6 - sin(x30))) * x24)"
