complexity,loss,score,equation,sympy_format,lambda_format
1,0.0051039634,0.0,-4.5782055e-8,-4.57820550000000e-8,PySRFunction(X=>-4.57820550000000E-8)
3,0.0038399221,0.14228264761742695,(-0.03555336 * x12),-0.03555336*x12,PySRFunction(X=>-0.03555336*x12)
5,0.0026540905,0.18467502256719637,(-0.10219182 * (x6 + x8)),-0.10219182*x6 - 0.10219182*x8,PySRFunction(X=>-0.10219182*x6 - 0.10219182*x8)
6,0.0026153575,0.01470123534731489,(-0.13098133 * sin(x6 + x8)),-0.13098133*sin(x6 + x8),PySRFunction(X=>-0.13098133*sin(x6 + x8))
7,0.0022327683,0.1581585937349099,(-0.112932526 * (x6 + (x8 * 0.8172527))),-0.112932526*x6 - 0.0922944117913202*x8,PySRFunction(X=>-0.112932526*x6 - 0.0922944117913202*x8)
8,0.0021859703,0.021182402516148027,(abs(0.07059132 * (x6 - -0.43172792)) * x24),x24*Abs(0.07059132*x6 + 0.0304762437536544),PySRFunction(X=>x24*Abs(0.07059132*x6 + 0.0304762437536544))
9,0.002005209,0.08631150847528368,((0.06132204 * abs(x6 - sin(x30))) * x24),0.06132204*x24*Abs(x6 - sin(x30)),PySRFunction(X=>0.06132204*x24*Abs(x6 - sin(x30)))
10,0.001993949,0.005631200245113967,(abs(0.062428206 * (x6 - sin(sin(x30)))) * x24),x24*Abs(0.062428206*x6 - 0.062428206*sin(sin(x30))),PySRFunction(X=>x24*Abs(0.062428206*x6 - 0.062428206*sin(sin(x30))))
11,0.0018419935,0.07926868542854963,(abs(0.062428206 * (x6 - sin(x30))) * (x24 - 0.22605233)),(x24 - 0.22605233)*Abs(0.062428206*x6 - 0.062428206*sin(x30)),PySRFunction(X=>(x24 - 0.22605233)*Abs(0.062428206*x6 - 0.062428206*sin(x30)))
12,0.0016496766,0.11026914035183714,(abs((0.054751657 * (1.0395578 + x21)) * (x6 - x30)) * x24),x24*Abs((0.054751657*x21 + 0.0569175120972746)*(x30 - x6)),PySRFunction(X=>x24*Abs((0.054751657*x21 + 0.0569175120972746)*(x30 - x6)))
13,0.0016488929,0.00047517568736758596,(abs(tanh((0.054751657 * (1.0395578 + x21)) * (x6 - x30))) * x24),x24*Abs(tanh((0.054751657*x21 + 0.0569175120972746)*(x30 - x6))),PySRFunction(X=>x24*Abs(tanh((0.054751657*x21 + 0.0569175120972746)*(x30 - x6))))
14,0.0015930635,0.03444520098537011,(abs((-0.054392565 * (1.3641161 + tanh(x21))) * (x6 - sin(x30))) * x24),x24*Abs((x6 - sin(x30))*(0.054392565*tanh(x21) + 0.0741977736367965)),PySRFunction(X=>x24*Abs((x6 - sin(x30))*(0.054392565*tanh(x21) + 0.0741977736367965)))
15,0.0014761402,0.07622818391202325,(abs((-0.09081517 * (0.83605 + (x21 * 0.3367686))) * (x6 - sin(x30))) * x24),x24*Abs((0.030583697659662*x21 + 0.0759260228785)*(x6 - sin(x30))),PySRFunction(X=>x24*Abs((0.030583697659662*x21 + 0.0759260228785)*(x6 - sin(x30))))
16,0.0014706776,0.0037074611515334733,(abs((0.08107856 * (tanh(1.4569632) + (x21 * 0.35068282))) * (x6 - sin(x30))) * x24),x24*Abs((0.0284328580623392*x21 + 0.0727324287920632)*(x6 - sin(x30))),PySRFunction(X=>x24*Abs((0.0284328580623392*x21 + 0.0727324287920632)*(x6 - sin(x30))))
17,0.0014555294,0.010353563721899713,(abs((-0.09081517 * (0.83605 + (x21 * 0.3806543))) * (x6 - sin(x30))) * (x24 - -0.07697305)),(x24 + 0.07697305)*Abs((0.034569184965731*x21 + 0.0759260228785)*(x6 - sin(x30))),PySRFunction(X=>(x24 + 0.07697305)*Abs((0.034569184965731*x21 + 0.0759260228785)*(x6 - sin(x30))))
18,0.0013750909,0.05684984521945085,(abs((0.08107856 * (tanh(1.2201169 + x23) + (x21 * 0.35068282))) * (x6 - sin(x30))) * x24),x24*Abs((0.0284328580623392*x21 + 0.08107856*tanh(x23 + 1.2201169))*(x6 - sin(x30))),PySRFunction(X=>x24*Abs((0.0284328580623392*x21 + 0.08107856*tanh(x23 + 1.2201169))*(x6 - sin(x30))))
20,0.0013580709,0.006227300559801896,(abs(((0.07588922 * (1.400783 + (x21 * 0.57228774))) * cos(cos(tanh(x9)))) * (x6 - sin(x30))) * x24),x24*Abs((0.0434304702041628*x21 + 0.10630432925926)*(x6 - sin(x30))*cos(cos(tanh(x9)))),PySRFunction(X=>x24*Abs((0.0434304702041628*x21 + 0.10630432925926)*(x6 - sin(x30))*cos(cos(tanh(x9)))))
21,0.0013538689,0.003098891326934763,tanh(abs(((0.07588922 * (1.400783 + (x21 * 0.57228774))) * cos(cos(tanh(x9)))) * (x6 - sin(x30))) * x24),tanh(x24*Abs((0.0434304702041628*x21 + 0.10630432925926)*(x6 - sin(x30))*cos(cos(tanh(x9))))),PySRFunction(X=>tanh(x24*Abs((0.0434304702041628*x21 + 0.10630432925926)*(x6 - sin(x30))*cos(cos(tanh(x9))))))
