complexity, loss        , score                , equation                                                                                                                      , sympy_format                                                                                               , lambda_format
         1, 0.005294113 , 0.0                  , -1.0531277e-8                                                                                                                 , -1.05312770000000e-8                                                                                       , PySRFunction(X=>-1.05312770000000E-8)
         3, 0.0034289893, 0.21716494773162456  , (x3 * 0.043187074)                                                                                                            , 0.043187074*x3                                                                                             , PySRFunction(X=>0.043187074*x3)
         4, 0.0032842872, 0.04311591094236639  , (square(x3) * 0.020651916)                                                                                                    , 0.020651916*x3**2                                                                                          , PySRFunction(X=>0.020651916*x3**2)
         5, 0.0030400679, 0.07726979139525854  , (square(square(x3)) * 0.0030921493)                                                                                           , 0.0030921493*x3**4                                                                                         , PySRFunction(X=>0.0030921493*x3**4)
         6, 0.0027291102, 0.10790422869212977  , ((square(x3) - x8) * 0.025821643)                                                                                             , 0.025821643*x3**2 - 0.025821643*x8                                                                         , PySRFunction(X=>0.025821643*x3**2 - 0.025821643*x8)
         7, 0.002210846 , 0.21060037429466175  , ((square(x3) - abs(x8)) * 0.031740706)                                                                                        , 0.031740706*x3**2 - 0.031740706*Abs(x8)                                                                    , PySRFunction(X=>0.031740706*x3**2 - 0.031740706*Abs(x8))
         8, 0.0014259267, 0.4385533295618156   , (0.039812624 * (x3 - (x8 * cos(x3))))                                                                                         , 0.039812624*x3 - 0.039812624*x8*cos(x3)                                                                    , PySRFunction(X=>0.039812624*x3 - 0.039812624*x8*cos(x3))
         9, 0.0014225024, 0.0024043439590046953, (square(-0.20262899) * (x3 - (x8 * cos(x3))))                                                                                 , 0.0410585075884201*x3 - 0.0410585075884201*x8*cos(x3)                                                      , PySRFunction(X=>0.0410585075884201*x3 - 0.0410585075884201*x8*cos(x3))
        10, 0.0011545083, 0.20874303514141018  , (square(0.24126229) * (tanh(x2) - (x8 * cos(x3))))                                                                            , -0.0582074925760441*x8*cos(x3) + 0.0582074925760441*tanh(x2)                                               , PySRFunction(X=>-0.0582074925760441*x8*cos(x3) + 0.0582074925760441*tanh(x2))
        12, 0.0011382386, 0.007096279618934111 , (square(0.24126229) * ((tanh(x2) - (x8 * cos(x3))) + -0.043914218))                                                           , -0.0582074925760441*x8*cos(x3) + 0.0582074925760441*tanh(x2) - 0.00255613651821778                         , PySRFunction(X=>-0.0582074925760441*x8*cos(x3) + 0.0582074925760441*tanh(x2) - 0.00255613651821778)
        14, 0.0010800508, 0.026236951370581615 , (square(-0.21684967) * (x3 - ((x8 * cos(x3)) + tanh(x8 - -0.6133235))))                                                       , 0.0470237793791089*x3 - 0.0470237793791089*x8*cos(x3) - 0.0470237793791089*tanh(x8 + 0.6133235)            , PySRFunction(X=>0.0470237793791089*x3 - 0.0470237793791089*x8*cos(x3) - 0.0470237793791089*tanh(x8 + 0.6133235))
        15, 0.0010461208, 0.031919230520701856 , (tanh(square(-0.21684967)) * (x3 - ((x8 * cos(x3)) + tanh(x8 + 0.474449))))                                                   , 0.0469891497865685*x3 - 0.0469891497865685*x8*cos(x3) - 0.0469891497865685*tanh(x8 + 0.474449)             , PySRFunction(X=>0.0469891497865685*x3 - 0.0469891497865685*x8*cos(x3) - 0.0469891497865685*tanh(x8 + 0.474449))
        16, 0.0010454782, 0.0006144581444324723, tanh(square(-0.21684967) * (x3 - ((x8 * cos(abs(x3))) + tanh(x8 + 0.474449))))                                                , -tanh(-0.0470237793791089*x3 + 0.0470237793791089*x8*cos(Abs(x3)) + 0.0470237793791089*tanh(x8 + 0.474449)), PySRFunction(X=>-tanh(-0.0470237793791089*x3 + 0.0470237793791089*x8*cos(Abs(x3)) + 0.0470237793791089*tanh(x8 + 0.474449)))
        17, 0.0010222015, 0.02251575362765381  , sin(square(0.24126229) * (tanh(x2 * abs(sin(0.6746397 - x2))) - (x8 * cos(x3))))                                              , -sin(0.0582074925760441*x8*cos(x3) - 0.0582074925760441*tanh(x2*Abs(sin(x2 - 0.6746397))))                 , PySRFunction(X=>-sin(0.0582074925760441*x8*cos(x3) - 0.0582074925760441*tanh(x2*Abs(sin(x2 - 0.6746397)))))
        22, 0.0010164323, 0.0011319767976002745, tanh(tanh(square(tanh(-0.16839004)) * (x3 - (((x8 + x8) + (tanh(abs(-0.16839004)) - -0.4236595)) * (cos(x3) - -0.18420236))))), tanh(tanh(0.0278276809195345*x3 - 0.0278276809195345*(2*x8 + 0.590475808913531)*(cos(x3) + 0.18420236)))   , PySRFunction(X=>tanh(tanh(0.0278276809195345*x3 - 0.0278276809195345*(2*x8 + 0.590475808913531)*(cos(x3) + 0.18420236))))
