complexity,loss,score,equation,sympy_format,lambda_format
1,0.0051040472,0.0,5.823227e-6,5.82322700000000e-6,PySRFunction(X=>0.00000582322700000000)
2,0.0051039634,1.6418478249249435e-05,square(1.1515793e-5),1.32613488418849e-10,PySRFunction(X=>1.32613488418849E-10)
3,0.002931806,0.554398759774364,(0.04660641 * x0),0.04660641*x0,PySRFunction(X=>0.04660641*x0)
5,0.0026559683,0.0494046595470105,(0.032350246 * (x0 + x8)),0.032350246*x0 + 0.032350246*x8,PySRFunction(X=>0.032350246*x0 + 0.032350246*x8)
6,0.002342082,0.12576901892984194,(square(0.16999803 * x0) * x6),0.0288993302038809*x0**2*x6,PySRFunction(X=>0.0288993302038809*x0**2*x6)
7,0.0022626556,0.034501109664336324,(square(tanh(0.18383548 * x0)) * x6),x6*tanh(0.18383548*x0)**2,PySRFunction(X=>x6*tanh(0.18383548*x0)**2)
8,0.0022038894,0.026315459164487933,(square(0.2188858 * x6) * (x0 + -0.4859221)),0.04791099344164*x6**2*(x0 - 0.4859221),PySRFunction(X=>0.04791099344164*x6**2*(x0 - 0.4859221))
9,0.002052317,0.07125430973534569,(square(-0.33658108 * tanh(x6)) * (x0 + -0.33658108)),0.113286823413966*(x0 - 0.33658108)*tanh(x6)**2,PySRFunction(X=>0.113286823413966*(x0 - 0.33658108)*tanh(x6)**2)
10,0.0020390882,0.006466651652919619,(square(tanh(tanh(-0.24697766 * x6))) * (x0 + -0.4859221)),(x0 - 0.4859221)*tanh(tanh(0.24697766*x6))**2,PySRFunction(X=>(x0 - 0.4859221)*tanh(tanh(0.24697766*x6))**2)
11,0.0019844023,0.027184986670465316,(square(tanh(tanh(tanh(0.28856644 * x6)))) * (x0 + -0.49069384)),(x0 - 0.49069384)*tanh(tanh(tanh(0.28856644*x6)))**2,PySRFunction(X=>(x0 - 0.49069384)*tanh(tanh(tanh(0.28856644*x6)))**2)
12,0.0019472932,0.01887745477988685,(square(tanh(tanh(tanh(tanh(0.28856644 * x6))))) * (x0 + -0.48059106)),(x0 - 0.48059106)*tanh(tanh(tanh(tanh(0.28856644*x6))))**2,PySRFunction(X=>(x0 - 0.48059106)*tanh(tanh(tanh(tanh(0.28856644*x6))))**2)
13,0.0019443625,0.0015061458566431754,tanh(square(tanh(tanh(tanh(tanh(0.28955486 * x6))))) * (x0 + -0.47805277)),tanh((x0 - 0.47805277)*tanh(tanh(tanh(tanh(0.28955486*x6))))**2),PySRFunction(X=>tanh((x0 - 0.47805277)*tanh(tanh(tanh(tanh(0.28955486*x6))))**2))
14,0.0019434344,0.0004774426450260786,tanh(sin(square(tanh(tanh(tanh(tanh(0.28856644 * x6))))) * (x0 + -0.48059106))),tanh(sin((x0 - 0.48059106)*tanh(tanh(tanh(tanh(0.28856644*x6))))**2)),PySRFunction(X=>tanh(sin((x0 - 0.48059106)*tanh(tanh(tanh(tanh(0.28856644*x6))))**2)))
15,0.0019427406,0.0003570606096592138,tanh(sin(sin(square(tanh(tanh(tanh(tanh(0.28856644 * x6))))) * (x0 + -0.48059106)))),tanh(sin(sin((x0 - 0.48059106)*tanh(tanh(tanh(tanh(0.28856644*x6))))**2))),PySRFunction(X=>tanh(sin(sin((x0 - 0.48059106)*tanh(tanh(tanh(tanh(0.28856644*x6))))**2))))
16,0.0019426766,3.294369521297255e-05,tanh(sin(sin(square(tanh(sin(tanh(tanh(sin(0.29021993 * x6)))))) * (x0 + -0.4859221)))),tanh(sin(sin((x0 - 0.4859221)*tanh(sin(tanh(tanh(sin(0.29021993*x6)))))**2))),PySRFunction(X=>tanh(sin(sin((x0 - 0.4859221)*tanh(sin(tanh(tanh(sin(0.29021993*x6)))))**2))))
17,0.0019420353,0.00033016605726949493,tanh(sin(sin(tanh(square(tanh(sin(tanh(tanh(sin(0.29021993 * x6)))))) * (x0 + -0.4859221))))),tanh(sin(sin(tanh((x0 - 0.4859221)*tanh(sin(tanh(tanh(sin(0.29021993*x6)))))**2)))),PySRFunction(X=>tanh(sin(sin(tanh((x0 - 0.4859221)*tanh(sin(tanh(tanh(sin(0.29021993*x6)))))**2)))))
18,0.0019234216,0.009630863494375171,tanh(square(tanh(square(tanh(tanh(sin(cos(tanh(sin(cos(0.092520475)))) * x6)))))) * (x0 + -0.4859221)),tanh((x0 - 0.4859221)*tanh(tanh(tanh(sin(0.774191311947362*x6)))**2)**2),PySRFunction(X=>tanh((x0 - 0.4859221)*tanh(tanh(tanh(sin(0.774191311947362*x6)))**2)**2))
19,0.0018716753,0.027271771190167705,(tanh(square(sin((tanh((tanh(cos(x8)) - x0) / 0.24660294) - x0) * (-0.058175605 / -0.4719754)))) * x6),x6*tanh(sin(0.123259824558653*x0 + 0.123259824558653*tanh(4.05510169505684*x0 - 4.05510169505684*tanh(cos(x8))))**2),PySRFunction(X=>x6*tanh(sin(0.123259824558653*x0 + 0.123259824558653*tanh(4.05510169505684*x0 - 4.05510169505684*tanh(cos(x8))))**2))
20,0.0018627512,0.004779377496036893,(tanh(square(tanh(sin((tanh((tanh(cos(x8)) - x0) / 0.24660294) - x0) * (-0.058175605 / -0.4719754))))) * x6),x6*tanh(tanh(sin(0.123259824558653*x0 + 0.123259824558653*tanh(4.05510169505684*x0 - 4.05510169505684*tanh(cos(x8)))))**2),PySRFunction(X=>x6*tanh(tanh(sin(0.123259824558653*x0 + 0.123259824558653*tanh(4.05510169505684*x0 - 4.05510169505684*tanh(cos(x8)))))**2))
21,0.0018354236,0.014779235107676108,(square(sin(tanh(tanh(tanh(tanh(tanh(tanh(x0 + tanh(x3))) * x6)))))) * tanh(tanh(x0 + tanh(x3)))),sin(tanh(tanh(tanh(tanh(x6*tanh(tanh(x0 + tanh(x3))))))))**2*tanh(tanh(x0 + tanh(x3))),PySRFunction(X=>sin(tanh(tanh(tanh(tanh(x6*tanh(tanh(x0 + tanh(x3))))))))**2*tanh(tanh(x0 + tanh(x3))))
22,0.0017169948,0.06669974618004283,(tanh(square((tanh(tanh(x0 * square(abs(x6)))) + tanh(sin(-0.15619504))) * tanh(tanh(x6)))) * tanh(x0 + x3)),tanh((tanh(tanh(x0*Abs(x6)**2)) - 0.154317919073683)**2*tanh(tanh(x6))**2)*tanh(x0 + x3),PySRFunction(X=>tanh((tanh(tanh(x0*Abs(x6)**2)) - 0.154317919073683)**2*tanh(tanh(x6))**2)*tanh(x0 + x3))
26,0.001679235,0.005559305201710333,tanh(abs(square(square(tanh(sin(sin(abs((sin(cos(square(cos(x0 + square(square(tanh(x0))))))) * x6) / -1.0930533))))))) * (x0 + -0.54472816)),tanh((x0 - 0.54472816)*tanh(sin(sin(0.914868469817529*Abs(x6*sin(cos(cos(x0 + tanh(x0)**4)**2))))))**4),PySRFunction(X=>tanh((x0 - 0.54472816)*tanh(sin(sin(0.914868469817529*Abs(x6*sin(cos(cos(x0 + tanh(x0)**4)**2))))))**4))
