complexity,loss,score,equation,sympy_format,lambda_format
1,0.005294113,0.0,-1.7887849e-9,-1.78878490000000e-9,PySRFunction(X=>-1.78878490000000E-9)
3,0.002958136,0.29101805412634696,(0.04833195 * x7),0.04833195*x7,PySRFunction(X=>0.04833195*x7)
6,0.0029469759,0.001259938109671019,((square(0.21980284) * x7) + 0.0032984817),0.0483132884720656*x7 + 0.0032984817,PySRFunction(X=>0.0483132884720656*x7 + 0.0032984817)
7,0.0028053303,0.04925823986128335,(square(0.16287217) * (square(x4) - 0.8156385)),0.0265273437605089*x4**2 - 0.0216367228738058,PySRFunction(X=>0.0265273437605089*x4**2 - 0.0216367228738058)
8,0.0028035603,0.0006311408743664565,(square(tanh(0.16287217)) * (square(x4) - 0.8156385)),0.0260651663348278*x4**2 - 0.0212597531715895,PySRFunction(X=>0.0260651663348278*x4**2 - 0.0212597531715895)
9,0.00254048,0.09853710562391758,(square(0.14636724) * ((square(x2) + -0.81733227) + x9)),0.0214233689452176*x2**2 + 0.0214233689452176*x9 - 0.0175100107710422,PySRFunction(X=>0.0214233689452176*x2**2 + 0.0214233689452176*x9 - 0.0175100107710422)
10,0.0025012025,0.015581423323875005,(square(0.16287217) * ((square(x4) - 1.0038738) + tanh(x9))),0.0265273437605089*x4**2 + 0.0265273437605089*tanh(x9) - 0.0266301053847684,PySRFunction(X=>0.0265273437605089*x4**2 + 0.0265273437605089*tanh(x9) - 0.0266301053847684)
12,0.0024206247,0.0163729844393994,(square(0.14318801) * ((square(x2) + sin(x9)) - cos(square(x4)))),0.0205028062077601*x2**2 + 0.0205028062077601*sin(x9) - 0.0205028062077601*cos(x4**2),PySRFunction(X=>0.0205028062077601*x2**2 + 0.0205028062077601*sin(x9) - 0.0205028062077601*cos(x4**2))
13,0.0023790966,0.01730481155914676,(square(-0.13036773) * (((abs(square(x2)) + x9) - cos(x4)) - x3)),-0.0169957450253529*x3 + 0.0169957450253529*x9 - 0.0169957450253529*cos(x4) + 0.0169957450253529*Abs(x2**2),PySRFunction(X=>-0.0169957450253529*x3 + 0.0169957450253529*x9 - 0.0169957450253529*cos(x4) + 0.0169957450253529*Abs(x2**2))
14,0.0021583892,0.09735863304040424,(square(0.13705605) * (square(x2) - square(square(sin(tanh(0.8458148)) + sin(x0))))),0.0187843608416025*x2**2 - 0.0187843608416025*(sin(x0) + 0.635670436971905)**4,PySRFunction(X=>0.0187843608416025*x2**2 - 0.0187843608416025*(sin(x0) + 0.635670436971905)**4)
15,0.002135301,0.010754582402496096,tanh(square(0.13705605) * (square(x2) - square(square(tanh(cos(0.8458148)) + sin(x0))))),tanh(0.0187843608416025*x2**2 - 0.0187843608416025*(sin(x0) + 0.580437084243251)**4),PySRFunction(X=>tanh(0.0187843608416025*x2**2 - 0.0187843608416025*(sin(x0) + 0.580437084243251)**4))
16,0.0021352503,2.374400701018518e-05,sin(square(0.13705605) * (abs(square(x2)) - square(square(tanh(cos(0.8458148)) + sin(x0))))),-sin(0.0187843608416025*(sin(x0) + 0.580437084243251)**4 - 0.0187843608416025*Abs(x2**2)),PySRFunction(X=>-sin(0.0187843608416025*(sin(x0) + 0.580437084243251)**4 - 0.0187843608416025*Abs(x2**2)))
17,0.002091503,0.020700930066551725,(square(-0.14954121) * (((square(x4) - cos(square(x4))) + sin(x9 - x4)) - sin(x0))),0.0223625734882641*x4**2 - 0.0223625734882641*sin(x0) - 0.0223625734882641*sin(x4 - x9) - 0.0223625734882641*cos(x4**2),PySRFunction(X=>0.0223625734882641*x4**2 - 0.0223625734882641*sin(x0) - 0.0223625734882641*sin(x4 - x9) - 0.0223625734882641*cos(x4**2))
19,0.0020912217,6.725281260422935e-05,sin(square(-0.14954121) * (((square(x4) - cos(square(x4))) + sin(sin(x9) - x4)) - sin(x0))),-sin(-0.0223625734882641*x4**2 + 0.0223625734882641*sin(x0) + 0.0223625734882641*sin(x4 - sin(x9)) + 0.0223625734882641*cos(x4**2)),PySRFunction(X=>-sin(-0.0223625734882641*x4**2 + 0.0223625734882641*sin(x0) + 0.0223625734882641*sin(x4 - sin(x9)) + 0.0223625734882641*cos(x4**2)))
20,0.0020853577,0.002808041361877681,tanh(tanh(tanh(sin(tanh(square(0.14289732)))) * (abs(square(x2)) - square(square(0.64446086 + sin(x0)) + -0.16919759)))),-tanh(tanh(0.0204125522271446*((sin(x0) + 0.64446086)**2 - 0.16919759)**2 - 0.0204125522271446*Abs(x2**2))),PySRFunction(X=>-tanh(tanh(0.0204125522271446*((sin(x0) + 0.64446086)**2 - 0.16919759)**2 - 0.0204125522271446*Abs(x2**2))))
21,0.002033519,0.025172609471315787,(sin(square(-0.18099694)) * (((abs(square(x4)) - 0.73924273) * abs(0.8819621)) - (sin(x0 + x2) + tanh(square(x0))))),-0.032754032893493*sin(x0 + x2) - 0.032754032893493*tanh(x0**2) + 0.0288878156342142*Abs(x4**2) - 0.0213551076931732,PySRFunction(X=>-0.032754032893493*sin(x0 + x2) - 0.032754032893493*tanh(x0**2) + 0.0288878156342142*Abs(x4**2) - 0.0213551076931732)
23,0.0019100206,0.03132688123861769,sin(square(abs(0.14289732)) * ((square(abs(x2)) - square(abs(square(tanh(0.64446086) + sin(sin(x0)))))) - (cos(x2) * x0))),-sin(0.0204196440631824*x0*cos(x2) - 0.0204196440631824*Abs(x2)**2 + 0.0204196440631824*Abs((sin(sin(x0)) + 0.567929246363417)**2)**2),PySRFunction(X=>-sin(0.0204196440631824*x0*cos(x2) - 0.0204196440631824*Abs(x2)**2 + 0.0204196440631824*Abs((sin(sin(x0)) + 0.567929246363417)**2)**2))
25,0.0019044139,0.001469865071156425,tanh(tanh(sin(tanh(square(0.14289732)))) * ((abs(square(x2)) - square(abs(square(0.64446086 + sin(x0))) + -0.16919759)) - (cos(x2) * x0))),-tanh(0.0204125522271446*x0*cos(x2) + 0.0204125522271446*(Abs((sin(x0) + 0.64446086)**2) - 0.16919759)**2 - 0.0204125522271446*Abs(x2**2)),PySRFunction(X=>-tanh(0.0204125522271446*x0*cos(x2) + 0.0204125522271446*(Abs((sin(x0) + 0.64446086)**2) - 0.16919759)**2 - 0.0204125522271446*Abs(x2**2)))
26,0.0018669177,0.01988551502444015,sin(square(0.14289732) * ((square(abs(x2)) - square(abs(square(tanh(0.64446086) + sin(sin(x0)))))) - (cos(x2 - abs(tanh(0.64446086))) * x0))),-sin(0.0204196440631824*x0*cos(x2 - 0.567929246363417) - 0.0204196440631824*Abs(x2)**2 + 0.0204196440631824*Abs((sin(sin(x0)) + 0.567929246363417)**2)**2),PySRFunction(X=>-sin(0.0204196440631824*x0*cos(x2 - 0.567929246363417) - 0.0204196440631824*Abs(x2)**2 + 0.0204196440631824*Abs((sin(sin(x0)) + 0.567929246363417)**2)**2))
27,0.0017902304,0.04194445552055138,tanh(square(sin(-0.18099694)) * (((square(x4) - 0.73924273) * 0.8819621) - (sin(sin(x0) + x2) + (sin(x0 + x2) + square(tanh(square(0.8819621))))))),-tanh(-0.0285788479824238*x4**2 + 0.032403714380044*sin(x0 + x2) + 0.032403714380044*sin(x2 + sin(x0)) + 0.0348794813515411),PySRFunction(X=>-tanh(-0.0285788479824238*x4**2 + 0.032403714380044*sin(x0 + x2) + 0.032403714380044*sin(x2 + sin(x0)) + 0.0348794813515411))
