Complexity,Loss,Equation
1,0.005294152,"4.5140096e-6"
2,0.005294113,"square(9.906915e-5)"
3,0.002958136,"(x7 * 0.04833195)"
5,0.0028847798,"(0.031105932 * (x7 - x10))"
6,0.0026671672,"((square(x7) - x10) * 0.019470442)"
7,0.0026397782,"((square(x7) - x10) * square(-0.13205232))"
8,0.0022982517,"(((square(x7) - x10) + -0.69217014) * 0.019470442)"
9,0.0022474227,"((square(x2) - (x10 + cos(0.112994134))) * 0.022104606)"
10,0.0022459468,"tanh((square(x2) - (x10 + cos(0.112994134))) * 0.022104606)"
11,0.0021719313,"sin((square(x2) - (x10 + cos(square(x4)))) * 0.022104606)"
12,0.00217185,"sin((square(x2) - (x10 + cos(square(x4)))) * tanh(0.022104606))"
15,0.0021619753,"((((square(x2) - x10) * 1.2045786) - square(sin(x2) + x10)) * square(0.13065884))"
16,0.0020036555,"((square(x2) - ((cos(x2) * (x0 - -1.2477348)) + x10)) * abs(abs(square(0.13065884))))"
17,0.0019538763,"(((square(x2) - x3) - ((cos(x2) * (x0 - -1.2477348)) + x10)) * abs(square(0.13065884)))"
20,0.001943359,"(((square(x2) - (x3 * 0.53239274)) - ((cos(x2) * (x0 - -1.2477348)) + sin(x10))) * tanh(square(0.13065884)))"
21,0.0019021388,"sin(((square(x2) - (x3 * 0.53239274)) - ((cos(x2) * (x0 - -1.2477348)) + x10)) * abs(sin(square(0.13065884))))"
