Complexity,Loss,Equation
1,0.0051041506,"-3.3316763e-5"
2,0.0051039634,"square(-3.3316763e-5)"
3,0.002931806,"(0.04660641 * x0)"
5,0.0029114226,"((x0 + -0.09234155) * 0.0466266)"
6,0.0023422653,"(x10 * square(-0.17068921 * x0))"
7,0.0022995593,"(x10 * square(tanh(-0.17068921 * x0)))"
8,0.0020752181,"(((x0 + -0.33440134) * abs(x10)) * 0.06249948)"
11,0.0019714693,"(((x0 + (abs(x9) / -2.0725195)) * abs(x10)) * 0.06649389)"
12,0.0019711559,"sin(((x0 + (abs(x9) / -2.0725195)) * abs(x10)) * 0.06649389)"
13,0.0019434236,"(((x0 + ((square(x9) * 2.4501998) * -0.12036624)) * abs(x10)) * 0.068268456)"
14,0.001856505,"(((x0 + ((abs(x10) + square(x9)) * -0.16073298)) * abs(x10)) * 0.068268456)"
16,0.0018510761,"((((x0 + ((abs(x10) + square(x9)) * -0.16073298)) + 0.030663526) * abs(x10)) * 0.068268456)"
17,0.0018299159,"(((x0 + ((abs(x10) + (square(abs(x9)) - x1)) * -0.16073298)) * abs(x10)) * 0.068268456)"
18,0.0018274608,"tanh(((x0 + ((abs(x10) + (square(abs(x9)) - x1)) * -0.16073298)) * abs(x10)) * 0.068268456)"
19,0.0018218566,"((((x0 + ((abs(x10) + (square(abs(x9)) - x1)) * -0.16073298)) + 0.030663526) * abs(x10)) * 0.068268456)"
20,0.0018188512,"tanh((((x0 + ((abs(x10) + (square(abs(x9)) - x1)) * -0.16073298)) + 0.030663526) * abs(x10)) * 0.068268456)"
21,0.0018179026,"tanh(sin((((x0 + ((abs(x10) + (square(abs(x9)) - x1)) * -0.16073298)) + 0.030663526) * abs(x10)) * 0.068268456))"
22,0.0018170164,"tanh(sin(tanh((((x0 + ((abs(x10) + (square(abs(x9)) - x1)) * -0.16073298)) + 0.030663526) * abs(x10)) * 0.068268456)))"
26,0.0017827752,"(((x0 + tanh(((sin((abs(abs(-0.12036624)) + abs(0.068268456)) - x2) / 0.3667087) + square(square(x9))) * sin(-0.12036624))) * abs(x10)) * 0.068268456)"
