complexity,loss,score,equation,sympy_format,lambda_format
1,0.005294113,0.0,-5.820999e-9,-5.82099900000000e-9,PySRFunction(X=>-5.82099900000000E-9)
3,0.002780903,0.3219098766960486,(0.050131917 * x3),0.050131917*x3,PySRFunction(X=>0.050131917*x3)
5,0.0021229547,0.134983425169975,((x3 * 0.034748815) * x15),0.034748815*x15*x3,PySRFunction(X=>0.034748815*x15*x3)
6,0.0018484055,0.13848546920787272,((x3 * 0.036389705) * abs(x17)),0.036389705*x3*Abs(x17),PySRFunction(X=>0.036389705*x3*Abs(x17))
7,0.001580862,0.15635310766583585,((0.026486892 * x3) * (x17 + 0.9485806)),0.026486892*x3*(x17 + 0.9485806),PySRFunction(X=>0.026486892*x3*(x17 + 0.9485806))
8,0.0013508995,0.1571996010203212,((0.029279979 * (x2 - x5)) * abs(x17)),(0.029279979*x2 - 0.029279979*x5)*Abs(x17),PySRFunction(X=>(0.029279979*x2 - 0.029279979*x5)*Abs(x17))
9,0.0010132758,0.2875822180474138,((0.022393199 * (x2 - x5)) * (x17 + 0.810647)),(x17 + 0.810647)*(0.022393199*x2 - 0.022393199*x5),PySRFunction(X=>(x17 + 0.810647)*(0.022393199*x2 - 0.022393199*x5))
11,0.0009533351,0.030488629756803765,((0.023027044 * (x2 - (x5 - -0.26430324))) * (x17 + 0.7729747)),(x17 + 0.7729747)*(0.023027044*x2 - 0.023027044*x5 - 0.00608612233682256),PySRFunction(X=>(x17 + 0.7729747)*(0.023027044*x2 - 0.023027044*x5 - 0.00608612233682256))
13,0.0009270888,0.013958557216327735,((0.022392653 * (((-0.27342343 * x13) - x5) + x2)) * (x17 - -0.7703448)),(x17 + 0.7703448)*(-0.00612267599005979*x13 + 0.022392653*x2 - 0.022392653*x5),PySRFunction(X=>(x17 + 0.7703448)*(-0.00612267599005979*x13 + 0.022392653*x2 - 0.022392653*x5))
15,0.0009211209,0.0032290279299278493,((0.023854394 * (x2 - (x5 + 0.352597))) * ((x17 + (0.19626525 * x2)) + 0.86437756)),(x17 + 0.19626525*x2 + 0.86437756)*(0.023854394*x2 - 0.023854394*x5 - 0.008410987761218),PySRFunction(X=>(x17 + 0.19626525*x2 + 0.86437756)*(0.023854394*x2 - 0.023854394*x5 - 0.008410987761218))
17,0.00089620805,0.013709356658352653,((0.023854394 * (x2 - (x5 - -0.3058243))) * (x17 + cos(cos(x3 * x13)))),(x17 + cos(cos(x13*x3)))*(0.023854394*x2 - 0.023854394*x5 - 0.0072952533469742),PySRFunction(X=>(x17 + cos(cos(x13*x3)))*(0.023854394*x2 - 0.023854394*x5 - 0.0072952533469742))
19,0.00089019374,0.0033667301261457038,((0.023854394 * (x2 - (x5 - -0.33697587))) * (x17 + cos(cos((0.89052963 - x5) * x13)))),(x17 + cos(cos(x13*(0.89052963 - x5))))*(0.023854394*x2 - 0.023854394*x5 - 0.00803835517147278),PySRFunction(X=>(x17 + cos(cos(x13*(0.89052963 - x5))))*(0.023854394*x2 - 0.023854394*x5 - 0.00803835517147278))
20,0.00088824873,0.0021873193069549754,tanh((0.023854394 * (x2 - (x5 - -0.3058243))) * (x17 + cos(cos(x3 * x13)))),tanh((x17 + cos(cos(x13*x3)))*(0.023854394*x2 - 0.023854394*x5 - 0.0072952533469742)),PySRFunction(X=>tanh((x17 + cos(cos(x13*x3)))*(0.023854394*x2 - 0.023854394*x5 - 0.0072952533469742)))
21,0.0008853626,0.0032545265117094324,((0.023854394 * (x2 - (x5 - -0.33697587))) * (x17 + cos(cos((0.89052963 - (x5 * 1.1214417)) * x13)))),(x17 + cos(cos(x13*(0.89052963 - 1.1214417*x5))))*(0.023854394*x2 - 0.023854394*x5 - 0.00803835517147278),PySRFunction(X=>(x17 + cos(cos(x13*(0.89052963 - 1.1214417*x5))))*(0.023854394*x2 - 0.023854394*x5 - 0.00803835517147278))
22,0.0008798958,0.006193787240319163,((0.023854394 * ((x2 - x5) + -0.3384197)) * (x17 + cos(tanh(x17 / x4)))),(x17 + cos(tanh(x17/x4)))*(0.023854394*x2 - 0.023854394*x5 - 0.0080727968611618),PySRFunction(X=>(x17 + cos(tanh(x17/x4)))*(0.023854394*x2 - 0.023854394*x5 - 0.0080727968611618))
24,0.00087245676,0.004245198630590446,((0.023854394 * ((x2 - x5) + -0.36796725)) * (x17 + cos(tanh((x17 / x4) * x0)))),(x17 + cos(tanh(x0*x17/x4)))*(0.023854394*x2 - 0.023854394*x5 - 0.0087776357605965),PySRFunction(X=>(x17 + cos(tanh(x0*x17/x4)))*(0.023854394*x2 - 0.023854394*x5 - 0.0087776357605965))
26,0.0008659618,0.0037361486871164713,((0.023854394 * ((x2 - x5) + -0.40097526)) * (x17 + cos(tanh((x17 / x4) * x0) * 1.0591074))),(x17 + cos(1.0591074*tanh(x0*x17/x4)))*(0.023854394*x2 - 0.023854394*x5 - 0.00956502183629244),PySRFunction(X=>(x17 + cos(1.0591074*tanh(x0*x17/x4)))*(0.023854394*x2 - 0.023854394*x5 - 0.00956502183629244))
28,0.0008632503,0.0015680564705428677,((0.023854394 * ((x2 - x5) + -0.40097526)) * (x17 + cos((tanh((x17 / x4) * x0) * 1.0463372) * 1.0591074))),(x17 + cos(1.10818347141528*tanh(x0*x17/x4)))*(0.023854394*x2 - 0.023854394*x5 - 0.00956502183629244),PySRFunction(X=>(x17 + cos(1.10818347141528*tanh(x0*x17/x4)))*(0.023854394*x2 - 0.023854394*x5 - 0.00956502183629244))
30,0.00085911347,0.00240183753683909,((0.023854394 * ((x2 - x5) + -0.40097526)) * (x17 + cos(square(tanh((x17 / x4) * x10)) * square(-1.0704554)))),(x17 + cos(1.14587476338916*tanh(x10*x17/x4)**2))*(0.023854394*x2 - 0.023854394*x5 - 0.00956502183629244),PySRFunction(X=>(x17 + cos(1.14587476338916*tanh(x10*x17/x4)**2))*(0.023854394*x2 - 0.023854394*x5 - 0.00956502183629244))
