complexity,loss,score,equation,sympy_format,lambda_format
1,0.0051039634,0.0,-7.212048e-9,-7.21204800000000e-9,PySRFunction(X=>-7.21204800000000E-9)
3,0.003761985,0.15253531577016147,(x14 - x16),x14 - x16,PySRFunction(X=>x14 - x16)
5,0.0026822977,0.16913648283812346,(0.041816533 * (x15 - x3)),0.041816533*x15 - 0.041816533*x3,PySRFunction(X=>0.041816533*x15 - 0.041816533*x3)
7,0.0011305447,0.4319871129865375,sin((x14 - x16) * 4.9064727),sin(4.9064727*x14 - 4.9064727*x16),PySRFunction(X=>sin(4.9064727*x14 - 4.9064727*x16))
9,0.00067078613,0.26100223901570296,(sin((x14 - x16) * 20.899855) * 0.2880464),0.2880464*sin(20.899855*x14 - 20.899855*x16),PySRFunction(X=>0.2880464*sin(20.899855*x14 - 20.899855*x16))
11,0.00066005863,0.008060844261555839,(sin((x14 - x16) * (19.372187 + x12)) * 0.30451968),0.30451968*sin((x12 + 19.372187)*(x14 - x16)),PySRFunction(X=>0.30451968*sin((x12 + 19.372187)*(x14 - x16)))
12,0.0006585022,0.002360802304255044,(sin((x14 - x16) * (19.781681 + x12)) * abs(-0.29975)),0.29975*sin((x12 + 19.781681)*(x14 - x16)),PySRFunction(X=>0.29975*sin((x12 + 19.781681)*(x14 - x16)))
13,0.0006519978,0.0099266744162712,(sin((x14 - x16) * (19.372187 + (x13 + x12))) * 0.30451968),0.30451968*sin((x14 - x16)*(x12 + x13 + 19.372187)),PySRFunction(X=>0.30451968*sin((x14 - x16)*(x12 + x13 + 19.372187)))
14,0.00065157114,0.0006546029168746011,(sin((x14 - x16) * (19.372187 + (x12 * abs(x12)))) * 0.30451968),0.30451968*sin((x14 - x16)*(x12*Abs(x12) + 19.372187)),PySRFunction(X=>0.30451968*sin((x14 - x16)*(x12*Abs(x12) + 19.372187)))
15,0.0006319105,0.030638814576348563,(sin((x14 - x16) * 20.899855) * (((x14 - x16) * x13) - -0.25955334)),(x13*(x14 - x16) + 0.25955334)*sin(20.899855*x14 - 20.899855*x16),PySRFunction(X=>(x13*(x14 - x16) + 0.25955334)*sin(20.899855*x14 - 20.899855*x16))
17,0.00058813905,0.03589218533051797,(sin((x14 - x16) * 20.899855) * (((x14 - x16) * (x13 - x11)) - -0.22906917)),((-x11 + x13)*(x14 - x16) + 0.22906917)*sin(20.899855*x14 - 20.899855*x16),PySRFunction(X=>((-x11 + x13)*(x14 - x16) + 0.22906917)*sin(20.899855*x14 - 20.899855*x16))
18,0.0005880999,6.656810678551803e-05,(sin((x14 - x16) * 20.899855) * abs(((x14 - x16) * (x13 - x11)) - -0.22906917)),sin(20.899855*x14 - 20.899855*x16)*Abs((x11 - x13)*(x14 - x16) - 0.22906917),PySRFunction(X=>sin(20.899855*x14 - 20.899855*x16)*Abs((x11 - x13)*(x14 - x16) - 0.22906917))
19,0.00058619666,0.00324150088031767,(sin((x14 - x16) * (20.899855 + x2)) * (((x14 - x16) * (x13 - x11)) - -0.22906917)),((-x11 + x13)*(x14 - x16) + 0.22906917)*sin((x14 - x16)*(x2 + 20.899855)),PySRFunction(X=>((-x11 + x13)*(x14 - x16) + 0.22906917)*sin((x14 - x16)*(x2 + 20.899855)))
20,0.00058618985,1.1617329168986611e-05,(sin((x14 - x16) * (20.899855 + x2)) * abs(((x14 - x16) * (x13 - x11)) - -0.22906917)),sin((x14 - x16)*(x2 + 20.899855))*Abs((x11 - x13)*(x14 - x16) - 0.22906917),PySRFunction(X=>sin((x14 - x16)*(x2 + 20.899855))*Abs((x11 - x13)*(x14 - x16) - 0.22906917))
21,0.000581461,0.008099811435508064,(sin((x14 - x16) * (20.899855 + x2)) * (((x14 - x16) * ((x13 - x11) + 0.26290917)) - -0.22906917)),((x14 - x16)*(-x11 + x13 + 0.26290917) + 0.22906917)*sin((x14 - x16)*(x2 + 20.899855)),PySRFunction(X=>((x14 - x16)*(-x11 + x13 + 0.26290917) + 0.22906917)*sin((x14 - x16)*(x2 + 20.899855)))
23,0.00058145815,2.450729270388639e-06,(sin((x14 - x16) * (20.899855 + x2)) * ((sin(x14 - x16) * ((x13 - x11) + 0.26290917)) - -0.22906917)),((-x11 + x13 + 0.26290917)*sin(x14 - x16) + 0.22906917)*sin((x14 - x16)*(x2 + 20.899855)),PySRFunction(X=>((-x11 + x13 + 0.26290917)*sin(x14 - x16) + 0.22906917)*sin((x14 - x16)*(x2 + 20.899855)))
26,0.00057446596,0.004032718770981803,(sin(sin((x14 - x16) * (20.899855 + x2))) * (((x14 - x16) * ((x13 - x11) + tanh(x13))) - -0.22906917)),((x14 - x16)*(-x11 + x13 + tanh(x13)) + 0.22906917)*sin(sin((x14 - x16)*(x2 + 20.899855))),PySRFunction(X=>((x14 - x16)*(-x11 + x13 + tanh(x13)) + 0.22906917)*sin(sin((x14 - x16)*(x2 + 20.899855))))
