complexity, loss      , score                 , equation                                                                                                                                                        , sympy_format                                                                                                                      , lambda_format
         1, 0.33123028, 0.0                   , -1.7729204e-7                                                                                                                                                   , -1.77292040000000e-7                                                                                                              , PySRFunction(X=>-1.77292040000000E-7)
         3, 0.3227086 , 0.013032047305300012  , (-0.09231334 * a_surge)                                                                                                                                         , -0.09231334*a_surge                                                                                                               , PySRFunction(X=>-0.09231334*a_surge)
         4, 0.31502378, 0.024101620802513244  , square(0.15745023 * a_sway)                                                                                                                                     , 0.0247905749270529*a_sway**2                                                                                                      , PySRFunction(X=>0.0247905749270529*a_sway**2)
         5, 0.31314036, 0.005996603511500636  , ((0.074277155 * dtheta) * a_surge)                                                                                                                              , 0.074277155*a_surge*dtheta                                                                                                        , PySRFunction(X=>0.074277155*a_surge*dtheta)
         6, 0.29987222, 0.04329507394074221   , ((0.35605693 * sin(theta)) * dtheta)                                                                                                                            , 0.35605693*dtheta*sin(theta)                                                                                                      , PySRFunction(X=>0.35605693*dtheta*sin(theta))
         7, 0.29941764, 0.0015170625018880864 , ((tanh(0.35605693) * sin(theta)) * dtheta)                                                                                                                      , 0.341736154473353*dtheta*sin(theta)                                                                                               , PySRFunction(X=>0.341736154473353*dtheta*sin(theta))
         8, 0.29407212, 0.01801434470710851   , ((0.21750551 * sin(theta / gama)) * dtheta)                                                                                                                     , 0.21750551*dtheta*sin(theta/gama)                                                                                                 , PySRFunction(X=>0.21750551*dtheta*sin(theta/gama))
         9, 0.28396523, 0.03497324228987444   , ((0.05515111 * (-0.50034815 * sin(theta))) * square(dtheta))                                                                                                    , -0.0275947558589465*dtheta**2*sin(theta)                                                                                          , PySRFunction(X=>-0.0275947558589465*dtheta**2*sin(theta))
        10, 0.25984344, 0.08877250528669325   , ((0.05515111 * (-0.50034815 * theta)) * square(dtheta + dgamma))                                                                                                , -0.0275947558589465*theta*(dgamma + dtheta)**2                                                                                    , PySRFunction(X=>-0.0275947558589465*theta*(dgamma + dtheta)**2)
        11, 0.2598405 , 1.1314569390109567e-05, (tanh(0.05515111 * (-0.50034815 * theta)) * square(dtheta + dgamma))                                                                                            , -(dgamma + dtheta)**2*tanh(0.0275947558589465*theta)                                                                              , PySRFunction(X=>-(dgamma + dtheta)**2*tanh(0.0275947558589465*theta))
        12, 0.2516387 , 0.03207365265437727   , ((0.05515111 * (-0.50034815 * theta)) * (square(dtheta + dgamma) + a_surge))                                                                                    , -0.0275947558589465*theta*(a_surge + (dgamma + dtheta)**2)                                                                        , PySRFunction(X=>-0.0275947558589465*theta*(a_surge + (dgamma + dtheta)**2))
        14, 0.24838686, 0.006503439234373395  , ((0.05515111 * (-0.50034815 * theta)) * ((square(dtheta + dgamma) + gama) + a_surge))                                                                           , -0.0275947558589465*theta*(a_surge + gama + (dgamma + dtheta)**2)                                                                 , PySRFunction(X=>-0.0275947558589465*theta*(a_surge + gama + (dgamma + dtheta)**2))
        15, 0.24655321, 0.007409617852575163  , ((square(square(-0.50034815)) * (-0.50034815 * theta)) * (square(dtheta + dgamma) - abs(a_sway)))                                                               , -0.0313589484910616*theta*((dgamma + dtheta)**2 - Abs(a_sway))                                                                    , PySRFunction(X=>-0.0313589484910616*theta*((dgamma + dtheta)**2 - Abs(a_sway)))
        16, 0.24464348, 0.0077758651936186435 , ((square(0.22601861) * (-0.50034815 * theta)) * (square(dtheta + dgamma) - abs(a_sway + a_sway)))                                                               , -0.0255599910712269*theta*((dgamma + dtheta)**2 - 2*Abs(a_sway))                                                                  , PySRFunction(X=>-0.0255599910712269*theta*((dgamma + dtheta)**2 - 2*Abs(a_sway)))
