Complexity,Loss,Equation
1,4.664711,"-3.821047e-5"
3,4.634812,"(-0.17272468 * theta)"
4,3.8327665,"(sin(theta) * dtheta)"
6,3.6415849,"(sin(theta * 1.5168749) * dtheta)"
7,3.2499938,"(sin(theta) * (dtheta - abs(dtheta)))"
8,2.966576,"(theta * ((-2.5650427 - gama) * abs(dtheta)))"
9,2.594545,"(sin(theta) * (abs(dtheta) * (-2.4251 - gama)))"
10,2.5837936,"(theta * (0.49436846 - abs((2.4367118 + gama) * dtheta)))"
11,2.5242,"(sin(theta) * (0.46797428 - abs((2.62077 + gama) * dtheta)))"
12,2.3952584,"(sin(theta) * (abs(dtheta) * ((-2.1756322 - gama) - sin(dtheta))))"
13,2.3942447,"(sin(theta) * (abs(dtheta) * ((-2.227235 - gama) - sin(sin(dtheta)))))"
14,2.1345944,"(theta * (0.0541966 - square(square((1.5830979 + tanh(gama)) * square(tanh(dtheta))))))"
15,1.8483726,"((theta - v_surge) * (0.09218546 - square(square((1.5356674 + tanh(gama)) * tanh(dtheta)))))"
16,1.6445843,"(theta * (-0.07180077 - square(square((1.4289125 + tanh(gama)) * square(tanh(dtheta) + -0.07180077)))))"
17,1.5168166,"((theta - v_surge) * (0.075540535 - square(square((1.4324093 + tanh(gama)) * (tanh(dtheta) + -0.10673776)))))"
19,1.4418968,"((theta - v_surge) * (0.09853513 - square(square((1.3929918 + tanh(gama)) * (tanh(dtheta - -0.32410628) + -0.13268007)))))"
20,1.4411592,"((theta - tanh(v_surge)) * (0.07317966 - square(square((1.4289125 + tanh(gama)) * (tanh(dtheta - -0.32410628) + -0.13268007)))))"
21,1.3596154,"((theta + square(sin(v_surge) - 0.21251091)) * (0.016239034 - square(square((1.4289125 + tanh(gama)) * (tanh(dtheta) + -0.13268007)))))"
22,1.3294948,"((theta + (abs(v_surge) - 0.21251091)) * (0.014801483 - square(square((1.4289125 + tanh(gama)) * (tanh(dtheta - -0.32410628) + -0.13268007)))))"
23,1.2968516,"((theta + square(tanh(v_surge) - 0.21251091)) * (-0.015405338 - square(square((1.4289125 + tanh(gama)) * (tanh(dtheta - -0.32410628) + -0.13268007)))))"
24,1.2725949,"((theta + square(tanh(v_surge) - 0.15127708)) * (0.017547676 - square(square((1.4289125 + sin(tanh(gama))) * (tanh(dtheta - -0.32410628) + -0.16681884)))))"
26,1.2717818,"((theta + square(tanh(v_surge) - 0.21251091)) * ((0.017547676 * dgamma) - square(square((1.4289125 + sin(tanh(gama))) * (tanh(dtheta - -0.32410628) + -0.16681884)))))"
27,1.2625613,"((theta + square(tanh(v_surge) - 0.21251091)) * ((0.017547676 * square(dgamma)) - square(square((1.4289125 + sin(tanh(gama))) * (tanh(dtheta - -0.32410628) + -0.16681884)))))"
28,1.2619559,"((theta + square(tanh(v_surge) - tanh(0.21251091))) * ((0.017547676 * square(dgamma)) - square(square((1.4289125 + sin(tanh(gama))) * (tanh(dtheta - -0.32410628) + -0.16681884)))))"
29,1.2618014,"((theta + square(tanh(v_surge) - tanh(0.21251091))) * ((0.017547676 * square(dgamma)) - square(square((1.4289125 + sin(tanh(gama))) * (tanh(dtheta - -0.32410628) + tanh(-0.16681884))))))"
