complexity,loss,score,equation,sympy_format,lambda_format
1,4.664711,0.0,-3.821047e-5,-3.82104700000000e-5,PySRFunction(X=>-0.0000382104700000000)
3,4.634812,0.003215122218851915,(-0.17272468 * theta),-0.17272468*theta,PySRFunction(X=>-0.17272468*theta)
4,3.8327665,0.19000877104380687,(sin(theta) * dtheta),dtheta*sin(theta),PySRFunction(X=>dtheta*sin(theta))
6,3.6415849,0.025583933614935193,(sin(theta * 1.5168749) * dtheta),dtheta*sin(1.5168749*theta),PySRFunction(X=>dtheta*sin(1.5168749*theta))
7,3.2499938,0.11376591032470612,(sin(theta) * (dtheta - abs(dtheta))),(dtheta - Abs(dtheta))*sin(theta),PySRFunction(X=>(dtheta - Abs(dtheta))*sin(theta))
8,2.966576,0.09124466284230835,(theta * ((-2.5650427 - gama) * abs(dtheta))),theta*(-gama - 2.5650427)*Abs(dtheta),PySRFunction(X=>theta*(-gama - 2.5650427)*Abs(dtheta))
9,2.594545,0.13399726174761786,(sin(theta) * (abs(dtheta) * (-2.4251 - gama))),(-gama - 2.4251)*sin(theta)*Abs(dtheta),PySRFunction(X=>(-gama - 2.4251)*sin(theta)*Abs(dtheta))
10,2.5837936,0.004152457488498317,(theta * (0.49436846 - abs((2.4367118 + gama) * dtheta))),theta*(0.49436846 - Abs(dtheta*(gama + 2.4367118))),PySRFunction(X=>theta*(0.49436846 - Abs(dtheta*(gama + 2.4367118))))
11,2.5242,0.023334525726701034,(sin(theta) * (0.46797428 - abs((2.62077 + gama) * dtheta))),(0.46797428 - Abs(dtheta*(gama + 2.62077)))*sin(theta),PySRFunction(X=>(0.46797428 - Abs(dtheta*(gama + 2.62077)))*sin(theta))
12,2.3952584,0.05243306435887648,(sin(theta) * (abs(dtheta) * ((-2.1756322 - gama) - sin(dtheta)))),(-gama - sin(dtheta) - 2.1756322)*sin(theta)*Abs(dtheta),PySRFunction(X=>(-gama - sin(dtheta) - 2.1756322)*sin(theta)*Abs(dtheta))
13,2.3942447,0.00042330070321351497,(sin(theta) * (abs(dtheta) * ((-2.227235 - gama) - sin(sin(dtheta))))),(-gama - sin(sin(dtheta)) - 2.227235)*sin(theta)*Abs(dtheta),PySRFunction(X=>(-gama - sin(sin(dtheta)) - 2.227235)*sin(theta)*Abs(dtheta))
14,2.1345944,0.1147911637283479,(theta * (0.0541966 - square(square((1.5830979 + tanh(gama)) * square(tanh(dtheta)))))),theta*(-6.28103323203934*(0.631672873800161*tanh(gama) + 1)**4*tanh(dtheta)**8 + 0.0541966),PySRFunction(X=>theta*(-6.28103323203934*(0.631672873800161*tanh(gama) + 1)**4*tanh(dtheta)**8 + 0.0541966))
15,1.8483726,0.14397107577910068,((theta - v_surge) * (0.09218546 - square(square((1.5356674 + tanh(gama)) * tanh(dtheta))))),(theta - v_surge)*(-5.56145797317702*(0.651182671456072*tanh(gama) + 1)**4*tanh(dtheta)**4 + 0.09218546),PySRFunction(X=>(theta - v_surge)*(-5.56145797317702*(0.651182671456072*tanh(gama) + 1)**4*tanh(dtheta)**4 + 0.09218546))
16,1.6445843,0.11681792915802357,(theta * (-0.07180077 - square(square((1.4289125 + tanh(gama)) * square(tanh(dtheta) + -0.07180077))))),theta*(-4.16891021267728*(tanh(dtheta) - 0.07180077)**8*(0.69983291489157*tanh(gama) + 1)**4 - 0.07180077),PySRFunction(X=>theta*(-4.16891021267728*(tanh(dtheta) - 0.07180077)**8*(0.69983291489157*tanh(gama) + 1)**4 - 0.07180077))
17,1.5168166,0.08087385056326969,((theta - v_surge) * (0.075540535 - square(square((1.4324093 + tanh(gama)) * (tanh(dtheta) + -0.10673776))))),(theta - v_surge)*(-4.20986847824136*(tanh(dtheta) - 0.10673776)**4*(0.69812448159894*tanh(gama) + 1)**4 + 0.075540535),PySRFunction(X=>(theta - v_surge)*(-4.20986847824136*(tanh(dtheta) - 0.10673776)**4*(0.69812448159894*tanh(gama) + 1)**4 + 0.075540535))
19,1.4418968,0.025327163758773346,((theta - v_surge) * (0.09853513 - square(square((1.3929918 + tanh(gama)) * (tanh(dtheta - -0.32410628) + -0.13268007))))),(theta - v_surge)*(-3.76525366249286*(0.717879315585347*tanh(gama) + 1)**4*(tanh(dtheta + 0.32410628) - 0.13268007)**4 + 0.09853513),PySRFunction(X=>(theta - v_surge)*(-3.76525366249286*(0.717879315585347*tanh(gama) + 1)**4*(tanh(dtheta + 0.32410628) - 0.13268007)**4 + 0.09853513))
20,1.4411592,0.0005116792848235116,((theta - tanh(v_surge)) * (0.07317966 - square(square((1.4289125 + tanh(gama)) * (tanh(dtheta - -0.32410628) + -0.13268007))))),(theta - tanh(v_surge))*(-4.16891021267728*(0.69983291489157*tanh(gama) + 1)**4*(tanh(dtheta + 0.32410628) - 0.13268007)**4 + 0.07317966),PySRFunction(X=>(theta - tanh(v_surge))*(-4.16891021267728*(0.69983291489157*tanh(gama) + 1)**4*(tanh(dtheta + 0.32410628) - 0.13268007)**4 + 0.07317966))
21,1.3596154,0.05824592411267405,((theta + square(sin(v_surge) - 0.21251091)) * (0.016239034 - square(square((1.4289125 + tanh(gama)) * (tanh(dtheta) + -0.13268007))))),(theta + (sin(v_surge) - 0.21251091)**2)*(-4.16891021267728*(tanh(dtheta) - 0.13268007)**4*(0.69983291489157*tanh(gama) + 1)**4 + 0.016239034),PySRFunction(X=>(theta + (sin(v_surge) - 0.21251091)**2)*(-4.16891021267728*(tanh(dtheta) - 0.13268007)**4*(0.69983291489157*tanh(gama) + 1)**4 + 0.016239034))
22,1.3294948,0.022402845188057338,((theta + (abs(v_surge) - 0.21251091)) * (0.014801483 - square(square((1.4289125 + tanh(gama)) * (tanh(dtheta - -0.32410628) + -0.13268007))))),(-4.16891021267728*(0.69983291489157*tanh(gama) + 1)**4*(tanh(dtheta + 0.32410628) - 0.13268007)**4 + 0.014801483)*(theta + Abs(v_surge) - 0.21251091),PySRFunction(X=>(-4.16891021267728*(0.69983291489157*tanh(gama) + 1)**4*(tanh(dtheta + 0.32410628) - 0.13268007)**4 + 0.014801483)*(theta + Abs(v_surge) - 0.21251091))
23,1.2968516,0.024859539547811074,((theta + square(tanh(v_surge) - 0.21251091)) * (-0.015405338 - square(square((1.4289125 + tanh(gama)) * (tanh(dtheta - -0.32410628) + -0.13268007))))),(theta + (tanh(v_surge) - 0.21251091)**2)*(-4.16891021267728*(0.69983291489157*tanh(gama) + 1)**4*(tanh(dtheta + 0.32410628) - 0.13268007)**4 - 0.015405338),PySRFunction(X=>(theta + (tanh(v_surge) - 0.21251091)**2)*(-4.16891021267728*(0.69983291489157*tanh(gama) + 1)**4*(tanh(dtheta + 0.32410628) - 0.13268007)**4 - 0.015405338))
