Complexity,Loss,Equation
1,0.33123028,"1.4868091e-7"
3,0.3006316,"(-0.17492494 * a_y)"
6,0.2974472,"(-0.18438293 * (a_y - sin(a_y)))"
7,0.2972209,"(-0.18438293 * (a_y - tanh(sin(a_y))))"
8,0.28226745,"((dtheta * -0.17218125) * (tanh(theta) * dgamma))"
9,0.27687502,"((dtheta * -0.17218125) * (tanh(tanh(theta)) * dgamma))"
10,0.26939204,"((dtheta * -0.17218125) * (tanh(theta) * (dgamma - 1.4343041)))"
11,0.26464435,"((dtheta * -0.17218125) * (tanh(tanh(theta)) * (dgamma - 1.4343041)))"
12,0.23879418,"((square(tanh(tanh(dgamma) + tanh(V_y))) * dtheta) * sin(theta))"
13,0.23874655,"((square(tanh(tanh(dgamma) + tanh(tanh(V_y)))) * dtheta) * sin(theta))"
14,0.2331743,"(((tanh(square(tanh(dgamma) + sin(V_y))) + -0.22219191) * dtheta) * sin(theta))"
15,0.22293931,"((sin(abs((-0.06348632 * square(tanh(dgamma) + -0.688285)) / v_surge)) * dtheta) * theta)"
16,0.22098793,"((tanh(square((-0.06348632 * square(square(tanh(dgamma) + -0.43240497))) / v_surge)) * dtheta) * theta)"
17,0.21532725,"((square(tanh((-0.06348632 * square(square(tanh(tanh(dgamma)) + -0.688285))) / v_surge)) * dtheta) * theta)"
18,0.20803449,"((sin(abs((-0.06348632 * square(tanh(dgamma) + -0.688285)) / v_surge)) * (dtheta - sin(dtheta))) * theta)"
20,0.20169964,"((square(tanh((0.07158448 * square(square(tanh(tanh(dgamma)) + -0.688285))) / v_surge)) * (dtheta - sin(dtheta))) * theta)"
21,0.2015686,"((square(tanh(tanh(0.07158448 * square(square(tanh(tanh(dgamma)) + -0.688285))) / v_surge)) * (dtheta - sin(dtheta))) * theta)"
22,0.201029,"((square(tanh(square((abs(-0.06348632) * square(square(tanh(tanh(dgamma)) + -0.688285))) / v_surge))) * (dtheta - sin(dtheta))) * theta)"
23,0.19962817,"((abs(tanh(square((abs(-0.06348632) * square(square(tanh(sin(tanh(dgamma))) + -0.688285))) / v_surge))) * (dtheta - sin(dtheta))) * theta)"
24,0.19962808,"((abs(tanh(square((sin(abs(-0.06348632)) * square(square(tanh(sin(tanh(dgamma))) + -0.688285))) / v_surge))) * (dtheta - sin(dtheta))) * theta)"
