complexity,loss,score,equation,sympy_format,lambda_format
1,0.33123028,0.0,1.4868091e-7,1.48680910000000e-7,PySRFunction(X=>1.48680910000000E-7)
3,0.3006316,0.048464124285933656,(-0.17492494 * a_y),-0.17492494*a_y,PySRFunction(X=>-0.17492494*a_y)
6,0.2974472,0.0035496215460535346,(-0.18438293 * (a_y - sin(a_y))),-0.18438293*a_y + 0.18438293*sin(a_y),PySRFunction(X=>-0.18438293*a_y + 0.18438293*sin(a_y))
7,0.2972209,0.0007610968569662261,(-0.18438293 * (a_y - tanh(sin(a_y)))),-0.18438293*a_y + 0.18438293*tanh(sin(a_y)),PySRFunction(X=>-0.18438293*a_y + 0.18438293*tanh(sin(a_y)))
8,0.28226745,0.05162060764359296,((dtheta * -0.17218125) * (tanh(theta) * dgamma)),-0.17218125*dgamma*dtheta*tanh(theta),PySRFunction(X=>-0.17218125*dgamma*dtheta*tanh(theta))
9,0.27687502,0.019288812708108147,((dtheta * -0.17218125) * (tanh(tanh(theta)) * dgamma)),-0.17218125*dgamma*dtheta*tanh(tanh(theta)),PySRFunction(X=>-0.17218125*dgamma*dtheta*tanh(tanh(theta)))
10,0.26939204,0.02739849663621892,((dtheta * -0.17218125) * (tanh(theta) * (dgamma - 1.4343041))),-0.17218125*dtheta*(dgamma - 1.4343041)*tanh(theta),PySRFunction(X=>-0.17218125*dtheta*(dgamma - 1.4343041)*tanh(theta))
11,0.26464435,0.017780867273282538,((dtheta * -0.17218125) * (tanh(tanh(theta)) * (dgamma - 1.4343041))),-0.17218125*dtheta*(dgamma - 1.4343041)*tanh(tanh(theta)),PySRFunction(X=>-0.17218125*dtheta*(dgamma - 1.4343041)*tanh(tanh(theta)))
12,0.23879418,0.10278483976250716,((square(tanh(tanh(dgamma) + tanh(V_y))) * dtheta) * sin(theta)),dtheta*sin(theta)*tanh(tanh(V_y) + tanh(dgamma))**2,PySRFunction(X=>dtheta*sin(theta)*tanh(tanh(V_y) + tanh(dgamma))**2)
13,0.23874655,0.00019948036749848488,((square(tanh(tanh(dgamma) + tanh(tanh(V_y)))) * dtheta) * sin(theta)),dtheta*sin(theta)*tanh(tanh(dgamma) + tanh(tanh(V_y)))**2,PySRFunction(X=>dtheta*sin(theta)*tanh(tanh(dgamma) + tanh(tanh(V_y)))**2)
14,0.2331743,0.023616286423329063,(((tanh(square(tanh(dgamma) + sin(V_y))) + -0.22219191) * dtheta) * sin(theta)),dtheta*(tanh((sin(V_y) + tanh(dgamma))**2) - 0.22219191)*sin(theta),PySRFunction(X=>dtheta*(tanh((sin(V_y) + tanh(dgamma))**2) - 0.22219191)*sin(theta))
15,0.22293931,0.04488666061777644,((sin(abs((-0.06348632 * square(tanh(dgamma) + -0.688285)) / v_surge)) * dtheta) * theta),dtheta*theta*sin(0.06348632*Abs((tanh(dgamma) - 0.688285)**2/v_surge)),PySRFunction(X=>dtheta*theta*sin(0.06348632*Abs((tanh(dgamma) - 0.688285)**2/v_surge)))
