Complexity,Loss,Equation
1,4.664711,"3.2888223e-5"
3,4.6064205,"(0.24135315 * a_z)"
4,3.8327665,"(sin(theta) * dtheta)"
6,3.641585,"(sin(theta * 1.517172) * dtheta)"
7,3.2499938,"(sin(theta) * (dtheta - abs(dtheta)))"
8,2.966576,"(theta * (abs(dtheta) * (-2.5649636 - gama)))"
9,2.594545,"(sin(theta) * (abs(dtheta) * (-2.4250917 - gama)))"
10,2.5837936,"(theta * (0.4944299 - abs(dtheta * (-2.4367375 - gama))))"
11,2.5241995,"(sin(theta) * (0.4684849 - abs(dtheta * (-2.6219456 - gama))))"
12,2.417098,"(sin(theta) * (abs(dtheta) * ((-2.4250917 - sin(dtheta)) - gama)))"
13,2.4103549,"(sin(theta) * (abs(dtheta) * ((-2.4250917 - sin(sin(dtheta))) - gama)))"
14,2.3467114,"(sin(theta) * (abs(dtheta) * ((-2.4327295 - sin(dtheta * -0.27092412)) - gama)))"
15,2.3439932,"(sin(theta) * ((abs(dtheta) * ((-2.4327295 - sin(sin(dtheta))) - gama)) + 0.4133761))"
16,2.2561896,"(sin(theta) * (0.5036999 - abs(dtheta * ((-2.6266313 - sin(dtheta * -0.29051337)) - gama))))"
17,2.2280047,"(sin(theta + square(v_surge)) * (0.5036999 - abs(dtheta * ((-2.6266313 - sin(dtheta)) - gama))))"
18,2.2181294,"(sin(theta + square(v_surge)) * (0.5036999 - abs(dtheta * ((-2.6266313 - tanh(sin(dtheta))) - gama))))"
19,2.04342,"(sin(theta + square(v_surge)) * (0.5036999 - abs(dtheta * ((-2.6266313 - sin(dtheta * -0.29051337)) - gama))))"
20,2.0433702,"(sin(theta + square(v_surge)) * (tanh(0.5036999) - abs(dtheta * ((-2.6266313 - sin(dtheta * -0.29051337)) - gama))))"
21,1.9991156,"((sin(theta + square(v_surge)) * (0.5036999 - abs(dtheta * ((-2.6266313 - sin(dtheta * -0.3212551)) - gama)))) / 0.85997164)"
22,1.988886,"((sin(theta + tanh(square(v_surge))) * (0.5036999 - abs(dtheta * ((-2.6266313 - sin(dtheta * -0.3212551)) - gama)))) / 0.85997164)"
24,1.8087468,"(((theta + square(sin(v_surge))) * (0.48137122 - abs(dtheta * ((-2.5012727 - sin(dtheta * -0.3652972)) - gama)))) * (1.1567783 + tanh(V_z)))"
25,1.7562706,"((sin(theta + square(v_surge)) * (abs(-0.3652972) - abs(dtheta * (-2.5012727 - sin(dtheta * -0.3652972))))) * (1.1567783 + tanh(V_z + gama)))"
26,1.7397583,"((sin(theta + square(v_surge)) * (abs(tanh(v_surge)) - abs(dtheta * (-2.5012727 - sin(dtheta * -0.3652972))))) * (1.1567783 + tanh(V_z + gama)))"
28,1.6804878,"(((theta + tanh(square(v_surge))) * (0.3920603 - abs(dtheta * ((-2.6266313 - sin(dtheta * -0.33775744)) - gama)))) * (sin(sin(1.2191403) + tanh(V_z)) / 0.6941322))"
30,1.6636717,"(((theta + tanh(square(v_surge))) * (0.25069475 - abs(dtheta * (((-2.6266313 - sin(dtheta * -0.3652972)) - gama) + 0.18300147)))) * (sin(sin(1.2191403) + tanh(V_z)) / 0.6941322))"
