complexity,loss,score,equation,sympy_format,lambda_format
1,4.664711,0.0,3.2888223e-5,3.28882230000000e-5,PySRFunction(X=>0.0000328882230000000)
3,4.6064205,0.006287395243879363,(0.24135315 * a_z),0.24135315*a_z,PySRFunction(X=>0.24135315*a_z)
4,3.8327665,0.183864224993752,(sin(theta) * dtheta),dtheta*sin(theta),PySRFunction(X=>dtheta*sin(theta))
6,3.641585,0.025583919884649947,(sin(theta * 1.517172) * dtheta),dtheta*sin(1.517172*theta),PySRFunction(X=>dtheta*sin(1.517172*theta))
7,3.2499938,0.1137659377852766,(sin(theta) * (dtheta - abs(dtheta))),(dtheta - Abs(dtheta))*sin(theta),PySRFunction(X=>(dtheta - Abs(dtheta))*sin(theta))
8,2.966576,0.09124466284230835,(theta * (abs(dtheta) * (-2.5649636 - gama))),theta*(-gama - 2.5649636)*Abs(dtheta),PySRFunction(X=>theta*(-gama - 2.5649636)*Abs(dtheta))
9,2.594545,0.13399726174761786,(sin(theta) * (abs(dtheta) * (-2.4250917 - gama))),(-gama - 2.4250917)*sin(theta)*Abs(dtheta),PySRFunction(X=>(-gama - 2.4250917)*sin(theta)*Abs(dtheta))
10,2.5837936,0.004152457488498317,(theta * (0.4944299 - abs(dtheta * (-2.4367375 - gama)))),theta*(0.4944299 - Abs(dtheta*(gama + 2.4367375))),PySRFunction(X=>theta*(0.4944299 - Abs(dtheta*(gama + 2.4367375))))
11,2.5241995,0.023334723809281536,(sin(theta) * (0.4684849 - abs(dtheta * (-2.6219456 - gama)))),(0.4684849 - Abs(dtheta*(gama + 2.6219456)))*sin(theta),PySRFunction(X=>(0.4684849 - Abs(dtheta*(gama + 2.6219456)))*sin(theta))
12,2.417098,0.04335633572887075,(sin(theta) * (abs(dtheta) * ((-2.4250917 - sin(dtheta)) - gama))),(-gama - sin(dtheta) - 2.4250917)*sin(theta)*Abs(dtheta),PySRFunction(X=>(-gama - sin(dtheta) - 2.4250917)*sin(theta)*Abs(dtheta))
13,2.4103549,0.0027936489594870334,(sin(theta) * (abs(dtheta) * ((-2.4250917 - sin(sin(dtheta))) - gama))),(-gama - sin(sin(dtheta)) - 2.4250917)*sin(theta)*Abs(dtheta),PySRFunction(X=>(-gama - sin(sin(dtheta)) - 2.4250917)*sin(theta)*Abs(dtheta))
14,2.3467114,0.02675905425130079,(sin(theta) * (abs(dtheta) * ((-2.4327295 - sin(dtheta * -0.27092412)) - gama))),(-gama + sin(0.27092412*dtheta) - 2.4327295)*sin(theta)*Abs(dtheta),PySRFunction(X=>(-gama + sin(0.27092412*dtheta) - 2.4327295)*sin(theta)*Abs(dtheta))
15,2.3439932,0.0011589731334867817,(sin(theta) * ((abs(dtheta) * ((-2.4327295 - sin(sin(dtheta))) - gama)) + 0.4133761)),((-gama - sin(sin(dtheta)) - 2.4327295)*Abs(dtheta) + 0.4133761)*sin(theta),PySRFunction(X=>((-gama - sin(sin(dtheta)) - 2.4327295)*Abs(dtheta) + 0.4133761)*sin(theta))
