complexity, loss         , score                 , equation                                                                                                                      , sympy_format                                                                                                                 , lambda_format
         1, 0.0047214194 , 0.0                   , -4.379693e-9                                                                                                                  , -4.37969300000000e-9                                                                                                         , PySRFunction(X=>-4.37969300000000E-9)
         3, 0.003601226  , 0.13541756584370496   , (x15 - x17)                                                                                                                   , x15 - x17                                                                                                                    , PySRFunction(X=>x15 - x17)
         5, 0.0012955258 , 0.5111788535646578    , ((x15 - x17) * 5.5673327)                                                                                                     , 5.5673327*x15 - 5.5673327*x17                                                                                                , PySRFunction(X=>5.5673327*x15 - 5.5673327*x17)
         7, 0.0009553617 , 0.15229095133176535   , sin((x15 - x17) * 6.57797)                                                                                                    , sin(6.57797*x15 - 6.57797*x17)                                                                                               , PySRFunction(X=>sin(6.57797*x15 - 6.57797*x17))
         8, 0.0009243653 , 0.03298267239776445   , tanh((x15 - x17) * 6.5029078)                                                                                                 , tanh(6.5029078*x15 - 6.5029078*x17)                                                                                          , PySRFunction(X=>tanh(6.5029078*x15 - 6.5029078*x17))
         9, 0.00063887524, 0.36939814708455165   , (sin((x15 - x17) * -21.81838) * -0.319919)                                                                                    , 0.319919*sin(21.81838*x15 - 21.81838*x17)                                                                                    , PySRFunction(X=>0.319919*sin(21.81838*x15 - 21.81838*x17))
        11, 0.00063571153, 0.002482150742298495  , (sin((x15 - x17) * (22.74197 - x5)) * 0.2982853)                                                                              , 0.2982853*sin((22.74197 - x5)*(x15 - x17))                                                                                   , PySRFunction(X=>0.2982853*sin((22.74197 - x5)*(x15 - x17)))
        12, 0.0006159242 , 0.03162098725016082   , (sin((x15 - x17) * (21.115658 + abs(x15))) * 0.30814824)                                                                      , 0.30814824*sin((x15 - x17)*(Abs(x15) + 21.115658))                                                                           , PySRFunction(X=>0.30814824*sin((x15 - x17)*(Abs(x15) + 21.115658)))
        14, 0.00060968334, 0.005092098193704808  , (sin((x15 - x17) * (21.115482 + abs(x15 + x15))) * 0.2899679)                                                                 , 0.2899679*sin((x15 - x17)*(2*Abs(x15) + 21.115482))                                                                          , PySRFunction(X=>0.2899679*sin((x15 - x17)*(2*Abs(x15) + 21.115482)))
        16, 0.0005969203 , 0.01057805199174745   , (sin((x15 - x17) * (21.115019 + abs((x17 + x4) * 2.2132347))) * 0.29250392)                                                   , 0.29250392*sin((x15 - x17)*(Abs(2.2132347*x17 + 2.2132347*x4) + 21.115019))                                                  , PySRFunction(X=>0.29250392*sin((x15 - x17)*(Abs(2.2132347*x17 + 2.2132347*x4) + 21.115019)))
        18, 0.0005950838 , 0.0015406838391779692 , (sin((x15 - x17) * (21.115482 + abs(((x15 + x4) * 2.059638) + 0.5250032))) * 0.2899679)                                       , 0.2899679*sin((x15 - x17)*(Abs(2.059638*x15 + 2.059638*x4 + 0.5250032) + 21.115482))                                         , PySRFunction(X=>0.2899679*sin((x15 - x17)*(Abs(2.059638*x15 + 2.059638*x4 + 0.5250032) + 21.115482)))
        20, 0.00059358234, 0.001263147613969516  , (sin((x15 - x17) * ((21.262453 - cos(x15)) + abs((x15 + x4) * 2.0372353))) * 0.29250392)                                      , 0.29250392*sin((x15 - x17)*(-cos(x15) + Abs(2.0372353*x15 + 2.0372353*x4) + 21.262453))                                      , PySRFunction(X=>0.29250392*sin((x15 - x17)*(-cos(x15) + Abs(2.0372353*x15 + 2.0372353*x4) + 21.262453)))
        22, 0.0005916173 , 0.0016579837980481708 , (sin((x15 - x17) * ((21.115482 - cos(x15 - x7)) + abs((x15 + x4) * 2.0372353))) * 0.29250392)                                 , 0.29250392*sin((x15 - x17)*(-cos(x15 - x7) + Abs(2.0372353*x15 + 2.0372353*x4) + 21.115482))                                 , PySRFunction(X=>0.29250392*sin((x15 - x17)*(-cos(x15 - x7) + Abs(2.0372353*x15 + 2.0372353*x4) + 21.115482)))
        23, 0.0005914343 , 0.00030936943318368536, (sin((x15 - x17) * ((21.115482 - cos(x15 - abs(x7))) + abs((x15 + x4) * 2.0372353))) * 0.29250392)                            , 0.29250392*sin((x15 - x17)*(-cos(x15 - Abs(x7)) + Abs(2.0372353*x15 + 2.0372353*x4) + 21.115482))                            , PySRFunction(X=>0.29250392*sin((x15 - x17)*(-cos(x15 - Abs(x7)) + Abs(2.0372353*x15 + 2.0372353*x4) + 21.115482)))
        24, 0.0005908421 , 0.001001796279664393  , (sin((x15 - x17) * ((21.115482 - cos(x15 - x7)) + abs((x15 + (x4 + 0.14573614)) * 2.0372353))) * 0.29250392)                  , 0.29250392*sin((x15 - x17)*(-cos(x15 - x7) + Abs(2.0372353*x15 + 2.0372353*x4 + 0.296898808893742) + 21.115482))             , PySRFunction(X=>0.29250392*sin((x15 - x17)*(-cos(x15 - x7) + Abs(2.0372353*x15 + 2.0372353*x4 + 0.296898808893742) + 21.115482)))
        25, 0.0005904448 , 0.0006726562615405064 , (sin((x15 - x17) * ((21.115482 - cos(x15 - abs(x7))) + abs(((x15 + x4) * 2.0372353) - -0.35934794))) * 0.29250392)            , 0.29250392*sin((x15 - x17)*(-cos(x15 - Abs(x7)) + Abs(2.0372353*x15 + 2.0372353*x4 + 0.35934794) + 21.115482))               , PySRFunction(X=>0.29250392*sin((x15 - x17)*(-cos(x15 - Abs(x7)) + Abs(2.0372353*x15 + 2.0372353*x4 + 0.35934794) + 21.115482)))
        26, 0.00058983563, 0.0010322463011454156 , (sin((x15 - x17) * ((21.115482 - cos((x17 - x8) - x7)) + abs((0.2140305 + (x4 + x15)) * 2.0372353))) * 0.29250392)            , 0.29250392*sin((x15 - x17)*(-cos(-x17 + x7 + x8) + Abs(2.0372353*x15 + 2.0372353*x4 + 0.43603048987665) + 21.115482))        , PySRFunction(X=>0.29250392*sin((x15 - x17)*(-cos(-x17 + x7 + x8) + Abs(2.0372353*x15 + 2.0372353*x4 + 0.43603048987665) + 21.115482)))
        27, 0.00058970717, 0.00021781320780871473, (sin((x15 - x17) * ((21.26276 - cos(x15 - abs(x7))) + abs(((x15 + x4) * 2.1563096) + 0.3768717))) * sin(0.29250392))          , 0.288350692197662*sin((x15 - x17)*(-cos(x15 - Abs(x7)) + Abs(2.1563096*x15 + 2.1563096*x4 + 0.3768717) + 21.26276))          , PySRFunction(X=>0.288350692197662*sin((x15 - x17)*(-cos(x15 - Abs(x7)) + Abs(2.1563096*x15 + 2.1563096*x4 + 0.3768717) + 21.26276)))
        28, 0.0005891131 , 0.0010079060657682674 , (sin((x15 - x17) * ((21.26276 - cos(x17 - (x7 + x8))) + abs(((x15 + x4) * 2.1563096) + 0.3768717))) * sin(0.29250392))        , 0.288350692197662*sin((x15 - x17)*(-cos(-x17 + x7 + x8) + Abs(2.1563096*x15 + 2.1563096*x4 + 0.3768717) + 21.26276))         , PySRFunction(X=>0.288350692197662*sin((x15 - x17)*(-cos(-x17 + x7 + x8) + Abs(2.1563096*x15 + 2.1563096*x4 + 0.3768717) + 21.26276)))
        29, 0.0005888027 , 0.0005270325895700383 , (sin((x15 - x17) * ((21.26276 - cos(x15 - abs(x7 + x5))) + abs(((x15 + x4) * 2.1563096) + 0.3768717))) * sin(0.29250392))     , 0.288350692197662*sin((x15 - x17)*(-cos(x15 - Abs(x5 + x7)) + Abs(2.1563096*x15 + 2.1563096*x4 + 0.3768717) + 21.26276))     , PySRFunction(X=>0.288350692197662*sin((x15 - x17)*(-cos(x15 - Abs(x5 + x7)) + Abs(2.1563096*x15 + 2.1563096*x4 + 0.3768717) + 21.26276)))
        30, 0.0005884476 , 0.000603270197968205  , (sin((x15 - x17) * ((21.26276 - cos(x15 - abs(abs(x7) - x5))) + abs(((x15 + x4) * 2.1563096) + 0.3768717))) * sin(0.29250392)), 0.288350692197662*sin((x15 - x17)*(-cos(x15 - Abs(x5 - Abs(x7))) + Abs(2.1563096*x15 + 2.1563096*x4 + 0.3768717) + 21.26276)), PySRFunction(X=>0.288350692197662*sin((x15 - x17)*(-cos(x15 - Abs(x5 - Abs(x7))) + Abs(2.1563096*x15 + 2.1563096*x4 + 0.3768717) + 21.26276)))
