complexity, loss         , score             , equation                                                                                                                      , sympy_format                                                                                                                 , lambda_format                                                                                                                                 , latex_equation
         1, 0.0047214194 , 0.0               , -4.379693e-9                                                                                                                  , -4.37969300000000e-9                                                                                                         , PySRFunction(X=>-4.37969300000000E-9)                                                                                                         , $ -4.379693e-9                                                                                                                  $
         3, 0.003601226  , 0.1354175658437049, (x15 - x17)                                                                                                                   , x15 - x17                                                                                                                    , PySRFunction(X=>x15 - x17)                                                                                                                    , $ ({\gamma} - {\gamma_{t-1}})                                                                                                                   $
         5, 0.0012955258 , 0.5111788535646578, ((x15 - x17) * 5.5673327)                                                                                                     , 5.5673327*x15 - 5.5673327*x17                                                                                                , PySRFunction(X=>5.5673327*x15 - 5.5673327*x17)                                                                                                , $ (({\gamma} - {\gamma_{t-1}}) * 5.5673327)                                                                                                     $
         7, 0.0009553617 , 0.1522909513317653, sin((x15 - x17) * 6.57797)                                                                                                    , sin(6.57797*x15 - 6.57797*x17)                                                                                               , PySRFunction(X=>sin(6.57797*x15 - 6.57797*x17))                                                                                               , $ sin(({\gamma} - {\gamma_{t-1}}) * 6.57797)                                                                                                    $
         8, 0.0009243653 , 0.0329826723977644, tanh((x15 - x17) * 6.5029078)                                                                                                 , tanh(6.5029078*x15 - 6.5029078*x17)                                                                                          , PySRFunction(X=>tanh(6.5029078*x15 - 6.5029078*x17))                                                                                          , $ tanh(({\gamma} - {\gamma_{t-1}}) * 6.5029078)                                                                                                 $
         9, 0.00063887524, 0.3693981470845516, (sin((x15 - x17) * -21.81838) * -0.319919)                                                                                    , 0.319919*sin(21.81838*x15 - 21.81838*x17)                                                                                    , PySRFunction(X=>0.319919*sin(21.81838*x15 - 21.81838*x17))                                                                                    , $ (sin(({\gamma} - {\gamma_{t-1}}) * -21.81838) * -0.319919)                                                                                    $
        11, 0.00063571153, 0.0024821507422984, (sin((x15 - x17) * (22.74197 - x5)) * 0.2982853)                                                                              , 0.2982853*sin((22.74197 - x5)*(x15 - x17))                                                                                   , PySRFunction(X=>0.2982853*sin((22.74197 - x5)*(x15 - x17)))                                                                                   , $ (sin(({\gamma} - {\gamma_{t-1}}) * (22.74197 - {V_{1z}})) * 0.2982853)                                                                              $
        12, 0.0006159242 , 0.0316209872501608, (sin((x15 - x17) * (21.115658 + abs(x15))) * 0.30814824)                                                                      , 0.30814824*sin((x15 - x17)*(Abs(x15) + 21.115658))                                                                           , PySRFunction(X=>0.30814824*sin((x15 - x17)*(Abs(x15) + 21.115658)))                                                                           , $ (sin(({\gamma} - {\gamma_{t-1}}) * (21.115658 + abs({\gamma}))) * 0.30814824)                                                                      $
        14, 0.00060968334, 0.0050920981937048, (sin((x15 - x17) * (21.115482 + abs(x15 + x15))) * 0.2899679)                                                                 , 0.2899679*sin((x15 - x17)*(2*Abs(x15) + 21.115482))                                                                          , PySRFunction(X=>0.2899679*sin((x15 - x17)*(2*Abs(x15) + 21.115482)))                                                                          , $ (sin(({\gamma} - {\gamma_{t-1}}) * (21.115482 + abs({\gamma} + {\gamma}))) * 0.2899679)                                                                 $
        16, 0.0005969203 , 0.0105780519917474, (sin((x15 - x17) * (21.115019 + abs((x17 + x4) * 2.2132347))) * 0.29250392)                                                   , 0.29250392*sin((x15 - x17)*(Abs(2.2132347*x17 + 2.2132347*x4) + 21.115019))                                                  , PySRFunction(X=>0.29250392*sin((x15 - x17)*(Abs(2.2132347*x17 + 2.2132347*x4) + 21.115019)))                                                  , $ (sin(({\gamma} - {\gamma_{t-1}}) * (21.115019 + abs(({\gamma_{t-1}} + {V_{1y}}) * 2.2132347))) * 0.29250392)                                                   $
