Complexity,Loss,Equation
1,0.0045935954,"-8.107154e-9"
3,0.0008707351,"(x15 - x17)"
5,0.00063709856,"((x17 - x15) * -1.3210142)"
7,0.00063336163,"((x17 - (x15 * 0.99855494)) * -1.3219833)"
8,0.00063055893,"tanh((x17 - x15) * -1.3369765)"
9,0.00060418993,"(((x17 - x15) - 1.299712) * (x17 - x15))"
11,0.0005574076,"((x17 - x15) * (-0.39032602 - cos(x14 - x16)))"
13,0.00048601587,"((x17 - x15) * (-0.39032602 - cos((x14 - x16) * 1.9105533)))"
14,0.0004857841,"((x17 - x15) * (-0.39032602 - cos(abs((x14 - x16) * -1.9541931))))"
18,0.00047116296,"((x17 - x15) * (-0.39032602 - tanh((abs(x15) + cos(x8)) + abs(x4))))"
19,0.00046852027,"((x17 - x15) * (-0.39032602 - tanh((abs(x17) + cos(x8)) + square(x4))))"
20,0.00046448543,"((x17 - x15) * (-0.39032602 - tanh((abs(x15) + cos(x8 - -0.5070962)) + abs(x4))))"
21,0.00046255236,"((x17 - x15) * (-0.39032602 - tanh((abs(x17) + cos(x8 + 0.4353917)) + square(x4))))"
22,0.00045936205,"((x17 - x15) * (-0.39032602 - tanh((abs(x15) + cos(x8 - -0.5070962)) + abs(x4 + x5))))"
23,0.00045653596,"((x17 - x15) * (-0.39032602 - tanh((0.20271301 + cos(x8 - -0.5070962)) + abs((x4 + x5) + x17))))"
24,0.00045579876,"((x17 - x15) * (-0.39032602 - tanh((abs(x17) + cos(x8 - -0.5070962)) + abs((x4 + x5) + x17))))"
26,0.00045370896,"((x17 - x15) * (-0.39032602 - tanh((sin(abs(x17)) + cos(x8 - -0.5070962)) + abs((x4 + x5) + x17))))"
28,0.00045148193,"((x17 - x15) * (-0.39032602 - tanh((sin(abs(x17)) + cos(x8 - -0.5070962)) + abs(((x4 + x5) + x17) * 1.1764034))))"
30,0.0004513928,"((x17 - x15) * (-0.39032602 - tanh((sin(abs(x17)) + cos(x8 - -0.5070962)) + abs((((x4 + x5) + x17) * 1.1764034) * 1.1764034))))"
