complexity,loss,score,equation,sympy_format,lambda_format
1,0.0045935954,0.0,-8.107154e-9,-8.10715400000000e-9,PySRFunction(X=>-8.10715400000000E-9)
3,0.0008707351,0.8315402552793401,(x15 - x17),x15 - x17,PySRFunction(X=>x15 - x17)
5,0.00063709856,0.1562067142681037,((x17 - x15) * -1.3210142),1.3210142*x15 - 1.3210142*x17,PySRFunction(X=>1.3210142*x15 - 1.3210142*x17)
7,0.00063336163,0.002941407221225872,((x17 - (x15 * 0.99855494)) * -1.3219833),1.3200729548125*x15 - 1.3219833*x17,PySRFunction(X=>1.3200729548125*x15 - 1.3219833*x17)
8,0.00063055893,0.0044349378948013145,tanh((x17 - x15) * -1.3369765),tanh(1.3369765*x15 - 1.3369765*x17),PySRFunction(X=>tanh(1.3369765*x15 - 1.3369765*x17))
9,0.00060418993,0.04271801439390036,(((x17 - x15) - 1.299712) * (x17 - x15)),(-x15 + x17)*(-x15 + x17 - 1.299712),PySRFunction(X=>(-x15 + x17)*(-x15 + x17 - 1.299712))
11,0.0005574076,0.04029592622971562,((x17 - x15) * (-0.39032602 - cos(x14 - x16))),(-x15 + x17)*(-cos(x14 - x16) - 0.39032602),PySRFunction(X=>(-x15 + x17)*(-cos(x14 - x16) - 0.39032602))
13,0.00048601587,0.06852773599962121,((x17 - x15) * (-0.39032602 - cos((x14 - x16) * 1.9105533))),(-x15 + x17)*(-cos(1.9105533*x14 - 1.9105533*x16) - 0.39032602),PySRFunction(X=>(-x15 + x17)*(-cos(1.9105533*x14 - 1.9105533*x16) - 0.39032602))
14,0.0004857841,0.0004769911742112713,((x17 - x15) * (-0.39032602 - cos(abs((x14 - x16) * -1.9541931)))),(-x15 + x17)*(-cos(Abs(1.9541931*x14 - 1.9541931*x16)) - 0.39032602),PySRFunction(X=>(-x15 + x17)*(-cos(Abs(1.9541931*x14 - 1.9541931*x16)) - 0.39032602))
18,0.00047116296,0.007640066269088867,((x17 - x15) * (-0.39032602 - tanh((abs(x15) + cos(x8)) + abs(x4)))),(-x15 + x17)*(-tanh(cos(x8) + Abs(x15) + Abs(x4)) - 0.39032602),PySRFunction(X=>(-x15 + x17)*(-tanh(cos(x8) + Abs(x15) + Abs(x4)) - 0.39032602))
19,0.00046852027,0.005624654953503388,((x17 - x15) * (-0.39032602 - tanh((abs(x17) + cos(x8)) + square(x4)))),(-x15 + x17)*(-tanh(x4**2 + cos(x8) + Abs(x17)) - 0.39032602),PySRFunction(X=>(-x15 + x17)*(-tanh(x4**2 + cos(x8) + Abs(x17)) - 0.39032602))
20,0.00046448543,0.008649175783690231,((x17 - x15) * (-0.39032602 - tanh((abs(x15) + cos(x8 - -0.5070962)) + abs(x4)))),(-x15 + x17)*(-tanh(cos(x8 + 0.5070962) + Abs(x15) + Abs(x4)) - 0.39032602),PySRFunction(X=>(-x15 + x17)*(-tanh(cos(x8 + 0.5070962) + Abs(x15) + Abs(x4)) - 0.39032602))
