Complexity,Loss,Equation
1,0.0025356957,"4.676261e-9"
3,0.002222898,"(0.01768609 * x13)"
5,0.0014810654,"((x14 - x16) * 0.47001556)"
6,0.001395087,"((x14 - x16) * abs(x10))"
7,0.0013331244,"(sin(x14 - x16) * 0.53846604)"
8,0.0008242414,"((x14 - x16) * abs(sin(x14)))"
9,0.0006519907,"((x14 - x16) * abs(tanh(x14)))"
10,0.00048258982,"((x14 - x16) * abs(sin(0.77161187 - x13)))"
12,0.00045895812,"((x14 - x16) * (abs(sin(0.7723409 - x13)) - -0.072933435))"
13,0.0003448232,"((x14 - x16) * tanh(abs((0.7785004 - x13) * -4.356415)))"
14,0.00033856087,"((x14 - x16) * tanh(abs(0.7726208 - x13) + abs(x15)))"
15,0.00031235148,"((x14 - x16) * tanh(abs(0.7726208 - x13) + square(x15)))"
16,0.0003107705,"((x14 - x16) * tanh(square(abs(0.7726208 - x13) + abs(x15))))"
17,0.00030748476,"((x14 - x16) * tanh((abs(0.7726208 - x13) + square(x15)) * 1.5035486))"
19,0.00030527718,"((x14 - x16) * tanh((abs(0.7726208 - x13) + square(x15 + -0.14562291)) * 1.3507086))"
21,0.00030503375,"((x14 - x16) * tanh(abs(0.7595769 - x13) + (square((x15 - 0.0908311) + x15) - 0.030639302)))"
22,0.0003040932,"((x14 - x16) * tanh(abs(0.7595769 - x13) + (square(x15 + (abs(x4) * x3)) - 0.030639302)))"
23,0.0003038165,"((x14 - x16) * tanh(abs(abs(0.7595769 - x13) + (square(x15 + (abs(x4) * x3)) - 0.030639302))))"
24,0.00030274127,"((x14 - x16) * tanh(abs(0.7595769 - x13) + (square((x15 + (abs(x9) * x3)) + x15) - 0.030639302)))"
25,0.00030251447,"((x14 - x16) * abs(tanh(abs(0.7595769 - x13) + (square((x15 + (abs(x9) * x3)) + x15) - 0.030639302))))"
26,0.00030216968,"((x14 - x16) * tanh(abs(0.7595769 - x13) + (square((x15 + sin(abs(x9) * x3)) + x15) - 0.030639302)))"
27,0.00030196452,"((x14 - x16) * abs(tanh(abs(0.7595769 - x13) + (square((x15 + sin(abs(x9) * x3)) + x15) - 0.030639302))))"
28,0.00030188658,"((x14 - x16) * tanh(abs(abs(0.7595769 - x13) + (square(sin(x15 + (abs(x9) * x3)) + x15) - abs(0.030639302)))))"
