complexity,loss,score,equation,sympy_format,lambda_format
1,0.0025356957,0.0,4.676261e-9,4.67626100000000e-9,PySRFunction(X=>4.67626100000000E-9)
3,0.002222898,0.0658281436365233,(0.01768609 * x13),0.01768609*x13,PySRFunction(X=>0.01768609*x13)
5,0.0014810654,0.2030250281631415,((x14 - x16) * 0.47001556),0.47001556*x14 - 0.47001556*x16,PySRFunction(X=>0.47001556*x14 - 0.47001556*x16)
6,0.001395087,0.05980491474238158,((x14 - x16) * abs(x10)),(x14 - x16)*Abs(x10),PySRFunction(X=>(x14 - x16)*Abs(x10))
7,0.0013331244,0.04543141874702103,(sin(x14 - x16) * 0.53846604),0.53846604*sin(x14 - x16),PySRFunction(X=>0.53846604*sin(x14 - x16))
8,0.0008242414,0.4808171909854126,((x14 - x16) * abs(sin(x14))),(x14 - x16)*Abs(sin(x14)),PySRFunction(X=>(x14 - x16)*Abs(sin(x14)))
9,0.0006519907,0.23443315014853455,((x14 - x16) * abs(tanh(x14))),(x14 - x16)*Abs(tanh(x14)),PySRFunction(X=>(x14 - x16)*Abs(tanh(x14)))
10,0.00048258982,0.30086323912656177,((x14 - x16) * abs(sin(0.77161187 - x13))),(x14 - x16)*Abs(sin(x13 - 0.77161187)),PySRFunction(X=>(x14 - x16)*Abs(sin(x13 - 0.77161187)))
12,0.00045895812,0.025104047413495204,((x14 - x16) * (abs(sin(0.7723409 - x13)) - -0.072933435)),(x14 - x16)*(Abs(sin(x13 - 0.7723409)) + 0.072933435),PySRFunction(X=>(x14 - x16)*(Abs(sin(x13 - 0.7723409)) + 0.072933435))
13,0.0003448232,0.28592714215888204,((x14 - x16) * tanh(abs((0.7785004 - x13) * -4.356415))),(x14 - x16)*tanh(Abs(4.356415*x13 - 3.391470820066)),PySRFunction(X=>(x14 - x16)*tanh(Abs(4.356415*x13 - 3.391470820066)))
14,0.00033856087,0.018327922975236187,((x14 - x16) * tanh(abs(0.7726208 - x13) + abs(x15))),(x14 - x16)*tanh(Abs(x15) + Abs(x13 - 0.7726208)),PySRFunction(X=>(x14 - x16)*tanh(Abs(x15) + Abs(x13 - 0.7726208)))
15,0.00031235148,0.08057480673084735,((x14 - x16) * tanh(abs(0.7726208 - x13) + square(x15))),(x14 - x16)*tanh(x15**2 + Abs(x13 - 0.7726208)),PySRFunction(X=>(x14 - x16)*tanh(x15**2 + Abs(x13 - 0.7726208)))
