Complexity,Loss,Equation
1,0.0047214194,"-2.1717241e-9"
3,0.0038123918,"(x7 * -0.030150082)"
5,0.003147704,"(-0.026039595 * (x8 + x7))"
7,0.002379043,"(-0.031660654 * ((x7 - x13) + x8))"
9,0.0023074362,"(-0.03259744 * (((x6 - 0.66435266) * x13) + x7))"
10,0.0022609122,"(-0.031430624 * ((x7 - x13) + (x8 * abs(x13))))"
11,0.0022533534,"(-0.03188826 * ((x7 - x13) + (x8 * square(x4))))"
12,0.00214056,"(-0.036633197 * ((x7 - x13) + (x8 * abs(x13 + 0.3784261))))"
13,0.0021315126,"(-0.038676925 * ((x7 - x13) + (x8 * square(x13 + 0.43236205))))"
14,0.001973752,"(-0.036634963 * (((x6 - abs(sin(x7) * -1.8078666)) * x13) + x7))"
15,0.0018606966,"((-0.049254548 * (((x6 - 1.373764) * x13) + x7)) * abs(tanh(x7)))"
16,0.0017446871,"(-0.038676925 * (((x6 - abs(sin(x7 + 0.19285297) * -2.4636583)) * x13) + x7))"
18,0.0017164189,"(-0.036634963 * ((((x6 + 0.29893318) - abs(sin(-0.19480728 - x7) * -3.1132658)) * x13) + x7))"
20,0.0016418857,"(-0.036633197 * (((x6 - abs(sin(0.19014199 + x7) * (-2.4636583 + square(x5)))) * x13) + x7))"
21,0.0016300203,"(-0.043805253 * ((x7 + x8) + ((tanh((x8 - abs(x6)) - 0.26518565) * sin(x13)) * 2.8714395)))"
22,0.0015221419,"(-0.041752867 * ((x7 + x8) + ((tanh((x8 - abs(x6)) - abs(x7 - -0.31574804)) * x13) * 2.0208209)))"
24,0.0014607328,"(-0.043805253 * ((x7 + x8) + ((tanh((x8 - abs(x6)) - abs(x7 + 0.3111)) * sin(x13)) * 2.7675185)))"
26,0.0014215196,"(-0.043805253 * ((x7 + x8) + ((tanh((x8 - abs(x6)) - abs(sin(x7) + 0.30207348)) * sin(x13)) * 2.8714395)))"
28,0.001407988,"(-0.043805253 * (((x7 - 0.06696608) + x8) + ((tanh((x8 - abs(x6)) - abs(sin(x7) + 0.30711976)) * sin(x13)) * 2.8714395)))"
30,0.0013913979,"(-0.043805253 * ((x7 + (x8 + -0.08130735)) + ((tanh((x8 - abs(x6)) - (abs(sin(x7) + 0.27288845) * 1.3032349)) * sin(x13)) * 2.7675185)))"
