complexity,loss,score,equation,sympy_format,lambda_format
1,0.0047214194,0.0,-2.1717241e-9,-2.17172410000000e-9,PySRFunction(X=>-2.17172410000000E-9)
3,0.0038123918,0.10692635676310848,(x7 * -0.030150082),-0.030150082*x7,PySRFunction(X=>-0.030150082*x7)
5,0.003147704,0.09579173151146855,(-0.026039595 * (x8 + x7)),-0.026039595*x7 - 0.026039595*x8,PySRFunction(X=>-0.026039595*x7 - 0.026039595*x8)
7,0.002379043,0.13998749610058422,(-0.031660654 * ((x7 - x13) + x8)),0.031660654*x13 - 0.031660654*x7 - 0.031660654*x8,PySRFunction(X=>0.031660654*x13 - 0.031660654*x7 - 0.031660654*x8)
9,0.0023074362,0.015280633968471844,(-0.03259744 * (((x6 - 0.66435266) * x13) + x7)),-0.03259744*x13*(x6 - 0.66435266) - 0.03259744*x7,PySRFunction(X=>-0.03259744*x13*(x6 - 0.66435266) - 0.03259744*x7)
10,0.0022609122,0.02036867787510153,(-0.031430624 * ((x7 - x13) + (x8 * abs(x13)))),0.031430624*x13 - 0.031430624*x7 - 0.031430624*x8*Abs(x13),PySRFunction(X=>0.031430624*x13 - 0.031430624*x7 - 0.031430624*x8*Abs(x13))
11,0.0022533534,0.0033488534942265323,(-0.03188826 * ((x7 - x13) + (x8 * square(x4)))),0.03188826*x13 - 0.03188826*x4**2*x8 - 0.03188826*x7,PySRFunction(X=>0.03188826*x13 - 0.03188826*x4**2*x8 - 0.03188826*x7)
12,0.00214056,0.051352029628630065,(-0.036633197 * ((x7 - x13) + (x8 * abs(x13 + 0.3784261)))),0.036633197*x13 - 0.036633197*x7 - 0.036633197*x8*Abs(x13 + 0.3784261),PySRFunction(X=>0.036633197*x13 - 0.036633197*x7 - 0.036633197*x8*Abs(x13 + 0.3784261))
13,0.0021315126,0.00423560850821917,(-0.038676925 * ((x7 - x13) + (x8 * square(x13 + 0.43236205)))),0.038676925*x13 - 0.038676925*x7 - 0.038676925*x8*(x13 + 0.43236205)**2,PySRFunction(X=>0.038676925*x13 - 0.038676925*x7 - 0.038676925*x8*(x13 + 0.43236205)**2)
14,0.001973752,0.0768955686489473,(-0.036634963 * (((x6 - abs(sin(x7) * -1.8078666)) * x13) + x7)),-0.036634963*x13*(x6 - 1.8078666*Abs(sin(x7))) - 0.036634963*x7,PySRFunction(X=>-0.036634963*x13*(x6 - 1.8078666*Abs(sin(x7))) - 0.036634963*x7)
15,0.0018606966,0.05898536614627616,((-0.049254548 * (((x6 - 1.373764) * x13) + x7)) * abs(tanh(x7))),(-0.049254548*x13*(x6 - 1.373764) - 0.049254548*x7)*Abs(tanh(x7)),PySRFunction(X=>(-0.049254548*x13*(x6 - 1.373764) - 0.049254548*x7)*Abs(tanh(x7)))
16,0.0017446871,0.06437570648538464,(-0.038676925 * (((x6 - abs(sin(x7 + 0.19285297) * -2.4636583)) * x13) + x7)),-0.038676925*x13*(x6 - 2.4636583*Abs(sin(x7 + 0.19285297))) - 0.038676925*x7,PySRFunction(X=>-0.038676925*x13*(x6 - 2.4636583*Abs(sin(x7 + 0.19285297))) - 0.038676925*x7)
18,0.0017164189,0.00816757088062016,(-0.036634963 * ((((x6 + 0.29893318) - abs(sin(-0.19480728 - x7) * -3.1132658)) * x13) + x7)),-0.036634963*x13*(x6 - 3.1132658*Abs(sin(x7 + 0.19480728)) + 0.29893318) - 0.036634963*x7,PySRFunction(X=>-0.036634963*x13*(x6 - 3.1132658*Abs(sin(x7 + 0.19480728)) + 0.29893318) - 0.036634963*x7)
20,0.0016418857,0.02219734355897505,(-0.036633197 * (((x6 - abs(sin(0.19014199 + x7) * (-2.4636583 + square(x5)))) * x13) + x7)),-0.036633197*x13*(x6 - Abs((x5**2 - 2.4636583)*sin(x7 + 0.19014199))) - 0.036633197*x7,PySRFunction(X=>-0.036633197*x13*(x6 - Abs((x5**2 - 2.4636583)*sin(x7 + 0.19014199))) - 0.036633197*x7)
21,0.0016300203,0.0072529296470561595,(-0.043805253 * ((x7 + x8) + ((tanh((x8 - abs(x6)) - 0.26518565) * sin(x13)) * 2.8714395))),-0.043805253*x7 - 0.043805253*x8 + 0.125784133771694*sin(x13)*tanh(-x8 + Abs(x6) + 0.26518565),PySRFunction(X=>-0.043805253*x7 - 0.043805253*x8 + 0.125784133771694*sin(x13)*tanh(-x8 + Abs(x6) + 0.26518565))
