Complexity,Loss,Equation
1,0.002682753,"6.1652194e-9"
3,0.0023714413,"(0.017640548 * x16)"
5,0.0020877144,"((x6 + x8) * -0.04701025)"
6,0.0016873535,"(abs(x6 * -0.034007598) * x16)"
8,0.0016094377,"(abs(-0.037688285 * (0.2561028 + x6)) * x16)"
10,0.0015440222,"(abs(-0.032774117 * ((x7 * 0.34700367) - x6)) * x16)"
11,0.0015089503,"(abs(-0.0343713 * (abs(x7 * -0.6109549) + x6)) * x16)"
12,0.0014947781,"(abs((-0.025399026 * (0.48116052 + x6)) * x16) * (x16 + x7))"
13,0.0013907397,"(abs((-0.025336644 * (abs(x7) + x6)) * (x16 - 0.6024276)) * x16)"
15,0.0013688949,"(abs((0.026302267 * ((abs(x7) * 0.843444) + x6)) * x16) * (x16 + -0.56111366))"
16,0.0013206278,"(abs((0.02742735 * (abs(x7) + x6)) * (x16 - abs(x4 * -0.6517656))) * x16)"
18,0.0012711391,"(abs((-0.025336644 * (abs(x7) + x6)) * (x16 - 0.48415917)) * (x16 - abs(-0.3779432 * x10)))"
19,0.0012594205,"(abs((-0.026097564 * (abs(x7) + x6)) * (x16 - 0.6368057)) * (x16 - square(-0.27105042 * x10)))"
20,0.0012517273,"(abs((-0.02558789 * (abs(x7) + x6)) * (x16 - 0.47756746)) * (x16 - abs((0.32122082 * x10) * x4)))"
21,0.0012031124,"(abs((-0.026976364 * (abs(x7) + x6)) * (x16 - abs(x4 * -0.5431598))) * (x16 - abs(-0.3739785 * x10)))"
22,0.001181715,"(abs((-0.027704734 * (abs(x7) + x6)) * (x16 - abs(x4 * -0.63576245))) * (x16 - square(0.27151757 * x10)))"
24,0.0011725781,"(abs((0.027553618 * (abs(x7) + x6)) * (x16 - abs(x4 * -0.6094159))) * (x16 - square(0.25985792 * (x10 - x15))))"
25,0.0011705275,"(abs((0.027553618 * (abs(x7) + x6)) * (x16 - abs(x4 * 0.6292761))) * (x16 - square(0.264554 * (x10 - abs(x15)))))"
26,0.0011559937,"(abs((0.026450075 * (abs(x7) + x6)) * (x16 - abs(x4 * -0.6390301))) * (x16 - (square(-0.27859256 * x10) - (0.10277488 * x11))))"
28,0.0011431979,"(abs((0.025931936 * (abs(x7) + x6)) * (x16 - abs(x4 * 0.60072374))) * (x16 - (square(-0.26958382 * (x10 - x15)) - (0.13058914 * x11))))"
30,0.0011222028,"(abs((-0.026964752 * (abs(x7) + x6)) * (x16 - abs(x4 * 0.60072374))) * (x16 - (square(-0.26958382 * (x10 - x15)) - (0.13058914 * (x11 - x13)))))"
