complexity,loss,score,equation,sympy_format,lambda_format
1,0.002682753,0.0,6.1652194e-9,6.16521940000000e-9,PySRFunction(X=>6.16521940000000E-9)
3,0.0023714413,0.06167279615866852,(0.017640548 * x16),0.017640548*x16,PySRFunction(X=>0.017640548*x16)
5,0.0020877144,0.06371401735345966,((x6 + x8) * -0.04701025),-0.04701025*x6 - 0.04701025*x8,PySRFunction(X=>-0.04701025*x6 - 0.04701025*x8)
6,0.0016873535,0.2129085538746308,(abs(x6 * -0.034007598) * x16),0.034007598*x16*Abs(x6),PySRFunction(X=>0.034007598*x16*Abs(x6))
8,0.0016094377,0.023638230923367354,(abs(-0.037688285 * (0.2561028 + x6)) * x16),x16*Abs(0.037688285*x6 + 0.009652075315698),PySRFunction(X=>x16*Abs(0.037688285*x6 + 0.009652075315698))
10,0.0015440222,0.02074701679840678,(abs(-0.032774117 * ((x7 * 0.34700367) - x6)) * x16),x16*Abs(0.032774117*x6 - 0.0113727388800094*x7),PySRFunction(X=>x16*Abs(0.032774117*x6 - 0.0113727388800094*x7))
11,0.0015089503,0.02297658621326054,(abs(-0.0343713 * (abs(x7 * -0.6109549) + x6)) * x16),x16*Abs(0.0343713*x6 + 0.02099931415437*Abs(x7)),PySRFunction(X=>x16*Abs(0.0343713*x6 + 0.02099931415437*Abs(x7)))
12,0.0014947781,0.009436475791835318,(abs((-0.025399026 * (0.48116052 + x6)) * x16) * (x16 + x7)),(x16 + x7)*Abs(x16*(0.025399026*x6 + 0.0122210085576535)),PySRFunction(X=>(x16 + x7)*Abs(x16*(0.025399026*x6 + 0.0122210085576535)))
13,0.0013907397,0.07214200386248257,(abs((-0.025336644 * (abs(x7) + x6)) * (x16 - 0.6024276)) * x16),x16*Abs((x16 - 0.6024276)*(0.025336644*x6 + 0.025336644*Abs(x7))),PySRFunction(X=>x16*Abs((x16 - 0.6024276)*(0.025336644*x6 + 0.025336644*Abs(x7))))
15,0.0013688949,0.00791599593835152,(abs((0.026302267 * ((abs(x7) * 0.843444) + x6)) * x16) * (x16 + -0.56111366)),(x16 - 0.56111366)*Abs(x16*(0.026302267*x6 + 0.022184489287548*Abs(x7))),PySRFunction(X=>(x16 - 0.56111366)*Abs(x16*(0.026302267*x6 + 0.022184489287548*Abs(x7))))
16,0.0013206278,0.03589654239910784,(abs((0.02742735 * (abs(x7) + x6)) * (x16 - abs(x4 * -0.6517656))) * x16),x16*Abs((x16 - 0.6517656*Abs(x4))*(0.02742735*x6 + 0.02742735*Abs(x7))),PySRFunction(X=>x16*Abs((x16 - 0.6517656*Abs(x4))*(0.02742735*x6 + 0.02742735*Abs(x7))))
18,0.0012711391,0.019096900995194663,(abs((-0.025336644 * (abs(x7) + x6)) * (x16 - 0.48415917)) * (x16 - abs(-0.3779432 * x10))),(x16 - 0.3779432*Abs(x10))*Abs((x16 - 0.48415917)*(0.025336644*x6 + 0.025336644*Abs(x7))),PySRFunction(X=>(x16 - 0.3779432*Abs(x10))*Abs((x16 - 0.48415917)*(0.025336644*x6 + 0.025336644*Abs(x7))))
19,0.0012594205,0.00926173307125096,(abs((-0.026097564 * (abs(x7) + x6)) * (x16 - 0.6368057)) * (x16 - square(-0.27105042 * x10))),(-0.0734683301821764*x10**2 + x16)*Abs((x16 - 0.6368057)*(0.026097564*x6 + 0.026097564*Abs(x7))),PySRFunction(X=>(-0.0734683301821764*x10**2 + x16)*Abs((x16 - 0.6368057)*(0.026097564*x6 + 0.026097564*Abs(x7))))
20,0.0012517273,0.0061272570805917925,(abs((-0.02558789 * (abs(x7) + x6)) * (x16 - 0.47756746)) * (x16 - abs((0.32122082 * x10) * x4))),(x16 - 0.32122082*Abs(x10*x4))*Abs((x16 - 0.47756746)*(0.02558789*x6 + 0.02558789*Abs(x7))),PySRFunction(X=>(x16 - 0.32122082*Abs(x10*x4))*Abs((x16 - 0.47756746)*(0.02558789*x6 + 0.02558789*Abs(x7))))
21,0.0012031124,0.039612571740039446,(abs((-0.026976364 * (abs(x7) + x6)) * (x16 - abs(x4 * -0.5431598))) * (x16 - abs(-0.3739785 * x10))),(x16 - 0.3739785*Abs(x10))*Abs((x16 - 0.5431598*Abs(x4))*(0.026976364*x6 + 0.026976364*Abs(x7))),PySRFunction(X=>(x16 - 0.3739785*Abs(x10))*Abs((x16 - 0.5431598*Abs(x4))*(0.026976364*x6 + 0.026976364*Abs(x7))))
