Complexity,Loss,Equation
1,0.0047214194,"-4.379693e-9"
3,0.003601226,"(x15 - x17)"
5,0.0012955258,"((x15 - x17) * 5.5673327)"
7,0.0009553617,"sin((x15 - x17) * 6.57797)"
8,0.0009243653,"tanh((x15 - x17) * 6.5029078)"
9,0.00063887524,"(sin((x15 - x17) * -21.81838) * -0.319919)"
11,0.00063772144,"(sin((x15 - x17) * (21.26276 - x5)) * 0.31354383)"
12,0.0006159453,"(sin((x15 - x17) * (21.262756 + abs(x15))) * 0.30642435)"
14,0.0006098968,"(sin((x15 - x17) * (21.26276 + abs(x17 + x4))) * 0.30653626)"
16,0.00059874274,"(sin((x15 - x17) * (21.26276 + abs((x15 + x4) * -2.006045))) * 0.29529235)"
18,0.0005975012,"(sin((x15 - x17) * (21.26276 + abs(((x15 + x4) + 0.29273522) * -2.006045))) * 0.29529235)"
20,0.0005944047,"(sin((x15 - x17) * ((21.26276 - cos(x17)) + abs((x15 + x4) * 1.8049731))) * 0.29529235)"
22,0.0005942191,"(sin((x15 - x17) * ((21.26276 - cos(x17)) + abs(((x15 + x4) + 0.29273522) * 1.8049731))) * 0.29529235)"
23,0.00059308443,"(sin((x15 - x17) * ((21.26276 + abs((((x15 + x4) + x4) - x10) + x15)) - abs(x10))) * 0.29529235)"
25,0.00059168175,"(sin((x15 - x17) * ((21.26276 + abs((((x15 + x4) + x4) - x10) + x15)) - abs(x10 + x9))) * 0.29529235)"
27,0.0005903154,"(sin((x15 - x17) * ((21.26276 + abs((((x15 + x4) + x4) - sin(x10)) + x15)) - abs(x10 + x9))) * 0.29529235)"
29,0.0005901911,"(sin((x15 - x17) * ((21.26276 + abs(((((x15 + x4) + x4) - sin(x10)) - -0.12744798) + x15)) - abs(x10 + x9))) * 0.29529235)"
