complexity,loss,score,equation,sympy_format,lambda_format
1,0.0047214194,0.0,-4.379693e-9,-4.37969300000000e-9,PySRFunction(X=>-4.37969300000000E-9)
3,0.003601226,0.13541756584370496,(x15 - x17),x15 - x17,PySRFunction(X=>x15 - x17)
5,0.0012955258,0.5111788535646578,((x15 - x17) * 5.5673327),5.5673327*x15 - 5.5673327*x17,PySRFunction(X=>5.5673327*x15 - 5.5673327*x17)
7,0.0009553617,0.15229095133176535,sin((x15 - x17) * 6.57797),sin(6.57797*x15 - 6.57797*x17),PySRFunction(X=>sin(6.57797*x15 - 6.57797*x17))
8,0.0009243653,0.03298267239776445,tanh((x15 - x17) * 6.5029078),tanh(6.5029078*x15 - 6.5029078*x17),PySRFunction(X=>tanh(6.5029078*x15 - 6.5029078*x17))
9,0.00063887524,0.36939814708455165,(sin((x15 - x17) * -21.81838) * -0.319919),0.319919*sin(21.81838*x15 - 21.81838*x17),PySRFunction(X=>0.319919*sin(21.81838*x15 - 21.81838*x17))
11,0.00063772144,0.0009038095839078083,(sin((x15 - x17) * (21.26276 - x5)) * 0.31354383),0.31354383*sin((21.26276 - x5)*(x15 - x17)),PySRFunction(X=>0.31354383*sin((21.26276 - x5)*(x15 - x17)))
12,0.0006159453,0.03474341269151499,(sin((x15 - x17) * (21.262756 + abs(x15))) * 0.30642435),0.30642435*sin((x15 - x17)*(Abs(x15) + 21.262756)),PySRFunction(X=>0.30642435*sin((x15 - x17)*(Abs(x15) + 21.262756)))
14,0.0006098968,0.004934199181250399,(sin((x15 - x17) * (21.26276 + abs(x17 + x4))) * 0.30653626),0.30653626*sin((x15 - x17)*(Abs(x17 + x4) + 21.26276)),PySRFunction(X=>0.30653626*sin((x15 - x17)*(Abs(x17 + x4) + 21.26276)))
16,0.00059874274,0.009228869568114549,(sin((x15 - x17) * (21.26276 + abs((x15 + x4) * -2.006045))) * 0.29529235),0.29529235*sin((x15 - x17)*(Abs(2.006045*x15 + 2.006045*x4) + 21.26276)),PySRFunction(X=>0.29529235*sin((x15 - x17)*(Abs(2.006045*x15 + 2.006045*x4) + 21.26276)))
18,0.0005975012,0.0010378656094015984,(sin((x15 - x17) * (21.26276 + abs(((x15 + x4) + 0.29273522) * -2.006045))) * 0.29529235),0.29529235*sin((x15 - x17)*(Abs(2.006045*x15 + 2.006045*x4 + 0.5872400244049) + 21.26276)),PySRFunction(X=>0.29529235*sin((x15 - x17)*(Abs(2.006045*x15 + 2.006045*x4 + 0.5872400244049) + 21.26276)))
20,0.0005944047,0.0025979458331590126,(sin((x15 - x17) * ((21.26276 - cos(x17)) + abs((x15 + x4) * 1.8049731))) * 0.29529235),0.29529235*sin((x15 - x17)*(-cos(x17) + Abs(1.8049731*x15 + 1.8049731*x4) + 21.26276)),PySRFunction(X=>0.29529235*sin((x15 - x17)*(-cos(x17) + Abs(1.8049731*x15 + 1.8049731*x4) + 21.26276)))
22,0.0005942191,0.00015614696719720074,(sin((x15 - x17) * ((21.26276 - cos(x17)) + abs(((x15 + x4) + 0.29273522) * 1.8049731))) * 0.29529235),0.29529235*sin((x15 - x17)*(-cos(x17) + Abs(1.8049731*x15 + 1.8049731*x4 + 0.528379197522582) + 21.26276)),PySRFunction(X=>0.29529235*sin((x15 - x17)*(-cos(x17) + Abs(1.8049731*x15 + 1.8049731*x4 + 0.528379197522582) + 21.26276)))
23,0.00059308443,0.001911339967856849,(sin((x15 - x17) * ((21.26276 + abs((((x15 + x4) + x4) - x10) + x15)) - abs(x10))) * 0.29529235),0.29529235*sin((x15 - x17)*(-Abs(x10) + Abs(-x10 + 2*x15 + 2*x4) + 21.26276)),PySRFunction(X=>0.29529235*sin((x15 - x17)*(-Abs(x10) + Abs(-x10 + 2*x15 + 2*x4) + 21.26276)))
25,0.00059168175,0.0011839303645337685,(sin((x15 - x17) * ((21.26276 + abs((((x15 + x4) + x4) - x10) + x15)) - abs(x10 + x9))) * 0.29529235),0.29529235*sin((x15 - x17)*(-Abs(x10 + x9) + Abs(-x10 + 2*x15 + 2*x4) + 21.26276)),PySRFunction(X=>0.29529235*sin((x15 - x17)*(-Abs(x10 + x9) + Abs(-x10 + 2*x15 + 2*x4) + 21.26276)))
27,0.0005903154,0.0011559677691271697,(sin((x15 - x17) * ((21.26276 + abs((((x15 + x4) + x4) - sin(x10)) + x15)) - abs(x10 + x9))) * 0.29529235),0.29529235*sin((x15 - x17)*(-Abs(x10 + x9) + Abs(2*x15 + 2*x4 - sin(x10)) + 21.26276)),PySRFunction(X=>0.29529235*sin((x15 - x17)*(-Abs(x10 + x9) + Abs(2*x15 + 2*x4 - sin(x10)) + 21.26276)))
29,0.0005901911,0.00010529378742037301,(sin((x15 - x17) * ((21.26276 + abs(((((x15 + x4) + x4) - sin(x10)) - -0.12744798) + x15)) - abs(x10 + x9))) * 0.29529235),0.29529235*sin((x15 - x17)*(-Abs(x10 + x9) + Abs(2*x15 + 2*x4 - sin(x10) + 0.12744798) + 21.26276)),PySRFunction(X=>0.29529235*sin((x15 - x17)*(-Abs(x10 + x9) + Abs(2*x15 + 2*x4 - sin(x10) + 0.12744798) + 21.26276)))
