complexity,loss,score,equation,sympy_format,lambda_format
1,0.002682753,0.0,-3.3953356e-9,-3.39533560000000e-9,PySRFunction(X=>-3.39533560000000E-9)
3,0.0023400364,0.06833851063790837,(x14 - x16),x14 - x16,PySRFunction(X=>x14 - x16)
5,0.0021259873,0.04796508928085991,(-0.03508781 * (x3 + x5)),-0.03508781*x3 - 0.03508781*x5,PySRFunction(X=>-0.03508781*x3 - 0.03508781*x5)
6,0.0016072065,0.2797387274314028,((x14 - x16) * abs(x14)),(x14 - x16)*Abs(x14),PySRFunction(X=>(x14 - x16)*Abs(x14))
7,0.0010030479,0.47145431424176376,sin((x14 - x16) * 5.576304),sin(5.576304*x14 - 5.576304*x16),PySRFunction(X=>sin(5.576304*x14 - 5.576304*x16))
9,0.00053175184,0.3173108146021927,(sin((x14 - x16) * -18.09435) * -0.2701917),0.2701917*sin(18.09435*x14 - 18.09435*x16),PySRFunction(X=>0.2701917*sin(18.09435*x14 - 18.09435*x16))
10,0.0005317516,4.513384555440076e-07,(sin((x14 - x16) * abs(-18.100426)) * 0.2701145),0.2701145*sin(18.100426*x14 - 18.100426*x16),PySRFunction(X=>0.2701145*sin(18.100426*x14 - 18.100426*x16))
11,0.0005244245,0.01387499214937013,(sin((x14 - x16) * (16.874996 + x0)) * 0.2861582),0.2861582*sin((x0 + 16.874996)*(x14 - x16)),PySRFunction(X=>0.2861582*sin((x0 + 16.874996)*(x14 - x16)))
12,0.0005210296,0.006494616900118009,(sin((x14 - x16) * (16.597063 + abs(x16))) * 0.2734772),0.2734772*sin((x14 - x16)*(Abs(x16) + 16.597063)),PySRFunction(X=>0.2734772*sin((x14 - x16)*(Abs(x16) + 16.597063)))
13,0.000519293,0.0033385828838694695,(sin((x14 - x16) * (16.308876 + (x16 * x1))) * 0.27063173),0.27063173*sin((x14 - x16)*(x1*x16 + 16.308876)),PySRFunction(X=>0.27063173*sin((x14 - x16)*(x1*x16 + 16.308876)))
14,0.00051408133,0.01008678856506006,(sin((x14 - x16) * ((16.597063 + abs(x16)) - x0)) * 0.2734772),0.2734772*sin((x14 - x16)*(-x0 + Abs(x16) + 16.597063)),PySRFunction(X=>0.2734772*sin((x14 - x16)*(-x0 + Abs(x16) + 16.597063)))
15,0.0005062866,0.015278570406377251,(sin((x14 - x16) * (16.308876 + ((-1.905492 - x17) * x1))) * 0.27063173),0.27063173*sin((x14 - x16)*(x1*(-x17 - 1.905492) + 16.308876)),PySRFunction(X=>0.27063173*sin((x14 - x16)*(x1*(-x17 - 1.905492) + 16.308876)))
17,0.00048180085,0.024786028853530744,((((x14 - x16) * 9.3664875) * tanh(abs((x13 - 0.78404826) * 9.3664875))) * 0.52071655),0.52071655*(9.3664875*x14 - 9.3664875*x16)*tanh(Abs(9.3664875*x13 - 7.34377822668675)),PySRFunction(X=>0.52071655*(9.3664875*x14 - 9.3664875*x16)*tanh(Abs(9.3664875*x13 - 7.34377822668675)))
19,0.00044888968,0.03537684920153575,((((x14 - x16) * 9.3664875) * tanh(square(x15) + abs(x13 - 0.78404826))) * 0.52071655),0.52071655*(9.3664875*x14 - 9.3664875*x16)*tanh(x15**2 + Abs(x13 - 0.78404826)),PySRFunction(X=>0.52071655*(9.3664875*x14 - 9.3664875*x16)*tanh(x15**2 + Abs(x13 - 0.78404826)))
20,0.00044877297,0.00026003087163681217,((((x14 - x16) * abs(-9.464715)) * tanh(square(x15) + abs(x13 - 0.78404826))) * 0.52071655),0.52071655*(9.464715*x14 - 9.464715*x16)*tanh(x15**2 + Abs(x13 - 0.78404826)),PySRFunction(X=>0.52071655*(9.464715*x14 - 9.464715*x16)*tanh(x15**2 + Abs(x13 - 0.78404826)))
21,0.0004448365,0.0088103261998181,((((x14 - x16) * 9.3664875) * tanh(square(x15 - 0.105703734) + abs(x13 - 0.78404826))) * 0.52071655),0.52071655*(9.3664875*x14 - 9.3664875*x16)*tanh((x15 - 0.105703734)**2 + Abs(x13 - 0.78404826)),PySRFunction(X=>0.52071655*(9.3664875*x14 - 9.3664875*x16)*tanh((x15 - 0.105703734)**2 + Abs(x13 - 0.78404826)))
