complexity,loss,score,equation,sympy_format,lambda_format
1,0.4054631,0.0,4.35029e-7,4.35029000000000e-7,PySRFunction(X=>4.35029000000000E-7)
2,0.40546307,7.398947317657168e-08,tanh(-1.3485672e-7),-1.34856719999999e-7,PySRFunction(X=>-1.34856719999999E-7)
3,0.38484246,0.05219574091885161,(-0.14359951 * a_y),-0.14359951*a_y,PySRFunction(X=>-0.14359951*a_y)
5,0.37153137,0.017600376846573937,(0.12374085 * (a_x - a_y)),0.12374085*a_x - 0.12374085*a_y,PySRFunction(X=>0.12374085*a_x - 0.12374085*a_y)
6,0.3714862,0.00012158528110091874,(square(0.3706255) * (a_x - a_y)),0.13736326125025*a_x - 0.13736326125025*a_y,PySRFunction(X=>0.13736326125025*a_x - 0.13736326125025*a_y)
7,0.37104928,0.001176832790334783,(0.12374085 * (a_x - (a_y / 0.8632582))),0.12374085*a_x - 0.143341644481338*a_y,PySRFunction(X=>0.12374085*a_x - 0.143341644481338*a_y)
8,0.37104538,1.0510788475466978e-05,(tanh(0.12374085) * (a_x - (a_y / 0.8632582))),0.123113129367652*a_x - 0.142614491663853*a_y,PySRFunction(X=>0.123113129367652*a_x - 0.142614491663853*a_y)
9,0.37069315,0.0009497417546211749,(square(tanh(l) * -0.4847137) * (a_x - a_y)),0.23494737096769*(a_x - a_y)*tanh(l)**2,PySRFunction(X=>0.23494737096769*(a_x - a_y)*tanh(l)**2)
10,0.37032154,0.0010029761519359996,(square(tanh(tanh(l) * -0.49810666)) * (a_x - a_y)),(a_x - a_y)*tanh(0.49810666*tanh(l))**2,PySRFunction(X=>(a_x - a_y)*tanh(0.49810666*tanh(l))**2)
11,0.36771512,0.007063147339479529,(square(cos(cos(tanh(gama))) * 0.49411795) * (a_x - a_y)),0.244152548512202*(a_x - a_y)*cos(cos(tanh(gama)))**2,PySRFunction(X=>0.244152548512202*(a_x - a_y)*cos(cos(tanh(gama)))**2)
12,0.3660861,0.004439956303426343,(square(tanh(l - tanh(V_x)) * 0.49411795) * (a_x - a_y)),0.244152548512202*(a_x - a_y)*tanh(l - tanh(V_x))**2,PySRFunction(X=>0.244152548512202*(a_x - a_y)*tanh(l - tanh(V_x))**2)
14,0.36586276,0.0003051306165451797,(square(cos(cos(tanh(l - tanh(V_x)))) * 0.49411795) * (a_x - a_y)),0.244152548512202*(a_x - a_y)*cos(cos(tanh(l - tanh(V_x))))**2,PySRFunction(X=>0.244152548512202*(a_x - a_y)*cos(cos(tanh(l - tanh(V_x))))**2)
15,0.36417428,0.004625746142342746,(square(cos(cos((l - tanh(V_x)) / 1.5742674)) * 0.49411795) * (a_x - a_y)),0.244152548512202*(a_x - a_y)*cos(cos(0.635216101152828*l - 0.635216101152828*tanh(V_x)))**2,PySRFunction(X=>0.244152548512202*(a_x - a_y)*cos(cos(0.635216101152828*l - 0.635216101152828*tanh(V_x)))**2)
16,0.36398706,0.0005142267072997056,(square(cos(cos((l - sin(tanh(V_x))) / 1.5742674)) * 0.49411795) * (a_x - a_y)),0.244152548512202*(a_x - a_y)*cos(cos(0.635216101152828*l - 0.635216101152828*sin(tanh(V_x))))**2,PySRFunction(X=>0.244152548512202*(a_x - a_y)*cos(cos(0.635216101152828*l - 0.635216101152828*sin(tanh(V_x))))**2)
17,0.36378998,0.0005415944554044592,(square(cos(cos(((l - tanh(V_x)) / 1.5742674) / 1.3149842)) * 0.49411795) * (a_x - a_y)),0.244152548512202*(a_x - a_y)*cos(cos(0.483059873383139*l - 0.483059873383139*tanh(V_x)))**2,PySRFunction(X=>0.244152548512202*(a_x - a_y)*cos(cos(0.483059873383139*l - 0.483059873383139*tanh(V_x)))**2)
18,0.36308536,0.0019387649626716396,(square(cos(cos(((l - tanh(tanh(V_x))) / 1.5742674) - -0.20584986)) * 0.49411795) * (a_x - a_y)),0.244152548512202*(a_x - a_y)*cos(cos(0.635216101152828*l - 0.635216101152828*tanh(tanh(V_x)) + 0.20584986))**2,PySRFunction(X=>0.244152548512202*(a_x - a_y)*cos(cos(0.635216101152828*l - 0.635216101152828*tanh(tanh(V_x)) + 0.20584986))**2)
21,0.36286798,0.00019962716106718324,(square(cos(cos(((l - tanh(V_x * 0.5356366)) / 1.5742674) - tanh(sin(-0.20584986)))) * 0.49411795) * (a_x - a_y)),0.244152548512202*(a_x - a_y)*cos(cos(0.635216101152828*l - 0.635216101152828*tanh(0.5356366*V_x) + 0.20159939853289))**2,PySRFunction(X=>0.244152548512202*(a_x - a_y)*cos(cos(0.635216101152828*l - 0.635216101152828*tanh(0.5356366*V_x) + 0.20159939853289))**2)
22,0.36286497,8.295062253869846e-06,(square(cos(cos(((l - tanh(V_x * 0.5356366)) / 1.5742674) - sin(-0.20584986 - -0.04092189))) * 0.49411795) * (a_x - a_y)),0.244152548512202*(a_x - a_y)*cos(cos(0.635216101152828*l - 0.635216101152828*tanh(0.5356366*V_x) + 0.16418127885031))**2,PySRFunction(X=>0.244152548512202*(a_x - a_y)*cos(cos(0.635216101152828*l - 0.635216101152828*tanh(0.5356366*V_x) + 0.16418127885031))**2)
