Complexity,Loss,Equation
1,4.235431,"1.3324143e-5"
3,4.2262387,"(-0.095857754 * theta)"
4,3.9382696,"(dtheta * cos(a_z))"
5,3.9273765,"(dtheta * tanh(cos(a_z)))"
6,3.6190464,"(dtheta * cos(a_z - v_sway))"
7,3.548115,"(tanh(cos(a_surge) - a_z) * dtheta)"
8,3.4503617,"(tanh((0.40186682 + a_surge) / gama) * dtheta)"
9,3.4095953,"(tanh((0.40186682 + tanh(a_surge)) / gama) * dtheta)"
10,3.306096,"((tanh(1.1746523 - a_z) - tanh(square(a_surge))) * dtheta)"
11,3.3056617,"((tanh(square(1.0735644) - a_z) - tanh(square(a_surge))) * dtheta)"
12,3.215614,"((tanh(1.055442 - a_z) - tanh(square(a_surge) - V_z)) * dtheta)"
13,3.0894372,"((tanh(square(theta / -0.3770972) - a_z) - abs(tanh(a_surge))) * dtheta)"
15,2.975082,"((tanh(square(theta * 2.199527) - a_z) - tanh(square(a_surge) - V_z)) * dtheta)"
17,2.913033,"((tanh(square(theta / 0.39124545) - a_z) - tanh(square(a_surge - gama) - V_z)) * dtheta)"
18,2.9086876,"((tanh(square(theta / 0.39124545) - a_z) - tanh(square(a_surge - square(gama)) - V_z)) * dtheta)"
19,2.8869393,"((tanh(square(theta * -2.2075956) - a_z) - tanh(square(a_surge - gama) - V_z)) * (dtheta * 1.2164869))"
20,2.8756113,"((tanh(square(theta * -2.0571856) - tanh(a_z)) - tanh(square(a_surge - gama) - V_z)) * (dtheta * 1.2164869))"
21,2.8530016,"((tanh(square(theta * -2.0571856) - a_z) - tanh(square((a_surge - gama) / 1.307047) - V_z)) * (dtheta * 1.2164869))"
22,2.8449867,"((tanh(square(theta * -2.0571856) - a_z) - tanh(square((a_surge - square(gama)) / 1.307047) - V_z)) * (dtheta * 1.2164869))"
23,2.836379,"((tanh((square(theta * -2.0571856) - a_z) / 1.9134538) - tanh(square(a_surge - gama) - V_z)) * (dtheta * (1.2164869 + V_z)))"
24,2.824035,"((tanh((square(theta * -2.0571856) - a_z) / 1.9134538) - sin(tanh(square(a_surge - gama) - V_z))) * (dtheta * (1.2164869 + V_z)))"
25,2.7940736,"((tanh((square(theta * -2.0571856) - a_z) / 1.9134538) - tanh(square((a_surge - gama) / 1.7143013) - V_z)) * (dtheta * (1.2164869 + V_z)))"
27,2.7896683,"((tanh((square(theta * -2.0571856) - (a_z * a_x)) / 1.9134538) - (tanh(square(a_surge - gama) - V_z) - 0.09633414)) * (dtheta * (1.2164869 + V_z)))"
28,2.7856972,"((tanh(((square(theta * -2.0571856) + -0.36925215) - a_z) / 1.9134538) - tanh(square(square(a_surge - gama) * v_surge) - V_z)) * (dtheta * (1.2164869 + V_z)))"
29,2.761283,"((tanh((square(theta * abs(-2.0571856)) - a_z) / 1.9134538) - tanh(square((square(a_surge - gama) + a_x) * v_surge) - V_z)) * (dtheta * (1.2164869 + V_z)))"
