complexity,loss,score,equation,sympy_format,lambda_format
1,4.235431,0.0,1.3324143e-5,1.33241430000000e-5,PySRFunction(X=>0.0000133241430000000)
3,4.2262387,0.0010863463053979014,(-0.095857754 * theta),-0.095857754*theta,PySRFunction(X=>-0.095857754*theta)
4,3.9382696,0.07057096224985873,(dtheta * cos(a_z)),dtheta*cos(a_z),PySRFunction(X=>dtheta*cos(a_z))
5,3.9273765,0.0027697933076594734,(dtheta * tanh(cos(a_z))),dtheta*tanh(cos(a_z)),PySRFunction(X=>dtheta*tanh(cos(a_z)))
6,3.6190464,0.08176107999296159,(dtheta * cos(a_z - v_sway)),dtheta*cos(a_z - v_sway),PySRFunction(X=>dtheta*cos(a_z - v_sway))
7,3.548115,0.019794089171858875,(tanh(cos(a_surge) - a_z) * dtheta),-dtheta*tanh(a_z - cos(a_surge)),PySRFunction(X=>-dtheta*tanh(a_z - cos(a_surge)))
8,3.4503617,0.02793741042129816,(tanh((0.40186682 + a_surge) / gama) * dtheta),dtheta*tanh((a_surge + 0.40186682)/gama),PySRFunction(X=>dtheta*tanh((a_surge + 0.40186682)/gama))
9,3.4095953,0.011885462227140138,(tanh((0.40186682 + tanh(a_surge)) / gama) * dtheta),dtheta*tanh((tanh(a_surge) + 0.40186682)/gama),PySRFunction(X=>dtheta*tanh((tanh(a_surge) + 0.40186682)/gama))
10,3.306096,0.030825566810691728,((tanh(1.1746523 - a_z) - tanh(square(a_surge))) * dtheta),dtheta*(-tanh(a_surge**2) - tanh(a_z - 1.1746523)),PySRFunction(X=>dtheta*(-tanh(a_surge**2) - tanh(a_z - 1.1746523)))
11,3.3056617,0.0001313720255129323,((tanh(square(1.0735644) - a_z) - tanh(square(a_surge))) * dtheta),dtheta*(-tanh(a_surge**2) - tanh(a_z - 1.15254052094736)),PySRFunction(X=>dtheta*(-tanh(a_surge**2) - tanh(a_z - 1.15254052094736)))
12,3.215614,0.02761834582670819,((tanh(1.055442 - a_z) - tanh(square(a_surge) - V_z)) * dtheta),dtheta*(tanh(V_z - a_surge**2) - tanh(a_z - 1.055442)),PySRFunction(X=>dtheta*(tanh(V_z - a_surge**2) - tanh(a_z - 1.055442)))
13,3.0894372,0.040029380838973734,((tanh(square(theta / -0.3770972) - a_z) - abs(tanh(a_surge))) * dtheta),dtheta*(-tanh(a_z - 7.03223514895048*theta**2) - Abs(tanh(a_surge))),PySRFunction(X=>dtheta*(-tanh(a_z - 7.03223514895048*theta**2) - Abs(tanh(a_surge))))
15,2.975082,0.018858668377806302,((tanh(square(theta * 2.199527) - a_z) - tanh(square(a_surge) - V_z)) * dtheta),dtheta*(tanh(V_z - a_surge**2) - tanh(a_z - 4.837919023729*theta**2)),PySRFunction(X=>dtheta*(tanh(V_z - a_surge**2) - tanh(a_z - 4.837919023729*theta**2)))
17,2.913033,0.010538397601264127,((tanh(square(theta / 0.39124545) - a_z) - tanh(square(a_surge - gama) - V_z)) * dtheta),dtheta*(tanh(V_z - (a_surge - gama)**2) - tanh(a_z - 6.53283064931431*theta**2)),PySRFunction(X=>dtheta*(tanh(V_z - (a_surge - gama)**2) - tanh(a_z - 6.53283064931431*theta**2)))
18,2.9086876,0.0014928235501322057,((tanh(square(theta / 0.39124545) - a_z) - tanh(square(a_surge - square(gama)) - V_z)) * dtheta),dtheta*(tanh(V_z - (a_surge - gama**2)**2) - tanh(a_z - 6.53283064931431*theta**2)),PySRFunction(X=>dtheta*(tanh(V_z - (a_surge - gama**2)**2) - tanh(a_z - 6.53283064931431*theta**2)))
19,2.8869393,0.00750510771628969,((tanh(square(theta * -2.2075956) - a_z) - tanh(square(a_surge - gama) - V_z)) * (dtheta * 1.2164869)),1.2164869*dtheta*(tanh(V_z - (a_surge - gama)**2) - tanh(a_z - 4.87347833313936*theta**2)),PySRFunction(X=>1.2164869*dtheta*(tanh(V_z - (a_surge - gama)**2) - tanh(a_z - 4.87347833313936*theta**2)))
20,2.8756113,0.0039315974394521155,((tanh(square(theta * -2.0571856) - tanh(a_z)) - tanh(square(a_surge - gama) - V_z)) * (dtheta * 1.2164869)),1.2164869*dtheta*(tanh(V_z - (a_surge - gama)**2) + tanh(4.23201259284736*theta**2 - tanh(a_z))),PySRFunction(X=>1.2164869*dtheta*(tanh(V_z - (a_surge - gama)**2) + tanh(4.23201259284736*theta**2 - tanh(a_z))))
21,2.8530016,0.007893644690162939,((tanh(square(theta * -2.0571856) - a_z) - tanh(square((a_surge - gama) / 1.307047) - V_z)) * (dtheta * 1.2164869)),1.2164869*dtheta*(tanh(V_z - 0.585352652599687*(a_surge - gama)**2) - tanh(a_z - 4.23201259284736*theta**2)),PySRFunction(X=>1.2164869*dtheta*(tanh(V_z - 0.585352652599687*(a_surge - gama)**2) - tanh(a_z - 4.23201259284736*theta**2)))
22,2.8449867,0.0028132403452075065,((tanh(square(theta * -2.0571856) - a_z) - tanh(square((a_surge - square(gama)) / 1.307047) - V_z)) * (dtheta * 1.2164869)),1.2164869*dtheta*(tanh(V_z - 0.585352652599687*(a_surge - gama**2)**2) - tanh(a_z - 4.23201259284736*theta**2)),PySRFunction(X=>1.2164869*dtheta*(tanh(V_z - 0.585352652599687*(a_surge - gama**2)**2) - tanh(a_z - 4.23201259284736*theta**2)))
23,2.836379,0.0030301540301145347,((tanh((square(theta * -2.0571856) - a_z) / 1.9134538) - tanh(square(a_surge - gama) - V_z)) * (dtheta * (1.2164869 + V_z))),dtheta*(V_z + 1.2164869)*(tanh(V_z - (a_surge - gama)**2) - tanh(0.52261517889797*a_z - 2.21171401830938*theta**2)),PySRFunction(X=>dtheta*(V_z + 1.2164869)*(tanh(V_z - (a_surge - gama)**2) - tanh(0.52261517889797*a_z - 2.21171401830938*theta**2)))
24,2.824035,0.004361525347163833,((tanh((square(theta * -2.0571856) - a_z) / 1.9134538) - sin(tanh(square(a_surge - gama) - V_z))) * (dtheta * (1.2164869 + V_z))),dtheta*(V_z + 1.2164869)*(sin(tanh(V_z - (a_surge - gama)**2)) - tanh(0.52261517889797*a_z - 2.21171401830938*theta**2)),PySRFunction(X=>dtheta*(V_z + 1.2164869)*(sin(tanh(V_z - (a_surge - gama)**2)) - tanh(0.52261517889797*a_z - 2.21171401830938*theta**2)))
