Complexity,Loss,Equation
1,0.0044038524,"-7.0786875e-8"
2,0.004403852,"square(0.000103739665)"
3,0.0036591059,"(-3.8732287e-7 * x7)"
4,0.003596755,"(-3.8732287e-7 * square(x11))"
5,0.0033377977,"(-3.8732287e-7 * (x11 * x2))"
6,0.0033373088,"tanh(-3.8732287e-7 * (x11 * x2))"
7,0.0031770275,"(-3.8732287e-7 * (x11 * (x4 - x0)))"
9,0.002950997,"(-3.8732287e-7 * (x11 * (x4 - (x0 * x6))))"
10,0.0029506842,"tanh(-3.8732287e-7 * (x11 * (x4 - (x0 * x6))))"
11,0.002910168,"((-3.8732287e-7 / 0.82115984) * (x11 * (x4 - (x0 * x6))))"
12,0.0029071004,"tanh((-3.8732287e-7 / 0.82115984) * (x11 * (x4 - (x0 * x6))))"
13,0.0029042535,"tanh(tanh((-3.8732287e-7 / 0.82115984) * (x11 * (x4 - (x0 * x6)))))"
14,0.0029016098,"tanh(tanh(tanh((-3.8732287e-7 / 0.82115984) * (x11 * (x4 - (x0 * x6))))))"
15,0.0028596185,"(-3.8732287e-7 * (square(x11) - abs((((x5 / 0.5506041) - x2) / 0.4335252) / 0.036785632)))"
