complexity,loss,score,equation,sympy_format,lambda_format
1,0.0044038524,0.0,-7.0786875e-8,-7.07868750000000e-8,PySRFunction(X=>-7.07868750000000E-8)
2,0.004403852,9.082956966052704e-08,square(0.000103739665),1.07619180943122e-8,PySRFunction(X=>1.07619180943122E-8)
3,0.0036591059,0.18526078453062858,(-3.8732287e-7 * x7),-3.8732287e-7*x7,PySRFunction(X=>-3.8732287e-7*x7)
4,0.003596755,0.01718677787430049,(-3.8732287e-7 * square(x11)),-3.8732287e-7*x11**2,PySRFunction(X=>-3.8732287e-7*x11**2)
5,0.0033377977,0.0747208318276283,(-3.8732287e-7 * (x11 * x2)),-3.8732287e-7*x11*x2,PySRFunction(X=>-3.8732287e-7*x11*x2)
6,0.0033373088,0.0001464845544783577,tanh(-3.8732287e-7 * (x11 * x2)),-tanh(3.8732287e-7*x11*x2),PySRFunction(X=>-tanh(3.8732287e-7*x11*x2))
7,0.0031770275,0.04921872248114928,(-3.8732287e-7 * (x11 * (x4 - x0))),-3.8732287e-7*x11*(-x0 + x4),PySRFunction(X=>-3.8732287e-7*x11*(-x0 + x4))
9,0.002950997,0.03690146592945916,(-3.8732287e-7 * (x11 * (x4 - (x0 * x6)))),-3.8732287e-7*x11*(-x0*x6 + x4),PySRFunction(X=>-3.8732287e-7*x11*(-x0*x6 + x4))
10,0.0029506842,0.00010600369274194896,tanh(-3.8732287e-7 * (x11 * (x4 - (x0 * x6)))),-tanh(3.8732287e-7*x11*(-x0*x6 + x4)),PySRFunction(X=>-tanh(3.8732287e-7*x11*(-x0*x6 + x4)))
11,0.002910168,0.013826264187264244,((-3.8732287e-7 / 0.82115984) * (x11 * (x4 - (x0 * x6)))),-4.71677803921828e-7*x11*(-x0*x6 + x4),PySRFunction(X=>-4.71677803921828e-7*x11*(-x0*x6 + x4))
12,0.0029071004,0.0010546531716979714,tanh((-3.8732287e-7 / 0.82115984) * (x11 * (x4 - (x0 * x6)))),-tanh(4.71677803921828e-7*x11*(-x0*x6 + x4)),PySRFunction(X=>-tanh(4.71677803921828e-7*x11*(-x0*x6 + x4)))
13,0.0029042535,0.0009797717629072792,tanh(tanh((-3.8732287e-7 / 0.82115984) * (x11 * (x4 - (x0 * x6))))),-tanh(tanh(4.71677803921828e-7*x11*(-x0*x6 + x4))),PySRFunction(X=>-tanh(tanh(4.71677803921828e-7*x11*(-x0*x6 + x4))))
14,0.0029016098,0.0009107001133554043,tanh(tanh(tanh((-3.8732287e-7 / 0.82115984) * (x11 * (x4 - (x0 * x6)))))),-tanh(tanh(tanh(4.71677803921828e-7*x11*(-x0*x6 + x4)))),PySRFunction(X=>-tanh(tanh(tanh(4.71677803921828e-7*x11*(-x0*x6 + x4)))))
15,0.0028596185,0.014577462101860065,(-3.8732287e-7 * (square(x11) - abs((((x5 / 0.5506041) - x2) / 0.4335252) / 0.036785632))),-3.8732287e-7*x11**2 + 3.8732287e-7*Abs(62.7057592691285*x2 - 113.885383834099*x5),PySRFunction(X=>-3.8732287e-7*x11**2 + 3.8732287e-7*Abs(62.7057592691285*x2 - 113.885383834099*x5))
