Complexity,Loss,Equation
1,0.0013401527,"3.190492e-8"
3,0.0010701155,"(x0 * 7.345209e-5)"
5,0.0010624499,"((x0 * 1.6616786) * 6.043911e-5)"
6,0.0010602867,"(x0 * (abs(-6.463724e-5) * 1.337356))"
7,0.00096312707,"(((x0 * 2.489828) - x5) * 6.043911e-5)"
8,0.00094885187,"(((x0 / 0.4369577) - x3) * cos(1.5707694))"
10,0.0008726588,"((((x0 / 0.4369577) - x3) + x0) * cos(1.5707694))"
12,0.0008474826,"(((((x0 / 0.4369577) - x3) + x0) + x0) * cos(1.5707694))"
14,0.0008474742,"(((((x0 / 0.4369577) - (x3 - x4)) + x0) + x0) * cos(1.5707694))"
16,0.0008474737,"((((((x0 - -0.2622861) / 0.4369577) - (x3 - x4)) + x0) + x0) * cos(1.5707694))"
