complexity,loss,score,equation,sympy_format,lambda_format
1,0.0013401527,0.0,3.190492e-8,3.19049200000000e-8,PySRFunction(X=>3.19049200000000E-8)
2,0.0013401526,7.461836538387099e-08,square(-7.576617e-5),5.74051251646890e-9,PySRFunction(X=>5.74051251646890E-9)
3,0.0010701155,0.2250169015024099,(x0 * 7.345209e-5),7.345209e-5*x0,PySRFunction(X=>7.345209e-5*x0)
5,0.0010595412,0.00496530116812472,((x0 * 7.345209e-5) / 0.8036926),9.13932640415004e-5*x0,PySRFunction(X=>9.13932640415004e-5*x0)
7,0.00096312707,0.04770295394680387,(((x0 * 2.489828) - x5) * 6.043911e-5),0.00015048298837308*x0 - 6.043911e-5*x5,PySRFunction(X=>0.00015048298837308*x0 - 6.043911e-5*x5)
8,0.0008511379,0.12361119522689544,(((x0 / 0.21412085) - x3) * cos(1.5707694)),0.000125755127972227*x0 - 2.6926794893272e-5*x3,PySRFunction(X=>0.000125755127972227*x0 - 2.6926794893272e-5*x3)
10,0.0008371478,0.00828676108186624,((((x0 / 0.21412085) - x2) - x3) * cos(1.5707694)),0.000125755127972227*x0 - 2.6926794893272e-5*x2 - 2.6926794893272e-5*x3,PySRFunction(X=>0.000125755127972227*x0 - 2.6926794893272e-5*x2 - 2.6926794893272e-5*x3)
12,0.0008162397,0.012646288053575417,((((x0 / 0.16638501) - (x2 + x2)) - x3) * cos(1.5707694)),0.000161834259548213*x0 - 5.3853589786544e-5*x2 - 2.6926794893272e-5*x3,PySRFunction(X=>0.000161834259548213*x0 - 5.3853589786544e-5*x2 - 2.6926794893272e-5*x3)
14,0.00081601023,0.00014058508889733932,((((x0 / 0.16638501) - (x2 + x2)) - (x3 - x4)) * cos(1.5707694)),0.000161834259548213*x0 - 5.3853589786544e-5*x2 - 2.6926794893272e-5*x3 + 2.6926794893272e-5*x4,PySRFunction(X=>0.000161834259548213*x0 - 5.3853589786544e-5*x2 - 2.6926794893272e-5*x3 + 2.6926794893272e-5*x4)
15,0.00081581384,0.00024069996828541635,((((x0 / 0.16638501) - (x2 + x2)) - (x3 - square(x4))) * cos(1.5707694)),0.000161834259548213*x0 - 5.3853589786544e-5*x2 - 2.6926794893272e-5*x3 + 2.6926794893272e-5*x4**2,PySRFunction(X=>0.000161834259548213*x0 - 5.3853589786544e-5*x2 - 2.6926794893272e-5*x3 + 2.6926794893272e-5*x4**2)
17,0.0008148158,0.0006120581278204118,((((x0 / 0.16638501) - (x2 + x2)) - (x3 - square(x4 + 1.696264))) * cos(1.5707694)),0.000161834259548213*x0 - 5.3853589786544e-5*x2 - 2.6926794893272e-5*x3 + 7.74767781581212e-5*(0.589530874910981*x4 + 1)**2,PySRFunction(X=>0.000161834259548213*x0 - 5.3853589786544e-5*x2 - 2.6926794893272e-5*x3 + 7.74767781581212e-5*(0.589530874910981*x4 + 1)**2)
18,0.0008135603,0.0015420273593826762,((((x0 / 0.16638501) - (x2 + x2)) - (x3 - square(square(x4) + 1.696264))) * cos(1.5707694)),0.000161834259548213*x0 - 5.3853589786544e-5*x2 - 2.6926794893272e-5*x3 + 7.74767781581212e-5*(0.589530874910981*x4**2 + 1)**2,PySRFunction(X=>0.000161834259548213*x0 - 5.3853589786544e-5*x2 - 2.6926794893272e-5*x3 + 7.74767781581212e-5*(0.589530874910981*x4**2 + 1)**2)
