complexity,loss,score,equation,sympy_format,lambda_format
1,0.005294113,0.0,1.3632727e-8,1.36327270000000e-8,PySRFunction(X=>1.36327270000000E-8)
3,0.0032873622,0.23825498411016377,(3.2227382e-7 * x7),3.2227382e-7*x7,PySRFunction(X=>3.2227382e-7*x7)
5,0.0031081804,0.028024002848293636,((2.7921914e-7 * x7) - 0.015002988),2.7921914e-7*x7 - 0.015002988,PySRFunction(X=>2.7921914e-7*x7 - 0.015002988)
6,0.003001713,0.03485434886933147,(abs(-3.2365327e-7 * x7) - 0.013888222),3.2365327e-7*Abs(x7) - 0.013888222,PySRFunction(X=>3.2365327e-7*Abs(x7) - 0.013888222)
7,0.00294791,0.018086681020894307,(((2.7921914e-7 * x7) - 0.015002988) * 1.3341314),3.72515022154996e-7*x7 - 0.0200159573846232,PySRFunction(X=>3.72515022154996e-7*x7 - 0.0200159573846232)
8,0.0029479081,6.445246335361411e-07,(((2.7921914e-7 * x7) - tanh(0.015002988)) * 1.3341314),3.72515022154996e-7*x7 - 0.0200144557248861,PySRFunction(X=>3.72515022154996e-7*x7 - 0.0200144557248861)
9,0.0028841787,0.021855620108997713,(((2.7921914e-7 * x7) - (0.015002988 / x9)) / 0.7174735),3.89169969343815e-7*x7 - 0.0209108601223599/x9,PySRFunction(X=>3.89169969343815e-7*x7 - 0.0209108601223599/x9)
11,0.002874734,0.0016400159126654865,(((2.7921914e-7 * (x7 - x3)) - (0.015002988 / x9)) / 0.7174735),-3.89169969343815e-7*x3 + 3.89169969343815e-7*x7 - 0.0209108601223599/x9,PySRFunction(X=>-3.89169969343815e-7*x3 + 3.89169969343815e-7*x7 - 0.0209108601223599/x9)
12,0.0028747125,7.478980802767545e-06,(((2.7921914e-7 * abs(x7 - x3)) - (0.015002988 / x9)) / 0.7174735),3.89169969343815e-7*Abs(x3 - x7) - 0.0209108601223599/x9,PySRFunction(X=>3.89169969343815e-7*Abs(x3 - x7) - 0.0209108601223599/x9)
13,0.0025772732,0.10922072845209005,(abs(-0.019338137) * ((((square(0.0050700535) / x9) * x7) - x10) - 0.8717081)),-0.019338137*x10 + 4.97095368572592e-7*x7/x9 - 0.0168572106618097,PySRFunction(X=>-0.019338137*x10 + 4.97095368572592e-7*x7/x9 - 0.0168572106618097)
14,0.002577268,2.017638349453183e-06,(abs(-0.019338137) * ((((square(tanh(0.0050700535)) / x9) * x7) - x10) - 0.8717081)),-0.019338137*x10 + 4.97086849992404e-7*x7/x9 - 0.0168572106618097,PySRFunction(X=>-0.019338137*x10 + 4.97086849992404e-7*x7/x9 - 0.0168572106618097)
15,0.0025339471,0.016951717562742778,(abs(-0.019338137) * ((((square(0.0050700535) / x9) * x7) - x10) - (0.8717081 + 0.4201664))),-0.019338137*x10 + 4.97095368572592e-7*x7/x9 - 0.0249824460678065,PySRFunction(X=>-0.019338137*x10 + 4.97095368572592e-7*x7/x9 - 0.0249824460678065)
17,0.0023581625,0.03594774576046049,(abs(-0.019338137) * ((((square(0.0050700535) / x9) * x7) - (x10 + x10)) - (0.8717081 + 0.4201664))),-0.038676274*x10 + 4.97095368572592e-7*x7/x9 - 0.0249824460678065,PySRFunction(X=>-0.038676274*x10 + 4.97095368572592e-7*x7/x9 - 0.0249824460678065)
18,0.0023581611,5.936827575475515e-07,(abs(-0.019338137) * ((((square(sin(0.0050700535)) / x9) * x7) - (x10 + x10)) - (0.8717081 + 0.4201664))),-0.038676274*x10 + 4.97091109235053e-7*x7/x9 - 0.0249824460678065,PySRFunction(X=>-0.038676274*x10 + 4.97091109235053e-7*x7/x9 - 0.0249824460678065)
